#>P	ENSDARG00000090716	ENSDART00000130989	ENSDARP00000105470	15	17350232	17403107	1	clathrin, heavy chain b (Hc) [Source:ZFIN;Acc:ZDB-GENE-050227-12]
#>E	ENSDARE00000941647,ENSDARE00000936980,ENSDARE00000969765,ENSDARE00000969408,ENSDARE00000914076,ENSDARE00000968270,ENSDARE00000976844,ENSDARE00000958454,ENSDARE00000961088,ENSDARE00000897976,ENSDARE00000923812,ENSDARE00001039346,ENSDARE00000972417,ENSDARE00000984591,ENSDARE00000958558,ENSDARE00000978107,ENSDARE00000968908,ENSDARE00000892229,ENSDARE00000958616,ENSDARE00000959245,ENSDARE00000902891,ENSDARE00000930508,ENSDARE00000979634,ENSDARE00000962221,ENSDARE00000966383,ENSDARE00000976488,ENSDARE00000938023,ENSDARE00000962764,ENSDARE00000963739,ENSDARE00000899953,ENSDARE00001031982,ENSDARE00000981136,ENSDARE00000936294	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	17350232-17350273,17356948-17357155,17360647-17360915,17361044-17361205,17361306-17361419,17363652-17363825,17370101-17370298,17370389-17370589,17372068-17372220,17372326-17372448,17372849-17372986,17374150-17374314,17374846-17375026,17375762-17375925,17376023-17376148,17376242-17376384,17378499-17378733,17378847-17378969,17380659-17380804,17380893-17381076,17382392-17382584,17382695-17382852,17383291-17383455,17383587-17383694,17384764-17384931,17385137-17385286,17387289-17387420,17388537-17388647,17388745-17388915,17391366-17391587,17393146-17393166,17397579-17397654,17402980-17403110
15	17370122	17370193	1	Clathrin_H-chain_linker_core	53.2	17370122-17370193	PF09268	http://pfam.xfam.org/family/PF09268
15	17361390	17363720	1	Clathrin_H-chain_propeller_rpt	167.1	17361390-17361419,17363652-17363720	PF01394	http://pfam.xfam.org/family/PF01394
15	17363742	17370121	1	Clathrin_H-chain_propeller_rpt	167.1	17363742-17363825,17370101-17370121	PF01394	http://pfam.xfam.org/family/PF01394
15	17360838	17361085	1	Clathrin_H-chain_propeller_rpt	167.1	17360838-17360915,17361044-17361085	PF01394	http://pfam.xfam.org/family/PF01394
15	17361116	17361326	1	Clathrin_H-chain_propeller_rpt	167.1	17361116-17361205,17361306-17361326	PF01394	http://pfam.xfam.org/family/PF01394
15	17356960	17357070	1	Clathrin_H-chain_propeller_rpt	167.1	17356960-17357070	PF01394	http://pfam.xfam.org/family/PF01394
15	17376347	17378936	1	Clathrin_H-chain/VPS_repeat	675.9	17376347-17376384,17378499-17378733,17378847-17378936	PF00637	http://pfam.xfam.org/family/PF00637
15	17372428	17374932	1	Clathrin_H-chain/VPS_repeat	675.9	17372428-17372448,17372849-17372986,17374150-17374314,17374846-17374932	PF00637	http://pfam.xfam.org/family/PF00637
15	17380674	17382499	1	Clathrin_H-chain/VPS_repeat	675.9	17380674-17380804,17380893-17381076,17382392-17382499	PF00637	http://pfam.xfam.org/family/PF00637
15	17374963	17376301	1	Clathrin_H-chain/VPS_repeat	675.9	17374963-17375026,17375762-17375925,17376023-17376148,17376242-17376301	PF00637	http://pfam.xfam.org/family/PF00637
15	17383647	17387348	1	Clathrin_H-chain/VPS_repeat	675.9	17383647-17383694,17384764-17384931,17385137-17385286,17387289-17387348	PF00637	http://pfam.xfam.org/family/PF00637
15	17382527	17383622	1	Clathrin_H-chain/VPS_repeat	675.9	17382527-17382584,17382695-17382852,17383291-17383455,17383587-17383622	PF00637	http://pfam.xfam.org/family/PF00637
15	17387364	17391455	1	Clathrin_H-chain/VPS_repeat	675.9	17387364-17387420,17388537-17388647,17388745-17388915,17391366-17391455	PF00637	http://pfam.xfam.org/family/PF00637
