#>P	ENSDARG00000094171	ENSDART00000135768	ENSDARP00000121953	22	14339380	14451352	-1	low density lipoprotein receptor-related protein 1Ba [Source:ZFIN;Acc:ZDB-GENE-050208-608]
#>E	ENSDARE00001121040,ENSDARE00001207751,ENSDARE00001152696,ENSDARE00001180823,ENSDARE00001217462,ENSDARE00001166564,ENSDARE00001160180,ENSDARE00001178482,ENSDARE00001216474,ENSDARE00001179158,ENSDARE00001216905,ENSDARE00001212529,ENSDARE00001197766,ENSDARE00001161913,ENSDARE00001182127,ENSDARE00000997180,ENSDARE00001197794,ENSDARE00001226115,ENSDARE00001112401,ENSDARE00001107254,ENSDARE00001105679,ENSDARE00001119351,ENSDARE00001111310,ENSDARE00001110026,ENSDARE00001111984,ENSDARE00001117709,ENSDARE00001125547,ENSDARE00001113594,ENSDARE00001129274,ENSDARE00000997179,ENSDARE00001125663,ENSDARE00001126387,ENSDARE00001118167,ENSDARE00001111602,ENSDARE00001125441	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	14339377-14339517,14341563-14341713,14341860-14341950,14343268-14343344,14355772-14355876,14357188-14357362,14361087-14361248,14365440-14365604,14367372-14367497,14373961-14374134,14376202-14376318,14377436-14377542,14377860-14378083,14378780-14379021,14380188-14380307,14383518-14383619,14384232-14384369,14385342-14385464,14386545-14386667,14391812-14391944,14397870-14397979,14403050-14403197,14403566-14403672,14413409-14413525,14421176-14421295,14429779-14429898,14429990-14430106,14434260-14434353,14434498-14434646,14434711-14434947,14435021-14435220,14436808-14436989,14442143-14442265,14448369-14448454,14451169-14451352
22	14451182	14451301	-1	EGF-like_Ca-bd_dom	36.6	14451182-14451301	PF07645	http://pfam.xfam.org/family/PF07645
22	14435097	14436809	-1	LDLR_classB_rpt	115	14435097-14435220,14436808-14436809	PF00058	http://pfam.xfam.org/family/PF00058
22	14376302	14377538	-1	LDLR_classB_rpt	115	14376302-14376318,14377436-14377538	PF00058	http://pfam.xfam.org/family/PF00058
22	14429991	14430098	-1	LDrepeatLR_classA_rpt	363.8	14429991-14430098	PF00057	http://pfam.xfam.org/family/PF00057
22	14429780	14429887	-1	LDrepeatLR_classA_rpt	363.8	14429780-14429887	PF00057	http://pfam.xfam.org/family/PF00057
22	14413410	14413520	-1	LDrepeatLR_classA_rpt	363.8	14413410-14413520	PF00057	http://pfam.xfam.org/family/PF00057
22	14403075	14403182	-1	LDrepeatLR_classA_rpt	363.8	14403075-14403182	PF00057	http://pfam.xfam.org/family/PF00057
22	14384239	14384346	-1	LDrepeatLR_classA_rpt	363.8	14384239-14384346	PF00057	http://pfam.xfam.org/family/PF00057
22	14421177	14421287	-1	LDrepeatLR_classA_rpt	363.8	14421177-14421287	PF00057	http://pfam.xfam.org/family/PF00057
22	14391936	14397968	-1	LDrepeatLR_classA_rpt	363.8	14391936-14391944,14397870-14397968	PF00057	http://pfam.xfam.org/family/PF00057
22	14391819	14391932	-1	LDrepeatLR_classA_rpt	363.8	14391819-14391932	PF00057	http://pfam.xfam.org/family/PF00057
22	14434261	14434518	-1	LDrepeatLR_classA_rpt	363.8	14434261-14434353,14434498-14434518	PF00057	http://pfam.xfam.org/family/PF00057
22	14403189	14403664	-1	LDrepeatLR_classA_rpt	363.8	14403189-14403197,14403566-14403664	PF00057	http://pfam.xfam.org/family/PF00057
22	14385343	14385444	-1	LDrepeatLR_classA_rpt	363.8	14385343-14385444	PF00057	http://pfam.xfam.org/family/PF00057
22	14386546	14386659	-1	LDrepeatLR_classA_rpt	363.8	14386546-14386659	PF00057	http://pfam.xfam.org/family/PF00057
