#>P	ENSDARG00000079327	ENSDART00000112067	ENSDARP00000102597	8	32604684	32775635	1	hemicentin 2 [Source:ZFIN;Acc:ZDB-GENE-030131-9765]
#>E	ENSDARE00001172580,ENSDARE00001175630,ENSDARE00001178603,ENSDARE00001177434,ENSDARE00001179010,ENSDARE00001218858,ENSDARE00001186994,ENSDARE00001187667,ENSDARE00001181476,ENSDARE00001219054,ENSDARE00001182883,ENSDARE00001176229,ENSDARE00001168414,ENSDARE00001216227,ENSDARE00000954636,ENSDARE00000894808,ENSDARE00000975453,ENSDARE00000975649,ENSDARE00000980796,ENSDARE00000980279,ENSDARE00000886287,ENSDARE00000970396,ENSDARE00000890501,ENSDARE00000961466,ENSDARE00001225223,ENSDARE00000933589,ENSDARE00000949486,ENSDARE00000903029,ENSDARE00000952348,ENSDARE00000902737,ENSDARE00000960399,ENSDARE00000980463,ENSDARE00000908080,ENSDARE00000916732,ENSDARE00000929453,ENSDARE00000902936,ENSDARE00000975833,ENSDARE00000946495,ENSDARE00000904363,ENSDARE00000984341,ENSDARE00000803851,ENSDARE00000870755,ENSDARE00000835026,ENSDARE00000777966,ENSDARE00000886329,ENSDARE00000843389,ENSDARE00000850443,ENSDARE00000777220,ENSDARE00000840494,ENSDARE00000780480,ENSDARE00000781058,ENSDARE00000971925,ENSDARE00000889791,ENSDARE00000901517,ENSDARE00000791327,ENSDARE00000838089,ENSDARE00000866436,ENSDARE00000911597,ENSDARE00000926063,ENSDARE00000789062,ENSDARE00000858375,ENSDARE00000892713,ENSDARE00000941398,ENSDARE00000949261,ENSDARE00000892685,ENSDARE00000910870,ENSDARE00000834118,ENSDARE00000782184,ENSDARE00000874884,ENSDARE00000823582,ENSDARE00000842699,ENSDARE00000788263,ENSDARE00000790601,ENSDARE00000814055,ENSDARE00000832713,ENSDARE00000876798,ENSDARE00000870363,ENSDARE00000877172,ENSDARE00000856205,ENSDARE00000848746,ENSDARE00000783522	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	32604684-32604939,32613823-32613893,32614333-32614491,32616094-32616216,32635390-32635561,32635960-32636066,32636157-32636277,32639538-32639801,32640846-32640990,32643131-32643252,32648111-32648383,32649401-32649542,32649780-32649907,32656411-32656524,32656874-32657032,32659232-32659426,32670706-32670801,32670886-32671013,32672074-32672218,32673351-32673463,32675897-32676056,32676139-32676298,32681760-32681887,32685749-32685994,32686224-32686307,32696971-32697168,32698311-32698441,32699286-32699433,32699647-32699773,32699848-32700005,32702305-32702583,32702669-32702811,32704743-32704893,32704991-32705224,32706317-32706430,32706536-32706723,32708064-32708160,32709079-32709240,32709326-32709439,32709528-32709724,32710687-32710768,32710848-32710979,32711052-32711195,32711283-32711442,32712768-32712892,32713610-32713793,32715417-32715514,32720166-32720444,32726000-32726193,32726289-32726370,32728896-32729032,32729114-32729255,32730351-32730495,32732921-32733048,32733357-32733510,32733868-32733989,32735799-32735963,32736069-32736176,32737525-32737659,32738343-32738477,32741137-32741406,32742311-32742501,32742636-32742849,32742932-32743066,32745943-32746133,32746272-32746353,32746445-32746615,32746751-32746903,32748096-32748233,32748332-32748453,32749339-32749579,32751427-32751486,32751629-32751748,32754360-32754494,32754697-32754816,32759590-32759715,32759803-32759931,32762953-32763264,32766722-32766841,32773482-32773608,32775260-32775638
8	32766781	32773492	1	cEGF	146.8	32766781-32766841,32773482-32773492	PF12662	http://pfam.sanger.ac.uk/family?acc=PF12662
8	32759589	32759711	1	EGF-like_Ca-bd_dom	219.8	32759589-32759711	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
8	32754359	32754490	1	EGF-like_Ca-bd_dom	219.8	32754359-32754490	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
8	32754696	32754812	1	EGF-like_Ca-bd_dom	219.8	32754696-32754812	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
8	32751628	32751744	1	EGF-like_Ca-bd_dom	219.8	32751628-32751744	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
8	32762952	32763044	1	EGF-like_Ca-bd_dom	219.8	32762952-32763044	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
8	32759802	32759927	1	EGF-like_Ca-bd_dom	219.8	32759802-32759927	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
8	32746459	32746611	1	TSP1_rpt	52.9	32746459-32746611	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
8	32746756	32749467	1	G2_nidogen/fibulin_G2F	169.3	32746756-32746903,32748096-32748233,32748332-32748453,32749339-32749467	PF07474	http://pfam.sanger.ac.uk/family?acc=PF07474
8	32709108	32709435	1	Ig_I-set	1644.8	32709108-32709240,32709326-32709435	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32686268	32697164	1	Ig_I-set	1644.8	32686268-32686307,32696971-32697164	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32730356	32733044	1	Ig_I-set	1644.8	32730356-32730495,32732921-32733044	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32742334	32742713	1	Ig_I-set	1644.8	32742334-32742501,32742636-32742713	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32702337	32702579	1	Ig_I-set	1644.8	32702337-32702579	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32733362	32733979	1	Ig_I-set	1644.8	32733362-32733510,32733868-32733979	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32659237	32670791	1	Ig_I-set	1644.8	32659237-32659426,32670706-32670791	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32676171	32681883	1	Ig_I-set	1644.8	32676171-32676298,32681760-32681883	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32709572	32710764	1	Ig_I-set	1644.8	32709572-32709724,32710687-32710764	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32711309	32712882	1	Ig_I-set	1644.8	32711309-32711442,32712768-32712882	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32720189	32720440	1	Ig_I-set	1644.8	32720189-32720440	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32685754	32685990	1	Ig_I-set	1644.8	32685754-32685990	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32648122	32648379	1	Ig_I-set	1644.8	32648122-32648379	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32713636	32715510	1	Ig_I-set	1644.8	32713636-32713793,32715417-32715510	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32710877	32711191	1	Ig_I-set	1644.8	32710877-32710979,32711052-32711191	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32745975	32746349	1	Ig_I-set	1644.8	32745975-32746133,32746272-32746349	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32705095	32706426	1	Ig_I-set	1644.8	32705095-32705224,32706317-32706426	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32699676	32700001	1	Ig_I-set	1644.8	32699676-32699773,32699848-32700001	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32728928	32729248	1	Ig_I-set	1644.8	32728928-32729032,32729114-32729248	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32702725	32704889	1	Ig_I-set	1644.8	32702725-32702811,32704743-32704889	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
8	32706568	32708156	1	Ig_I-set	1644.8	32706568-32706723,32708064-32708156	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
