#>P	ENSDARG00000105119	ENSDART00000170121	ENSDARP00000137776	4	61687498	61711699	1	si:ch211-258f1.3 [Source:ZFIN;Acc:ZDB-GENE-070912-252]
#>E	ENSDARE00001208087,ENSDARE00001199536,ENSDARE00001218072,ENSDARE00001178141,ENSDARE00001166012,ENSDARE00001160929,ENSDARE00001153247,ENSDARE00001172079,ENSDARE00001219490,ENSDARE00001206186	0,0,0,0,0,0,0,0,0,0	61687498-61687756,61692600-61694412,61695013-61695186,61695296-61695469,61695588-61695761,61695891-61696064,61696194-61696367,61709841-61710014,61710834-61710880,61711176-61711702
4	61692656	61692871	1	NATCH-assoc	76.8	61692656-61692871	PF14484	http://pfam.xfam.org/family/PF14484
4	61711334	61711690	1	SPRY_dom	40.9	61711334-61711690	PF00622	http://pfam.xfam.org/family/PF00622
4	61687510	61687743	1	DAPIN	76.7	61687510-61687743	PF02758	http://pfam.xfam.org/family/PF02758
4	61695360	61695428	1	Leu-rich_rpt	75.9	61695360-61695428	PF13516	http://pfam.xfam.org/family/PF13516
4	61709908	61709973	1	Leu-rich_rpt	75.9	61709908-61709973	PF13516	http://pfam.xfam.org/family/PF13516
4	61695652	61695720	1	Leu-rich_rpt	75.9	61695652-61695720	PF13516	http://pfam.xfam.org/family/PF13516
4	61696258	61696326	1	Leu-rich_rpt	75.9	61696258-61696326	PF13516	http://pfam.xfam.org/family/PF13516
4	61695077	61695145	1	Leu-rich_rpt	75.9	61695077-61695145	PF13516	http://pfam.xfam.org/family/PF13516
4	61695955	61696023	1	Leu-rich_rpt	75.9	61695955-61696023	PF13516	http://pfam.xfam.org/family/PF13516
4	61696348	61709886	1	Leu-rich_rpt	75.9	61696348-61696367,61709841-61709886	PF13516	http://pfam.xfam.org/family/PF13516
4	61711187	61711327	1	PRY	73.7	61711187-61711327	PF13765	http://pfam.xfam.org/family/PF13765
