#>P	ENSDARG00000060410	ENSDART00000085037	ENSDARP00000079472	13	35493422	35550316	1	thrombospondin 2a [Source:ZFIN;Acc:ZDB-GENE-020708-2]
#>E	ENSDARE00001179719,ENSDARE00001193160,ENSDARE00001212296,ENSDARE00001055071,ENSDARE00000619285,ENSDARE00000619271,ENSDARE00000619265,ENSDARE00000619258,ENSDARE00000619246,ENSDARE00000619223,ENSDARE00000619198,ENSDARE00000619172,ENSDARE00000619140,ENSDARE00000619125,ENSDARE00000619099,ENSDARE00000619071,ENSDARE00000619041,ENSDARE00000619015,ENSDARE00001052969,ENSDARE00000967330,ENSDARE00000939171,ENSDARE00001054058,ENSDARE00001196487	0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0	35493422-35493451,35509979-35510027,35511211-35511282,35512098-35512651,35515207-35515291,35519193-35519389,35523015-35523155,35523239-35523332,35527198-35527368,35532297-35532473,35533034-35533207,35534825-35534952,35536557-35536709,35538850-35539068,35540189-35540296,35540390-35540549,35541412-35541530,35541613-35541847,35545797-35546024,35546120-35546391,35546846-35546943,35548466-35548605,35550312-35550319
13	35545943	35550313	1	Thrombospondin_C	320.1	35545943-35546024,35546120-35546391,35546846-35546943,35548466-35548605,35550312-35550313	PF05735	http://pfam.sanger.ac.uk/family?acc=PF05735
13	35540495	35541461	1	Thrombospondin_3-like_rpt	201.9	35540495-35540549,35541412-35541461	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35540222	35540422	1	Thrombospondin_3-like_rpt	201.9	35540222-35540296,35540390-35540422	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35541459	35541530	1	Thrombospondin_3-like_rpt	201.9	35541459-35541530	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35541613	35541726	1	Thrombospondin_3-like_rpt	201.9	35541613-35541726	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35541835	35545876	1	Thrombospondin_3-like_rpt	201.9	35541835-35541847,35545797-35545876	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35540426	35540491	1	Thrombospondin_3-like_rpt	201.9	35540426-35540491	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35541730	35541834	1	Thrombospondin_3-like_rpt	201.9	35541730-35541834	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35523081	35523328	1	VWF_dom	47.6	35523081-35523155,35523239-35523328	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
13	35533048	35533200	1	TSP1_rpt	144	35533048-35533200	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
13	35532317	35532469	1	TSP1_rpt	144	35532317-35532469	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
13	35527221	35527358	1	TSP1_rpt	144	35527221-35527358	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
13	35538871	35538990	1	EGF_dom	33.2	35538871-35538990	PF12947	http://pfam.sanger.ac.uk/family?acc=PF12947
