#>P	ENSDARG00000043313	ENSDART00000147287	ENSDARP00000114785	7	57584869	57796374	-1	ankyrin 2b, neuronal [Source:ZFIN;Acc:ZDB-GENE-041010-165]
#>E	ENSDARE00001028018,ENSDARE00001005038,ENSDARE00001030181,ENSDARE00001004524,ENSDARE00001047475,ENSDARE00001042094,ENSDARE00001024984,ENSDARE00001032337,ENSDARE00001043107,ENSDARE00001030538,ENSDARE00000985244,ENSDARE00001008510,ENSDARE00000987464,ENSDARE00000990549,ENSDARE00000996817,ENSDARE00001024039,ENSDARE00001030319,ENSDARE00001017278,ENSDARE00000993415,ENSDARE00001228841,ENSDARE00001042787,ENSDARE00001013601,ENSDARE00001019945,ENSDARE00001008469,ENSDARE00001039246,ENSDARE00001014342,ENSDARE00001004727,ENSDARE00000988037,ENSDARE00001004379,ENSDARE00001023734,ENSDARE00000986402,ENSDARE00000997252,ENSDARE00001008707,ENSDARE00000990152,ENSDARE00001037625,ENSDARE00001003791,ENSDARE00001027434,ENSDARE00001034777,ENSDARE00001018297,ENSDARE00001037240,ENSDARE00001024053,ENSDARE00000943250,ENSDARE00000472822,ENSDARE00000472826,ENSDARE00000472828,ENSDARE00000472830,ENSDARE00001039031	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	57584866-57585094,57589510-57589601,57589776-57589964,57596147-57596311,57598232-57598315,57610910-57610982,57611074-57611248,57611663-57611809,57612145-57612276,57615424-57615501,57615980-57620875,57624988-57625009,57625441-57625473,57625913-57626035,57626118-57626243,57631144-57631372,57631534-57631630,57633576-57633783,57634392-57634603,57635948-57636102,57636791-57636889,57646539-57646763,57650205-57650296,57651674-57651740,57653974-57654115,57657500-57657572,57657671-57657769,57659011-57659106,57659266-57659364,57659444-57659542,57660745-57660942,57661502-57661603,57662064-57662162,57664885-57665082,57665610-57665708,57666240-57666338,57670122-57670220,57670312-57670509,57673581-57673679,57679761-57679859,57680428-57680526,57690695-57690880,57692491-57692589,57692666-57692764,57695998-57696096,57705399-57705500,57796288-57796374
7	57611745	57615472	-1	Death_domain	80.2	57611745-57611809,57612145-57612276,57615424-57615472	PF00531	http://pfam.sanger.ac.uk/family?acc=PF00531
7	57670143	57670220	-1	Ankyrin_rpt	386.1	57670143-57670220	PF00023	http://pfam.sanger.ac.uk/family?acc=PF00023
7	57636027	57636870	-1	ZU5_dom	131.5	57636027-57636102,57636791-57636870	PF00791	http://pfam.sanger.ac.uk/family?acc=PF00791
7	57636886	57646756	-1	ZU5_dom	131.5	57636886-57636889,57646539-57646756	PF00791	http://pfam.sanger.ac.uk/family?acc=PF00791
7	57633661	57634499	-1	ZU5_dom	131.5	57633661-57633783,57634392-57634499	PF00791	http://pfam.sanger.ac.uk/family?acc=PF00791
7	57690806	57692668	-1	Ankyrin_rpt-contain_dom	462.7	57690806-57690880,57692491-57692589,57692666-57692668	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
7	57660850	57662066	-1	Ankyrin_rpt-contain_dom	462.7	57660850-57660942,57661502-57661603,57662064-57662066	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
7	57673599	57680442	-1	Ankyrin_rpt-contain_dom	462.7	57673599-57673679,57679761-57679859,57680428-57680442	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
7	57664996	57666269	-1	Ankyrin_rpt-contain_dom	462.7	57664996-57665082,57665610-57665708,57666240-57666269	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
7	57662085	57664986	-1	Ankyrin_rpt-contain_dom	462.7	57662085-57662162,57664885-57664986	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
7	57657707	57659268	-1	Ankyrin_rpt-contain_dom	462.7	57657707-57657769,57659011-57659106,57659266-57659268	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
7	57692672	57705476	-1	Ankyrin_rpt-contain_dom	462.7	57692672-57692764,57695998-57696096,57705399-57705476	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
7	57670318	57673583	-1	Ankyrin_rpt-contain_dom	462.7	57670318-57670509,57673581-57673583	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
7	57659272	57660828	-1	Ankyrin_rpt-contain_dom	462.7	57659272-57659364,57659444-57659542,57660745-57660828	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
