#>P	ENSDARG00000059093	ENSDART00000161561	ENSDARP00000135319	5	68156725	68270366	-1	ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492]
#>E	ENSDARE00001206273,ENSDARE00001162465,ENSDARE00001167445,ENSDARE00001201198,ENSDARE00000600552,ENSDARE00000600553,ENSDARE00000600555,ENSDARE00000600556,ENSDARE00000967589,ENSDARE00000600558,ENSDARE00001106047,ENSDARE00000600560,ENSDARE00000659342,ENSDARE00000896266,ENSDARE00000690600,ENSDARE00000690552,ENSDARE00000821439,ENSDARE00001193021,ENSDARE00000998566,ENSDARE00000910538,ENSDARE00000925934,ENSDARE00000600582,ENSDARE00000600583,ENSDARE00000600586,ENSDARE00000600587,ENSDARE00000600588,ENSDARE00000600589,ENSDARE00000936412,ENSDARE00001175808,ENSDARE00001164942,ENSDARE00001190763,ENSDARE00001159170,ENSDARE00001213626,ENSDARE00001200663,ENSDARE00001177743,ENSDARE00001168648,ENSDARE00001196093,ENSDARE00001170048,ENSDARE00001172541,ENSDARE00001223400,ENSDARE00001161985	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	68156722-68156858,68156934-68157368,68159377-68159391,68178439-68178603,68182556-68182687,68189352-68189426,68189572-68189656,68191884-68192003,68192857-68192985,68197371-68197599,68199348-68199444,68200981-68201185,68209443-68209654,68210299-68210453,68211518-68211742,68212123-68212238,68213831-68213909,68216114-68216216,68222960-68222980,68223108-68223180,68223950-68224042,68224128-68224226,68225492-68225590,68227472-68227570,68227896-68228093,68228822-68228920,68229253-68229351,68231482-68231679,68233297-68233395,68236060-68236158,68236260-68236358,68237717-68237914,68238344-68238442,68238771-68238869,68238944-68239042,68243433-68243618,68245304-68245402,68245680-68245778,68248261-68248359,68254682-68254783,68270340-68270366
5	68210372	68212124	-1	ZU5_dom	133.6	68210372-68210453,68211518-68211742,68212123-68212124	PF00791	http://pfam.xfam.org/family/PF00791
5	68231584	68231679	-1	Ankyrin_rpt	646.3	68231584-68231679	PF00023	http://pfam.xfam.org/family/PF00023
5	68224131	68224220	-1	Ankyrin_rpt	646.3	68224131-68224220	PF00023	http://pfam.xfam.org/family/PF00023
5	68243544	68243618	-1	Ankyrin_rpt	646.3	68243544-68243618	PF00023	http://pfam.xfam.org/family/PF00023
5	68238956	68239039	-1	Ankyrin_rpt	646.3	68238956-68239039	PF00023	http://pfam.xfam.org/family/PF00023
5	68228004	68228093	-1	Ankyrin_rpt	646.3	68228004-68228093	PF00023	http://pfam.xfam.org/family/PF00023
5	68225498	68227979	-1	Ankyrin_rpt-contain_dom	556.9	68225498-68225590,68227472-68227570,68227896-68227979	PF12796	http://pfam.xfam.org/family/PF12796
5	68237828	68238854	-1	Ankyrin_rpt-contain_dom	556.9	68237828-68237914,68238344-68238442,68238771-68238854	PF12796	http://pfam.xfam.org/family/PF12796
5	68245319	68245775	-1	Ankyrin_rpt-contain_dom	556.9	68245319-68245402,68245680-68245775	PF12796	http://pfam.xfam.org/family/PF12796
5	68228834	68231523	-1	Ankyrin_rpt-contain_dom	556.9	68228834-68228920,68229253-68229351,68231482-68231523	PF12796	http://pfam.xfam.org/family/PF12796
5	68233303	68236152	-1	Ankyrin_rpt-contain_dom	556.9	68233303-68233395,68236060-68236152	PF12796	http://pfam.xfam.org/family/PF12796
5	68236272	68237806	-1	Ankyrin_rpt-contain_dom	556.9	68236272-68236358,68237717-68237806	PF12796	http://pfam.xfam.org/family/PF12796
5	68178545	68189388	-1	Death_domain	62.3	68178545-68178603,68182556-68182687,68189352-68189388	PF00531	http://pfam.xfam.org/family/PF00531
