#>P	ENSDARG00000013526	ENSDART00000076882	ENSDARP00000071352	7	24037766	24085671	1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15985]
#>E	ENSDARE00000638091,ENSDARE00000638078,ENSDARE00000638066,ENSDARE00000638061,ENSDARE00000638050,ENSDARE00000638043,ENSDARE00000638032,ENSDARE00000638025,ENSDARE00000638021,ENSDARE00000638010,ENSDARE00000638003,ENSDARE00000637995,ENSDARE00000637987,ENSDARE00000637979,ENSDARE00000637972,ENSDARE00000637962,ENSDARE00000637957,ENSDARE00000637950,ENSDARE00000637943,ENSDARE00000637940,ENSDARE00000637936,ENSDARE00000637929,ENSDARE00000637926,ENSDARE00000637922,ENSDARE00000637918,ENSDARE00000637913,ENSDARE00000637909,ENSDARE00000637904,ENSDARE00000551005,ENSDARE00000550992,ENSDARE00000016292,ENSDARE00000158885,ENSDARE00000025611,ENSDARE00001188722,ENSDARE00000551448,ENSDARE00000550886,ENSDARE00000550877,ENSDARE00000550864,ENSDARE00000550850,ENSDARE00000725505,ENSDARE00001156927	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	24037766-24037892,24039048-24039155,24043943-24044074,24044735-24044926,24045087-24045208,24045280-24045385,24048789-24048986,24049110-24049343,24049589-24049750,24049846-24050007,24052573-24052734,24053566-24053654,24054215-24054311,24054623-24054736,24056289-24056402,24057433-24057634,24057752-24057909,24058312-24058510,24059421-24059596,24059709-24059833,24059957-24060080,24062165-24062335,24062627-24062800,24063036-24063155,24063644-24063820,24064392-24064476,24064731-24064922,24065615-24065782,24065915-24066587,24067966-24070685,24070780-24071008,24071119-24071268,24071895-24071958,24072155-24072328,24072431-24072607,24073145-24073342,24076040-24076210,24078343-24078438,24079139-24079234,24082861-24082954,24085644-24085674
7	24063062	24063151	1	EGF_dom	30.2	24063062-24063151	PF12947	http://pfam.xfam.org/family/PF12947
7	24052587	24052730	1	Tyr-kin_ephrin_A/B_rcpt-like	106.1	24052587-24052730	PF07699	http://pfam.xfam.org/family/PF07699
7	24049860	24050003	1	Tyr-kin_ephrin_A/B_rcpt-like	106.1	24049860-24050003	PF07699	http://pfam.xfam.org/family/PF07699
7	24049603	24049746	1	Tyr-kin_ephrin_A/B_rcpt-like	106.1	24049603-24049746	PF07699	http://pfam.xfam.org/family/PF07699
7	24056318	24057440	1	EGF-like_dom	175.7	24056318-24056402,24057433-24057440	PF00008	http://pfam.xfam.org/family/PF00008
7	24057462	24057554	1	EGF-like_dom	175.7	24057462-24057554	PF00008	http://pfam.xfam.org/family/PF00008
7	24054652	24056290	1	EGF-like_dom	175.7	24054652-24054736,24056289-24056290	PF00008	http://pfam.xfam.org/family/PF00008
7	24057576	24057782	1	EGF-like_dom	175.7	24057576-24057634,24057752-24057782	PF00008	http://pfam.xfam.org/family/PF00008
7	24054227	24054627	1	EGF-like_dom	175.7	24054227-24054311,24054623-24054627	PF00008	http://pfam.xfam.org/family/PF00008
7	24057807	24057896	1	EGF-like_dom	175.7	24057807-24057896	PF00008	http://pfam.xfam.org/family/PF00008
7	24037889	24044070	1	HYR_dom	108.2	24037889-24037892,24039048-24039155,24043943-24044070	PF02494	http://pfam.xfam.org/family/PF02494
7	24037772	24037888	1	HYR_dom	108.2	24037772-24037888	PF02494	http://pfam.xfam.org/family/PF02494
7	24079189	24079227	1	EGF-like_CS	37.3	24079189-24079227	PF12661	http://pfam.xfam.org/family/PF12661
7	24058365	24060025	1	Pentaxin-related	99.2	24058365-24058510,24059421-24059596,24059709-24059833,24059957-24060025	PF00354	http://pfam.xfam.org/family/PF00354
7	24070432	24070596	1	Sushi_SCR_CCP_dom	961.5	24070432-24070596	PF00084	http://pfam.xfam.org/family/PF00084
7	24069913	24070074	1	Sushi_SCR_CCP_dom	961.5	24069913-24070074	PF00084	http://pfam.xfam.org/family/PF00084
