#>P	ENSDARG00000098374	ENSDART00000164423	ENSDARP00000141342	11	41904792	41984384	1	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]
#>E	ENSDARE00001188220,ENSDARE00001200061,ENSDARE00001154913,ENSDARE00001170141,ENSDARE00001184490,ENSDARE00001220627,ENSDARE00001156624,ENSDARE00001160174,ENSDARE00001200994,ENSDARE00001165085,ENSDARE00001186977,ENSDARE00001153192,ENSDARE00001212916,ENSDARE00001157437,ENSDARE00001194004,ENSDARE00001170136,ENSDARE00001198618,ENSDARE00001184429,ENSDARE00001195263,ENSDARE00001218288,ENSDARE00001177567,ENSDARE00001197148,ENSDARE00001218917,ENSDARE00001188655,ENSDARE00001174291,ENSDARE00001174787,ENSDARE00001152166,ENSDARE00001199644,ENSDARE00001149345,ENSDARE00001207771,ENSDARE00001202089,ENSDARE00001178374,ENSDARE00001222925,ENSDARE00001190404,ENSDARE00001165630,ENSDARE00001170094,ENSDARE00001193732,ENSDARE00001184596,ENSDARE00001184585,ENSDARE00001207715,ENSDARE00001187610,ENSDARE00001166673	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	41904792-41905041,41907203-41907300,41910544-41910691,41913577-41913770,41916223-41916385,41916468-41916668,41931115-41931252,41932466-41932592,41938865-41939001,41939618-41939811,41940619-41940732,41941959-41942102,41946280-41946403,41946501-41946661,41947340-41947430,41948531-41948706,41948814-41948931,41950393-41950649,41953171-41953768,41953780-41953837,41956875-41956940,41957030-41957167,41957190-41957247,41957283-41957362,41957375-41957420,41957460-41957573,41957949-41957970,41957994-41958041,41958159-41958281,41958298-41958321,41958338-41958390,41960196-41960385,41960567-41960817,41969117-41969200,41972121-41972223,41973480-41973620,41976626-41976754,41977740-41977913,41979926-41980084,41980243-41980446,41982460-41982612,41984266-41984387
11	41904918	41910621	1	CH-domain	71.5	41904918-41905041,41907203-41907300,41910544-41910621	PF00307	http://pfam.sanger.ac.uk/family?acc=PF00307
11	41947385	41948870	1	Filamin/ABP280_repeat-like	841.1	41947385-41947430,41948531-41948706,41948814-41948870	PF00630	http://pfam.sanger.ac.uk/family?acc=PF00630
11	41976664	41977900	1	Filamin/ABP280_repeat-like	841.1	41976664-41976754,41977740-41977900	PF00630	http://pfam.sanger.ac.uk/family?acc=PF00630
11	41958361	41960339	1	Filamin/ABP280_repeat-like	841.1	41958361-41958390,41960196-41960339	PF00630	http://pfam.sanger.ac.uk/family?acc=PF00630
11	41931120	41938874	1	Filamin/ABP280_repeat-like	841.1	41931120-41931252,41932466-41932592,41938865-41938874	PF00630	http://pfam.sanger.ac.uk/family?acc=PF00630
11	41916292	41916649	1	Filamin/ABP280_repeat-like	841.1	41916292-41916385,41916468-41916649	PF00630	http://pfam.sanger.ac.uk/family?acc=PF00630
11	41973488	41976636	1	Filamin/ABP280_repeat-like	841.1	41973488-41973620,41976626-41976636	PF00630	http://pfam.sanger.ac.uk/family?acc=PF00630
11	41950635	41953416	1	Filamin/ABP280_repeat-like	841.1	41950635-41950649,41953171-41953416	PF00630	http://pfam.sanger.ac.uk/family?acc=PF00630
11	41946298	41947363	1	Filamin/ABP280_repeat-like	841.1	41946298-41946403,41946501-41946661,41947340-41947363	PF00630	http://pfam.sanger.ac.uk/family?acc=PF00630
11	41980356	41984276	1	Filamin/ABP280_repeat-like	841.1	41980356-41980446,41982460-41982612,41984266-41984276	PF00630	http://pfam.sanger.ac.uk/family?acc=PF00630
11	41910661	41916270	1	Filamin/ABP280_repeat-like	841.1	41910661-41910691,41913577-41913770,41916223-41916270	PF00630	http://pfam.sanger.ac.uk/family?acc=PF00630
11	41948895	41950613	1	Filamin/ABP280_repeat-like	841.1	41948895-41948931,41950393-41950613	PF00630	http://pfam.sanger.ac.uk/family?acc=PF00630
11	41939803	41942102	1	Filamin/ABP280_repeat-like	841.1	41939803-41939811,41940619-41940732,41941959-41942102	PF00630	http://pfam.sanger.ac.uk/family?acc=PF00630
11	41960358	41960811	1	Filamin/ABP280_repeat-like	841.1	41960358-41960385,41960567-41960811	PF00630	http://pfam.sanger.ac.uk/family?acc=PF00630
11	41938896	41939766	1	Filamin/ABP280_repeat-like	841.1	41938896-41939001,41939618-41939766	PF00630	http://pfam.sanger.ac.uk/family?acc=PF00630
11	41953435	41953698	1	Filamin/ABP280_repeat-like	841.1	41953435-41953698	PF00630	http://pfam.sanger.ac.uk/family?acc=PF00630
