#>P	ENSDARG00000020771	ENSDART00000015827	ENSDARP00000010406	2	35408003	35491126	1	tenascin R (restrictin, janusin) [Source:ZFIN;Acc:ZDB-GENE-030804-1]
#>E	ENSDARE00000936063,ENSDARE00000889085,ENSDARE00000070698,ENSDARE00000084065,ENSDARE00000952037,ENSDARE00000022893,ENSDARE00000180494,ENSDARE00000159630,ENSDARE00000164330,ENSDARE00000062898,ENSDARE00000046741,ENSDARE00000180578,ENSDARE00000301650,ENSDARE00000303090,ENSDARE00000310735,ENSDARE00000312208,ENSDARE00000307488,ENSDARE00000308915,ENSDARE00000030256,ENSDARE00000152934,ENSDARE00000414701	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	35408003-35408489,35413143-35413616,35424482-35424745,35427253-35427368,35431113-35431263,35436346-35436615,35436774-35436959,35438124-35438213,35438821-35439084,35442052-35442318,35448224-35448343,35448433-35448576,35452419-35452538,35454944-35455087,35468256-35468386,35469922-35470054,35471954-35472105,35475260-35475356,35485212-35485373,35486369-35486532,35491013-35491129
2	35471974	35491081	1	Fibrinogen_a/b/g_C_dom	266.8	35471974-35472105,35475260-35475356,35485212-35485373,35486369-35486532,35491013-35491081	PF00147	http://pfam.xfam.org/family/PF00147
2	35468261	35470014	1	FN3_dom	386.4	35468261-35468386,35469922-35470014	PF00041	http://pfam.xfam.org/family/PF00041
2	35424487	35424708	1	FN3_dom	386.4	35424487-35424708	PF00041	http://pfam.xfam.org/family/PF00041
2	35438829	35439050	1	FN3_dom	386.4	35438829-35439050	PF00041	http://pfam.xfam.org/family/PF00041
2	35436360	35436587	1	FN3_dom	386.4	35436360-35436587	PF00041	http://pfam.xfam.org/family/PF00041
2	35452430	35455047	1	FN3_dom	386.4	35452430-35452538,35454944-35455047	PF00041	http://pfam.xfam.org/family/PF00041
2	35448229	35448542	1	FN3_dom	386.4	35448229-35448343,35448433-35448542	PF00041	http://pfam.xfam.org/family/PF00041
2	35442060	35442281	1	FN3_dom	386.4	35442060-35442281	PF00041	http://pfam.xfam.org/family/PF00041
2	35427258	35431232	1	FN3_dom	386.4	35427258-35427368,35431113-35431232	PF00041	http://pfam.xfam.org/family/PF00041
2	35436779	35438185	1	FN3_dom	386.4	35436779-35436959,35438124-35438185	PF00041	http://pfam.xfam.org/family/PF00041
2	35413574	35413609	1	EGF-like_CS	21.2	35413574-35413609	PF12661	http://pfam.xfam.org/family/PF12661
