#>P	ENSDARG00000058259	ENSDART00000128852	ENSDARP00000106129	25	19656168	19766599	1	cadherin EGF LAG seven-pass G-type receptor 1b [Source:ZFIN;Acc:ZDB-GENE-050823-4]
#>E	ENSDARE00000966262,ENSDARE00000890124,ENSDARE00000917237,ENSDARE00000898128,ENSDARE00000949128,ENSDARE00000899012,ENSDARE00000939153,ENSDARE00000929047,ENSDARE00000889132,ENSDARE00000893424,ENSDARE00000980615,ENSDARE00000923593,ENSDARE00000919725,ENSDARE00000968487,ENSDARE00000949885,ENSDARE00000981140,ENSDARE00000952596,ENSDARE00000956399,ENSDARE00000886154,ENSDARE00000962086,ENSDARE00000901455,ENSDARE00000903042,ENSDARE00000788908,ENSDARE00000927934,ENSDARE00000968878,ENSDARE00000823955,ENSDARE00000831339,ENSDARE00000848793,ENSDARE00000793767,ENSDARE00000586814,ENSDARE00000586805,ENSDARE00000586800,ENSDARE00000586793,ENSDARE00000586786,ENSDARE00000843957	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	19656168-19659645,19679011-19679649,19688130-19688352,19691454-19691569,19694998-19695086,19702838-19702995,19707104-19707267,19710518-19710643,19717050-19717216,19719223-19719408,19720447-19720560,19720646-19720820,19721028-19721169,19726656-19726776,19730063-19730246,19731399-19731500,19732873-19732967,19733073-19733282,19740559-19740742,19740825-19740962,19741804-19742014,19743932-19744099,19744215-19744341,19747474-19747674,19747763-19747937,19749900-19750012,19750103-19750179,19750267-19750393,19751138-19751263,19751345-19751481,19756071-19756165,19758136-19758279,19760014-19760226,19762081-19762351,19766578-19766602
25	19744065	19744323	1	GPS	54	19744065-19744099,19744215-19744323	PF01825	http://pfam.xfam.org/family/PF01825
25	19710541	19710633	1	EGF-like_dom	54.4	19710541-19710633	PF00008	http://pfam.xfam.org/family/PF00008
25	19679565	19688137	1	EGF-like_dom	54.4	19679565-19679649,19688130-19688137	PF00008	http://pfam.xfam.org/family/PF00008
25	19691455	19707218	1	Laminin_G	162.7	19691455-19691569,19694998-19695086,19702838-19702995,19707104-19707218	PF02210	http://pfam.xfam.org/family/PF02210
25	19717145	19720660	1	Laminin_G	162.7	19717145-19717216,19719223-19719408,19720447-19720560,19720646-19720660	PF02210	http://pfam.xfam.org/family/PF02210
25	19730105	19730224	1	Laminin_EGF	31.4	19730105-19730224	PF00053	http://pfam.xfam.org/family/PF00053
25	19657863	19658138	1	Cadherin	542.7	19657863-19658138	PF00028	http://pfam.xfam.org/family/PF00028
25	19657545	19657820	1	Cadherin	542.7	19657545-19657820	PF00028	http://pfam.xfam.org/family/PF00028
25	19658484	19658753	1	Cadherin	542.7	19658484-19658753	PF00028	http://pfam.xfam.org/family/PF00028
25	19659117	19659371	1	Cadherin	542.7	19659117-19659371	PF00028	http://pfam.xfam.org/family/PF00028
25	19656897	19657178	1	Cadherin	542.7	19656897-19657178	PF00028	http://pfam.xfam.org/family/PF00028
25	19658793	19659071	1	Cadherin	542.7	19658793-19659071	PF00028	http://pfam.xfam.org/family/PF00028
25	19657221	19657499	1	Cadherin	542.7	19657221-19657499	PF00028	http://pfam.xfam.org/family/PF00028
25	19658178	19658444	1	Cadherin	542.7	19658178-19658444	PF00028	http://pfam.xfam.org/family/PF00028
25	19747492	19751149	1	GPCR_2_secretin-like	186.1	19747492-19747674,19747763-19747937,19749900-19750012,19750103-19750179,19750267-19750393,19751138-19751149	PF00002	http://pfam.xfam.org/family/PF00002
