#>P	ENSDARG00000021137	ENSDART00000008043	ENSDARP00000020853	5	48065738	48288359	1	adhesion G protein-coupled receptor V1 [Source:ZFIN;Acc:ZDB-GENE-040624-6]
#>E	ENSDARE00000364815,ENSDARE00000364757,ENSDARE00000364756,ENSDARE00000364755,ENSDARE00000364754,ENSDARE00000364753,ENSDARE00000364752,ENSDARE00000364751,ENSDARE00000692487,ENSDARE00000692486,ENSDARE00000692485,ENSDARE00000692484,ENSDARE00000692483,ENSDARE00000692482,ENSDARE00000692481,ENSDARE00000692480,ENSDARE00000692479,ENSDARE00000692478,ENSDARE00000692477,ENSDARE00000692476,ENSDARE00000692475,ENSDARE00000364795,ENSDARE00000364794,ENSDARE00000364793,ENSDARE00000364792,ENSDARE00000364791,ENSDARE00000055499,ENSDARE00000364790,ENSDARE00000150007,ENSDARE00000154021,ENSDARE00000104799,ENSDARE00000091312,ENSDARE00000102019,ENSDARE00000105659,ENSDARE00000101092,ENSDARE00000009899,ENSDARE00000170093,ENSDARE00000364789,ENSDARE00000101442,ENSDARE00000037596,ENSDARE00000032875,ENSDARE00000029361,ENSDARE00000044364,ENSDARE00000137068,ENSDARE00000142330,ENSDARE00000364788,ENSDARE00000364787,ENSDARE00000077202,ENSDARE00000082475,ENSDARE00000086061,ENSDARE00000070600,ENSDARE00000146813,ENSDARE00000076063,ENSDARE00000018604,ENSDARE00000023977,ENSDARE00000025970,ENSDARE00000364786,ENSDARE00000364785,ENSDARE00000364784,ENSDARE00000364783,ENSDARE00000364782,ENSDARE00000364781,ENSDARE00000364780,ENSDARE00000364779,ENSDARE00000364778,ENSDARE00000364777,ENSDARE00000364776,ENSDARE00000364775,ENSDARE00000364774,ENSDARE00000364773,ENSDARE00000364772,ENSDARE00000364771,ENSDARE00000364770,ENSDARE00000364769,ENSDARE00000364768,ENSDARE00000364767,ENSDARE00000364766,ENSDARE00000364765,ENSDARE00000364764,ENSDARE00000364763,ENSDARE00000364762,ENSDARE00000364761,ENSDARE00000225388,ENSDARE00000225365,ENSDARE00000941761,ENSDARE00000532079,ENSDARE00000692432,ENSDARE00000692431,ENSDARE00000867743	1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	48065738-48065923,48070289-48070438,48076649-48076744,48078176-48078280,48078372-48078485,48080100-48080662,48084129-48084399,48089249-48089578,48091273-48091449,48091947-48092170,48097006-48097132,48098356-48098541,48099220-48099400,48099478-48099641,48099734-48099857,48101629-48101889,48103468-48103594,48104455-48104672,48106988-48107728,48113126-48113499,48118286-48118462,48121669-48121849,48121925-48122118,48123450-48123570,48123750-48123833,48124956-48125095,48127574-48128183,48128312-48128527,48129451-48129666,48131352-48131596,48131676-48131857,48133690-48134498,48136098-48136307,48137839-48137969,48138075-48138174,48140281-48140460,48142657-48142820,48142953-48143040,48144165-48144243,48144349-48144487,48144894-48145035,48146572-48146837,48149096-48149271,48150085-48150212,48150290-48150459,48151433-48151579,48151992-48152072,48152168-48152432,48152549-48152671,48154785-48155007,48155103-48155307,48157196-48157342,48157646-48157901,48158137-48158339,48159625-48159801,48160953-48161135,48162548-48162727,48164666-48164830,48164957-48165077,48165450-48165573,48165697-48165835,48168094-48168279,48171165-48171400,48171491-48171639,48172071-48172269,48173597-48173816,48174095-48174331,48174405-48174554,48176098-48176574,48178064-48178207,48178912-48179083,48181034-48181169,48181261-48182099,48183598-48183715,48183833-48184004,48184105-48184347,48186813-48187220,48190002-48190186,48190281-48190533,48190773-48190918,48194716-48194876,48194993-48195093,48236732-48236848,48242253-48242431,48248162-48248319,48266987-48267108,48277602-48277790,48284393-48284567,48288244-48288362
5	48194998	48277613	1	GPCR_2_secretin-like	42.6	48194998-48195093,48236732-48236848,48242253-48242431,48248162-48248319,48266987-48267108,48277602-48277613	PF00002	http://pfam.sanger.ac.uk/family?acc=PF00002
5	48127841	48128143	1	Calx_beta	822.4	48127841-48128143	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48161001	48162622	1	Calx_beta	822.4	48161001-48161135,48162548-48162622	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48168223	48171374	1	Calx_beta	822.4	48168223-48168279,48171165-48171374	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48128356	48129575	1	Calx_beta	822.4	48128356-48128527,48129451-48129575	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48140382	48142994	1	Calx_beta	822.4	48140382-48140460,48142657-48142820,48142953-48142994	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48092046	48092165	1	Calx_beta	822.4	48092046-48092165	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48129627	48131693	1	Calx_beta	822.4	48129627-48129666,48131352-48131596,48131676-48131693	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48162686	48165037	1	Calx_beta	822.4	48162686-48162727,48164666-48164830,48164957-48165037	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48154982	48155208	1	Calx_beta	822.4	48154982-48155007,48155103-48155208	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48184270	48186944	1	Calx_beta	822.4	48184270-48184347,48186813-48186944	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48080193	48080513	1	Calx_beta	822.4	48080193-48080513	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48158151	48159666	1	Calx_beta	822.4	48158151-48158339,48159625-48159666	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48113260	48113382	1	Calx_beta	822.4	48113260-48113382	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48134036	48134179	1	Calx_beta	822.4	48134036-48134179	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48103500	48104659	1	Calx_beta	822.4	48103500-48103594,48104455-48104659	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48099558	48099769	1	Calx_beta	822.4	48099558-48099641,48099734-48099769	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48181322	48181573	1	Calx_beta	822.4	48181322-48181573	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48136229	48138158	1	Calx_beta	822.4	48136229-48136307,48137839-48137969,48138075-48138158	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48097055	48099249	1	Calx_beta	822.4	48097055-48097132,48098356-48098541,48099220-48099249	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48099842	48101876	1	Calx_beta	822.4	48099842-48099857,48101629-48101876	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48134345	48136177	1	Calx_beta	822.4	48134345-48134498,48136098-48136177	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48150092	48150202	1	Calx_beta	822.4	48150092-48150202	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48076688	48080138	1	Calx_beta	822.4	48076688-48076744,48078176-48078280,48078372-48078485,48080100-48080138	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48155278	48157741	1	Calx_beta	822.4	48155278-48155307,48157196-48157342,48157646-48157741	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48065828	48070429	1	Calx_beta	822.4	48065828-48065923,48070289-48070429	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48174501	48176256	1	Calx_beta	822.4	48174501-48174554,48176098-48176256	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48144185	48144992	1	Calx_beta	822.4	48144185-48144243,48144349-48144487,48144894-48144992	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48181868	48182020	1	Calx_beta	822.4	48181868-48182020	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48084133	48084351	1	Calx_beta	822.4	48084133-48084351	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48113464	48121734	1	Calx_beta	822.4	48113464-48113499,48118286-48118462,48121669-48121734	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48171570	48173630	1	Calx_beta	822.4	48171570-48171639,48172071-48172269,48173597-48173630	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48165755	48168147	1	Calx_beta	822.4	48165755-48165835,48168094-48168147	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48125003	48127765	1	Calx_beta	822.4	48125003-48125095,48127574-48127765	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48121978	48123551	1	Calx_beta	822.4	48121978-48122118,48123450-48123551	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	48146577	48149164	1	Calx_beta	822.4	48146577-48146837,48149096-48149164	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
