#>P	ENSDARG00000093761	ENSDART00000141422	ENSDARP00000113623	22	9256807	9284852	1	si:ch211-250k18.7 [Source:ZFIN;Acc:ZDB-GENE-070912-246]
#>E	ENSDARE00001126805,ENSDARE00001119852,ENSDARE00001028734,ENSDARE00001111965,ENSDARE00001035505,ENSDARE00001109188,ENSDARE00001122306,ENSDARE00001125564,ENSDARE00001113758,ENSDARE00001120603,ENSDARE00001119753,ENSDARE00001119268,ENSDARE00001036501,ENSDARE00001031417,ENSDARE00001046664,ENSDARE00001001513	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	9256807-9256911,9257018-9257099,9258085-9258280,9258361-9260182,9260260-9260430,9260926-9261099,9261541-9261711,9264065-9264238,9264569-9264739,9265711-9265884,9266447-9266617,9275909-9276082,9277118-9277291,9283255-9283428,9284050-9284211,9284843-9284855
22	9258383	9258601	1	NATCH-assoc	98.4	9258383-9258601	PF14484	http://pfam.xfam.org/family/PF14484
22	9264635	9264700	1	Leu-rich_rpt	111.3	9264635-9264700	PF13516	http://pfam.xfam.org/family/PF13516
22	9283324	9283389	1	Leu-rich_rpt	111.3	9283324-9283389	PF13516	http://pfam.xfam.org/family/PF13516
22	9264722	9265761	1	Leu-rich_rpt	111.3	9264722-9264739,9265711-9265761	PF13516	http://pfam.xfam.org/family/PF13516
22	9260326	9260391	1	Leu-rich_rpt	111.3	9260326-9260391	PF13516	http://pfam.xfam.org/family/PF13516
22	9277187	9277252	1	Leu-rich_rpt	111.3	9277187-9277252	PF13516	http://pfam.xfam.org/family/PF13516
22	9260416	9260976	1	Leu-rich_rpt	111.3	9260416-9260430,9260926-9260976	PF13516	http://pfam.xfam.org/family/PF13516
22	9264131	9264199	1	Leu-rich_rpt	111.3	9264131-9264199	PF13516	http://pfam.xfam.org/family/PF13516
22	9284116	9284163	1	Leu-rich_rpt	111.3	9284116-9284163	PF13516	http://pfam.xfam.org/family/PF13516
22	9264221	9264616	1	Leu-rich_rpt	111.3	9264221-9264238,9264569-9264616	PF13516	http://pfam.xfam.org/family/PF13516
22	9275978	9276043	1	Leu-rich_rpt	111.3	9275978-9276043	PF13516	http://pfam.xfam.org/family/PF13516
