#>P	ENSDARG00000077139	ENSDART00000138754	ENSDARP00000123601	9	24104199	24133601	-1	collagen, type VI, alpha 3 [Source:ZFIN;Acc:ZDB-GENE-070501-8]
#>E	ENSDARE00001035485,ENSDARE00001116810,ENSDARE00001114601,ENSDARE00001000407,ENSDARE00000987579,ENSDARE00001042414,ENSDARE00001025850,ENSDARE00001000397,ENSDARE00000785293,ENSDARE00001015806,ENSDARE00000865294,ENSDARE00000821460,ENSDARE00000778275,ENSDARE00000870739,ENSDARE00000914626,ENSDARE00000779779,ENSDARE00001032831,ENSDARE00000833209,ENSDARE00000794638,ENSDARE00000855136,ENSDARE00000779402,ENSDARE00000840925,ENSDARE00000809614,ENSDARE00000832458,ENSDARE00000874024,ENSDARE00001046940,ENSDARE00000865274,ENSDARE00000774557,ENSDARE00000877366,ENSDARE00000829062,ENSDARE00000837804,ENSDARE00000878844,ENSDARE00000842577,ENSDARE00000830910,ENSDARE00000878657,ENSDARE00000831585,ENSDARE00000826441,ENSDARE00000810027,ENSDARE00000793059,ENSDARE00000856633,ENSDARE00001019419,ENSDARE00001000288,ENSDARE00000943867,ENSDARE00001055972,ENSDARE00000959209,ENSDARE00000940275,ENSDARE00001056667,ENSDARE00001056349,ENSDARE00001051776,ENSDARE00001053848	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	24104196-24104236,24104307-24104495,24105489-24105551,24107633-24107686,24108306-24108386,24109686-24109760,24109933-24110013,24110150-24110230,24111033-24111293,24111382-24111434,24111849-24111951,24112087-24112788,24112903-24113005,24113442-24113935,24114020-24114031,24114135-24114171,24114965-24114997,24115301-24115363,24115441-24115503,24115637-24115672,24115761-24115811,24116090-24116152,24116457-24116519,24116595-24116657,24116863-24116925,24117030-24117065,24118384-24118437,24118947-24119012,24119153-24119215,24119299-24119352,24119478-24119522,24119653-24119679,24119776-24119847,24120118-24120171,24120280-24120372,24120668-24120813,24120986-24121064,24121189-24121523,24121634-24122248,24122366-24122965,24123148-24123759,24125007-24125612,24126904-24127503,24127913-24128509,24128694-24129293,24129539-24130138,24130441-24131040,24131434-24132030,24132215-24132814,24133080-24133601
9	24119673	24120323	-1	Collagen	135.2	24119673-24119679,24119776-24119847,24120118-24120171,24120280-24120323	PF01391	http://pfam.xfam.org/family/PF01391
9	24104316	24104471	-1	Kunitz_BPTI	66.2	24104316-24104471	PF00014	http://pfam.xfam.org/family/PF00014
9	24126967	24127479	-1	VWF_A	1632	24126967-24127479	PF00092	http://pfam.xfam.org/family/PF00092
9	24113486	24113902	-1	VWF_A	1632	24113486-24113902	PF00092	http://pfam.xfam.org/family/PF00092
9	24131494	24132006	-1	VWF_A	1632	24131494-24132006	PF00092	http://pfam.xfam.org/family/PF00092
9	24129599	24130114	-1	VWF_A	1632	24129599-24130114	PF00092	http://pfam.xfam.org/family/PF00092
9	24123211	24123723	-1	VWF_A	1632	24123211-24123723	PF00092	http://pfam.xfam.org/family/PF00092
9	24128754	24129269	-1	VWF_A	1632	24128754-24129269	PF00092	http://pfam.xfam.org/family/PF00092
9	24112153	24112701	-1	VWF_A	1632	24112153-24112701	PF00092	http://pfam.xfam.org/family/PF00092
9	24125082	24125588	-1	VWF_A	1632	24125082-24125588	PF00092	http://pfam.xfam.org/family/PF00092
9	24122429	24122941	-1	VWF_A	1632	24122429-24122941	PF00092	http://pfam.xfam.org/family/PF00092
9	24133140	24133598	-1	VWF_A	1632	24133140-24133598	PF00092	http://pfam.xfam.org/family/PF00092
9	24127973	24128485	-1	VWF_A	1632	24127973-24128485	PF00092	http://pfam.xfam.org/family/PF00092
9	24130501	24131016	-1	VWF_A	1632	24130501-24131016	PF00092	http://pfam.xfam.org/family/PF00092
9	24132275	24132790	-1	VWF_A	1632	24132275-24132790	PF00092	http://pfam.xfam.org/family/PF00092
9	24121703	24122218	-1	VWF_A	1632	24121703-24122218	PF00092	http://pfam.xfam.org/family/PF00092
