#>P	ENSDARG00000101689	ENSDART00000168835	ENSDARP00000132807	4	45363744	45379078	-1	si:dkey-16p6.1 [Source:ZFIN;Acc:ZDB-GENE-081103-43]
#>E	ENSDARE00001164606,ENSDARE00001215344,ENSDARE00001206529,ENSDARE00001182994,ENSDARE00001159308,ENSDARE00001192567,ENSDARE00001218239,ENSDARE00001166645,ENSDARE00001194648,ENSDARE00001194120,ENSDARE00001201571	0,0,0,0,0,0,0,0,1,1,0	45363741-45364267,45368718-45368764,45369592-45369765,45372681-45372854,45372968-45373141,45373328-45373501,45373637-45373810,45374846-45376732,45377530-45377643,45378671-45378784,45379029-45379078
4	45376441	45376659	-1	NATCH-assoc	106.5	45376441-45376659	PF14484	http://pfam.xfam.org/family/PF14484
4	45364113	45364256	-1	PRY	77.2	45364113-45364256	PF13765	http://pfam.xfam.org/family/PF13765
4	45372722	45372790	-1	Leu-rich_rpt	83	45372722-45372790	PF13516	http://pfam.xfam.org/family/PF13516
4	45372809	45372987	-1	Leu-rich_rpt	83	45372809-45372854,45372968-45372987	PF13516	http://pfam.xfam.org/family/PF13516
4	45369720	45372700	-1	Leu-rich_rpt	83	45369720-45369765,45372681-45372700	PF13516	http://pfam.xfam.org/family/PF13516
4	45373096	45373347	-1	Leu-rich_rpt	83	45373096-45373141,45373328-45373347	PF13516	http://pfam.xfam.org/family/PF13516
4	45373009	45373077	-1	Leu-rich_rpt	83	45373009-45373077	PF13516	http://pfam.xfam.org/family/PF13516
4	45373369	45373437	-1	Leu-rich_rpt	83	45373369-45373437	PF13516	http://pfam.xfam.org/family/PF13516
4	45373678	45373746	-1	Leu-rich_rpt	83	45373678-45373746	PF13516	http://pfam.xfam.org/family/PF13516
4	45369633	45369698	-1	Leu-rich_rpt	83	45369633-45369698	PF13516	http://pfam.xfam.org/family/PF13516
4	45363750	45364106	-1	SPRY_dom	46.3	45363750-45364106	PF00622	http://pfam.xfam.org/family/PF00622
