#>P	ENSDARG00000102855	ENSDART00000163261	ENSDARP00000135352	7	53485402	53818104	1	neogenin 1a [Source:ZFIN;Acc:ZDB-GENE-021031-1]
#>E	ENSDARE00001161158,ENSDARE00001183283,ENSDARE00001152993,ENSDARE00001185636,ENSDARE00001231827,ENSDARE00001213435,ENSDARE00001186458,ENSDARE00001158118,ENSDARE00001185491,ENSDARE00001211552,ENSDARE00001196019,ENSDARE00001209530,ENSDARE00001175933,ENSDARE00001201415,ENSDARE00001184183,ENSDARE00001156369,ENSDARE00001218337,ENSDARE00001155402,ENSDARE00000949354,ENSDARE00001165008,ENSDARE00001191448,ENSDARE00001179990,ENSDARE00001163961,ENSDARE00001218243,ENSDARE00001150517,ENSDARE00001221707,ENSDARE00001188181,ENSDARE00001227672,ENSDARE00001207032,ENSDARE00001178935	0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	53485402-53485474,53609539-53609856,53677040-53677315,53684150-53684300,53711739-53711875,53732347-53732501,53732876-53732996,53760226-53760399,53763413-53763414,53763471-53763621,53769795-53769943,53771800-53771938,53773906-53773955,53782106-53782250,53788451-53788561,53788644-53788838,53790080-53790175,53800125-53800357,53800431-53800569,53801161-53801268,53801360-53801554,53804916-53804948,53805348-53805410,53806899-53807037,53807156-53807391,53807948-53808040,53810952-53811110,53814344-53814592,53816520-53816644,53818024-53818107
7	53807211	53818104	1	Neogenin_C	385.8	53807211-53807391,53807948-53808040,53810952-53811110,53814344-53814592,53816520-53816644,53818024-53818104	PF06583	http://pfam.xfam.org/family/PF06583
7	53609580	53609852	1	Ig-like_dom	125.2	53609580-53609852	PF13895	http://pfam.xfam.org/family/PF13895
7	53684173	53711868	1	Ig_I-set	195.4	53684173-53684300,53711739-53711868	PF07679	http://pfam.xfam.org/family/PF07679
7	53677048	53677308	1	Ig_I-set	195.4	53677048-53677308	PF07679	http://pfam.xfam.org/family/PF07679
7	53732352	53732986	1	Ig_I-set	195.4	53732352-53732501,53732876-53732986	PF07679	http://pfam.xfam.org/family/PF07679
7	53773914	53788518	1	FN3_dom	281.3	53773914-53773955,53782106-53782250,53788451-53788518	PF00041	http://pfam.xfam.org/family/PF00041
7	53800205	53800538	1	FN3_dom	281.3	53800205-53800357,53800431-53800538	PF00041	http://pfam.xfam.org/family/PF00041
7	53760255	53763590	1	FN3_dom	281.3	53760255-53760399,53763413-53763414,53763471-53763590	PF00041	http://pfam.xfam.org/family/PF00041
7	53769815	53771898	1	FN3_dom	281.3	53769815-53769943,53771800-53771898	PF00041	http://pfam.xfam.org/family/PF00041
7	53788664	53790135	1	FN3_dom	281.3	53788664-53788838,53790080-53790135	PF00041	http://pfam.xfam.org/family/PF00041
7	53801169	53801526	1	FN3_dom	281.3	53801169-53801268,53801360-53801526	PF00041	http://pfam.xfam.org/family/PF00041
