#>P	ENSDARG00000029668	ENSDART00000050534	ENSDARP00000050533	17	38981711	39236781	-1	cysteine rich transmembrane BMP regulator 1 (chordin-like) [Source:ZFIN;Acc:ZDB-GENE-040312-2]
#>E	ENSDARE00000463091,ENSDARE00000463095,ENSDARE00000463098,ENSDARE00000463100,ENSDARE00000463102,ENSDARE00000463108,ENSDARE00000463113,ENSDARE00000463127,ENSDARE00000463133,ENSDARE00000463138,ENSDARE00001101741,ENSDARE00000749247,ENSDARE00000749253,ENSDARE00000749259,ENSDARE00000749261,ENSDARE00000749306,ENSDARE00000749309	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	38981708-38981884,38983789-38983976,38986205-38986321,38991003-38991191,38993514-38993735,38996976-38997191,38998831-38999043,39004445-39004566,39013861-39014017,39015703-39015831,39041686-39041883,39048331-39048513,39085963-39086084,39089103-39089223,39102338-39102580,39199663-39199836,39236469-39236781
17	39236530	39236691	-1	IGFBP-like	31.1	39236530-39236691	PF00219	http://pfam.xfam.org/family/PF00219
17	39013923	39013994	-1	Antistasin-like	63.2	39013923-39013994	PF02822	http://pfam.xfam.org/family/PF02822
17	39004449	39004526	-1	Antistasin-like	63.2	39004449-39004526	PF02822	http://pfam.xfam.org/family/PF02822
17	39004533	39013904	-1	Antistasin-like	63.2	39004533-39004566,39013861-39013904	PF02822	http://pfam.xfam.org/family/PF02822
17	39015710	39015799	-1	Antistasin-like	63.2	39015710-39015799	PF02822	http://pfam.xfam.org/family/PF02822
17	38991007	38991171	-1	VWF_dom	134.7	38991007-38991171	PF00093	http://pfam.xfam.org/family/PF00093
17	38996980	38997132	-1	VWF_dom	134.7	38996980-38997132	PF00093	http://pfam.xfam.org/family/PF00093
17	38998835	38998990	-1	VWF_dom	134.7	38998835-38998990	PF00093	http://pfam.xfam.org/family/PF00093
17	39041690	39041851	-1	VWF_dom	134.7	39041690-39041851	PF00093	http://pfam.xfam.org/family/PF00093
17	39048335	39048499	-1	VWF_dom	134.7	39048335-39048499	PF00093	http://pfam.xfam.org/family/PF00093
17	38993518	38993676	-1	VWF_dom	134.7	38993518-38993676	PF00093	http://pfam.xfam.org/family/PF00093
