#>P	ENSDARG00000093532	ENSDART00000170395	ENSDARP00000138733	15	41396181	41565817	-1	si:dkey-230i18.2 [Source:ZFIN;Acc:ZDB-GENE-070912-457]
#>E	ENSDARE00000956011,ENSDARE00001114226,ENSDARE00001120961,ENSDARE00001125001,ENSDARE00001108304,ENSDARE00001117620,ENSDARE00001203867,ENSDARE00001171376,ENSDARE00001203944,ENSDARE00001206725,ENSDARE00001178345,ENSDARE00001114757,ENSDARE00001119070,ENSDARE00001119160,ENSDARE00001124235,ENSDARE00001023442,ENSDARE00001107081,ENSDARE00001195952	0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0	41396178-41396191,41397055-41397233,41397417-41397587,41400594-41400764,41401254-41401424,41402323-41402493,41403067-41403237,41444891-41445061,41516297-41516467,41519489-41519659,41520702-41520872,41545755-41545925,41547453-41547623,41558637-41558810,41562833-41564626,41564713-41564826,41565469-41565582,41565768-41565817
15	41564395	41564604	-1	NATCH-assoc	101.6	41564395-41564604	PF14484	http://pfam.sanger.ac.uk/family?acc=PF14484
15	41445016	41516316	-1	Leu-rich_rpt	214.4	41445016-41445061,41516297-41516316	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41520758	41520805	-1	Leu-rich_rpt	214.4	41520758-41520805	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41444950	41444994	-1	Leu-rich_rpt	214.4	41444950-41444994	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41397473	41397520	-1	Leu-rich_rpt	214.4	41397473-41397520	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41397542	41400613	-1	Leu-rich_rpt	214.4	41397542-41397587,41400594-41400613	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41401313	41401357	-1	Leu-rich_rpt	214.4	41401313-41401357	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41547578	41558659	-1	Leu-rich_rpt	214.4	41547578-41547623,41558637-41558659	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41403123	41403170	-1	Leu-rich_rpt	214.4	41403123-41403170	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41397188	41397439	-1	Leu-rich_rpt	214.4	41397188-41397233,41397417-41397439	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41516353	41516400	-1	Leu-rich_rpt	214.4	41516353-41516400	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41516422	41519508	-1	Leu-rich_rpt	214.4	41516422-41516467,41519489-41519508	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41403192	41444910	-1	Leu-rich_rpt	214.4	41403192-41403237,41444891-41444910	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41545880	41547472	-1	Leu-rich_rpt	214.4	41545880-41545925,41547453-41547472	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41520827	41545777	-1	Leu-rich_rpt	214.4	41520827-41520872,41545755-41545777	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41519545	41519592	-1	Leu-rich_rpt	214.4	41519545-41519592	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41547509	41547556	-1	Leu-rich_rpt	214.4	41547509-41547556	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41402382	41402426	-1	Leu-rich_rpt	214.4	41402382-41402426	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41401379	41402345	-1	Leu-rich_rpt	214.4	41401379-41401424,41402323-41402345	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
15	41397122	41397166	-1	Leu-rich_rpt	214.4	41397122-41397166	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
