#>P	ENSDARG00000023479	ENSDART00000134896	ENSDARP00000120558	5	8675220	8712065	-1	low-density lipoprotein receptor related-protein 13 [Source:ZFIN;Acc:ZDB-GENE-130729-1]
#>E	ENSDARE00001044663,ENSDARE00001122739,ENSDARE00001120800,ENSDARE00001122457,ENSDARE00001115231,ENSDARE00001125578,ENSDARE00001007599,ENSDARE00000209187,ENSDARE00000713429,ENSDARE00000086754,ENSDARE00000209143,ENSDARE00000209232,ENSDARE00000078041,ENSDARE00000209253,ENSDARE00000209263,ENSDARE00000209278,ENSDARE00000915410,ENSDARE00000592533,ENSDARE00000915863,ENSDARE00000371168,ENSDARE00001000642	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8675217-8675243,8675995-8676103,8680464-8680782,8682195-8682428,8683640-8683750,8683848-8683967,8686940-8687483,8689300-8689500,8691497-8691661,8692812-8693013,8694883-8695066,8695756-8695968,8697580-8697763,8699078-8699265,8701137-8701266,8702348-8702577,8705053-8705268,8705957-8706199,8706324-8706539,8707997-8708173,8712011-8712065
5	8697590	8697709	-1	EGF-like_Ca-bd_dom	37.6	8697590-8697709	PF07645	http://pfam.xfam.org/family/PF07645
5	8705976	8706086	-1	LDrepeatLR_classA_rpt	275.6	8705976-8706086	PF00057	http://pfam.xfam.org/family/PF00057
5	8699264	8701245	-1	LDrepeatLR_classA_rpt	275.6	8699264-8699265,8701137-8701245	PF00057	http://pfam.xfam.org/family/PF00057
5	8706325	8706417	-1	LDrepeatLR_classA_rpt	275.6	8706325-8706417	PF00057	http://pfam.xfam.org/family/PF00057
5	8705171	8705969	-1	LDrepeatLR_classA_rpt	275.6	8705171-8705268,8705957-8705969	PF00057	http://pfam.xfam.org/family/PF00057
5	8702462	8702569	-1	LDrepeatLR_classA_rpt	275.6	8702462-8702569	PF00057	http://pfam.xfam.org/family/PF00057
5	8706442	8708006	-1	LDrepeatLR_classA_rpt	275.6	8706442-8706539,8707997-8708006	PF00057	http://pfam.xfam.org/family/PF00057
5	8708016	8708105	-1	LDrepeatLR_classA_rpt	275.6	8708016-8708105	PF00057	http://pfam.xfam.org/family/PF00057
5	8705054	8705146	-1	LDrepeatLR_classA_rpt	275.6	8705054-8705146	PF00057	http://pfam.xfam.org/family/PF00057
5	8699144	8699254	-1	LDrepeatLR_classA_rpt	275.6	8699144-8699254	PF00057	http://pfam.xfam.org/family/PF00057
5	8701261	8702446	-1	LDrepeatLR_classA_rpt	275.6	8701261-8701266,8702348-8702446	PF00057	http://pfam.xfam.org/family/PF00057
5	8692893	8693009	-1	LDLR_classB_rpt	90.6	8692893-8693009	PF00058	http://pfam.xfam.org/family/PF00058
