#>P	ENSDARG00000073810	ENSDART00000148562	ENSDARP00000124912	12	30539040	30566466	1	thrombospondin 2b [Source:ZFIN;Acc:ZDB-GENE-100623-1]
#>E	ENSDARE00001057819,ENSDARE00000810701,ENSDARE00000802401,ENSDARE00000841231,ENSDARE00000800548,ENSDARE00000797394,ENSDARE00000777772,ENSDARE00000855815,ENSDARE00000820242,ENSDARE00000778089,ENSDARE00000874080,ENSDARE00000857542,ENSDARE00000834441,ENSDARE00000788472,ENSDARE00000781811,ENSDARE00000810459,ENSDARE00000783278,ENSDARE00000928638,ENSDARE00000815714,ENSDARE00001052940	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	30539040-30539106,30539985-30540541,30540807-30540891,30546982-30547193,30547583-30547817,30549476-30549646,30549730-30549906,30552289-30552462,30552942-30553069,30554952-30555104,30555228-30555446,30557456-30557563,30557671-30557830,30560201-30560319,30560391-30560625,30564305-30564532,30564615-30564886,30565040-30565137,30566239-30566378,30566462-30566469
12	30555249	30555368	1	EGF_dom	30.4	30555249-30555368	PF12947	http://pfam.xfam.org/family/PF12947
12	30560391	30560504	1	Thrombospondin_3-like_rpt	193.7	30560391-30560504	PF02412	http://pfam.xfam.org/family/PF02412
12	30560248	30560319	1	Thrombospondin_3-like_rpt	193.7	30560248-30560319	PF02412	http://pfam.xfam.org/family/PF02412
12	30557773	30560250	1	Thrombospondin_3-like_rpt	193.7	30557773-30557830,30560201-30560250	PF02412	http://pfam.xfam.org/family/PF02412
12	30557489	30557703	1	Thrombospondin_3-like_rpt	193.7	30557489-30557563,30557671-30557703	PF02412	http://pfam.xfam.org/family/PF02412
12	30557704	30557772	1	Thrombospondin_3-like_rpt	193.7	30557704-30557772	PF02412	http://pfam.xfam.org/family/PF02412
12	30560508	30560612	1	Thrombospondin_3-like_rpt	193.7	30560508-30560612	PF02412	http://pfam.xfam.org/family/PF02412
12	30560613	30564390	1	Thrombospondin_3-like_rpt	193.7	30560613-30560625,30564305-30564390	PF02412	http://pfam.xfam.org/family/PF02412
12	30547649	30547813	1	VWF_dom	48.3	30547649-30547813	PF00093	http://pfam.xfam.org/family/PF00093
12	30552303	30552455	1	TSP1_rpt	122.3	30552303-30552455	PF00090	http://pfam.xfam.org/family/PF00090
12	30549750	30549902	1	TSP1_rpt	122.3	30549750-30549902	PF00090	http://pfam.xfam.org/family/PF00090
12	30549499	30549636	1	TSP1_rpt	122.3	30549499-30549636	PF00090	http://pfam.xfam.org/family/PF00090
12	30564451	30566463	1	Thrombospondin_C	321.1	30564451-30564532,30564615-30564886,30565040-30565137,30566239-30566378,30566462-30566463	PF05735	http://pfam.xfam.org/family/PF05735
