#>P	ENSDARG00000052139	ENSDART00000073930	ENSDARP00000068420	3	53275332	53304509	-1	notch 3 [Source:ZFIN;Acc:ZDB-GENE-000329-5]
#>E	ENSDARE00000948284,ENSDARE00000877326,ENSDARE00000819432,ENSDARE00000786587,ENSDARE00000971361,ENSDARE00000859801,ENSDARE00000860600,ENSDARE00000793240,ENSDARE00000775707,ENSDARE00000871689,ENSDARE00000873554,ENSDARE00000804725,ENSDARE00000756703,ENSDARE00000756709,ENSDARE00000756716,ENSDARE00000756720,ENSDARE00000756722,ENSDARE00000756724,ENSDARE00000756727,ENSDARE00000756731,ENSDARE00000756734,ENSDARE00000286707,ENSDARE00000278668,ENSDARE00000334095,ENSDARE00000419500,ENSDARE00000270415,ENSDARE00000275079,ENSDARE00000304785,ENSDARE00000272103,ENSDARE00000318402,ENSDARE00000363036,ENSDARE00000419507,ENSDARE00000916313	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	53275329-53276813,53276902-53276999,53277427-53277574,53277739-53278043,53278157-53278325,53278426-53278516,53278611-53278839,53278932-53279080,53279240-53279563,53279646-53280175,53280279-53280391,53280482-53280736,53282218-53282350,53282482-53282666,53282746-53282902,53283042-53283243,53283328-53283556,53283664-53283816,53283906-53284139,53285409-53285554,53285646-53285838,53285945-53286055,53286143-53286376,53287561-53287674,53288572-53288685,53289597-53289782,53289899-53290054,53290144-53290377,53290617-53290739,53291270-53291605,53291689-53291831,53302907-53302973,53304449-53304509
3	53278823	53279247	-1	Notch_NODP_dom	82.1	53278823-53278839,53278932-53279080,53279240-53279247	PF07684	http://pfam.xfam.org/family/PF07684
3	53276733	53277514	-1	Ankyrin_rpt-contain_dom	113.4	53276733-53276813,53276902-53276999,53277427-53277514	PF12796	http://pfam.xfam.org/family/PF12796
3	53277542	53277948	-1	Ankyrin_rpt-contain_dom	113.4	53277542-53277574,53277739-53277948	PF12796	http://pfam.xfam.org/family/PF12796
3	53290256	53290360	-1	EGF-like_Ca-bd_dom	183.6	53290256-53290360	PF07645	http://pfam.xfam.org/family/PF07645
3	53289703	53289920	-1	EGF-like_Ca-bd_dom	183.6	53289703-53289782,53289899-53289920	PF07645	http://pfam.xfam.org/family/PF07645
3	53283695	53283799	-1	EGF-like_Ca-bd_dom	183.6	53283695-53283799	PF07645	http://pfam.xfam.org/family/PF07645
3	53291379	53291477	-1	EGF-like_Ca-bd_dom	183.6	53291379-53291477	PF07645	http://pfam.xfam.org/family/PF07645
3	53279786	53279884	-1	Notch_dom	87.4	53279786-53279884	PF00066	http://pfam.xfam.org/family/PF00066
3	53279467	53279653	-1	Notch_dom	87.4	53279467-53279563,53279646-53279653	PF00066	http://pfam.xfam.org/family/PF00066
3	53279669	53279770	-1	Notch_dom	87.4	53279669-53279770	PF00066	http://pfam.xfam.org/family/PF00066
3	53275401	53275586	-1	DUF3454_notch	91.4	53275401-53275586	PF11936	http://pfam.xfam.org/family/PF11936
3	53279287	53279454	-1	Notch_NOD_dom	73.3	53279287-53279454	PF06816	http://pfam.xfam.org/family/PF06816
3	53287664	53288647	-1	EGF-like_dom	700.4	53287664-53287674,53288572-53288647	PF00008	http://pfam.xfam.org/family/PF00008
3	53284018	53284110	-1	EGF-like_dom	700.4	53284018-53284110	PF00008	http://pfam.xfam.org/family/PF00008
3	53290726	53291348	-1	EGF-like_dom	700.4	53290726-53290739,53291270-53291348	PF00008	http://pfam.xfam.org/family/PF00008
3	53286051	53286227	-1	EGF-like_dom	700.4	53286051-53286055,53286143-53286227	PF00008	http://pfam.xfam.org/family/PF00008
3	53285720	53285809	-1	EGF-like_dom	700.4	53285720-53285809	PF00008	http://pfam.xfam.org/family/PF00008
3	53291487	53291579	-1	EGF-like_dom	700.4	53291487-53291579	PF00008	http://pfam.xfam.org/family/PF00008
3	53285515	53285695	-1	EGF-like_dom	700.4	53285515-53285554,53285646-53285695	PF00008	http://pfam.xfam.org/family/PF00008
3	53290373	53290701	-1	EGF-like_dom	700.4	53290373-53290377,53290617-53290701	PF00008	http://pfam.xfam.org/family/PF00008
3	53282792	53282887	-1	EGF-like_dom	700.4	53282792-53282887	PF00008	http://pfam.xfam.org/family/PF00008
3	53288669	53289672	-1	EGF-like_dom	700.4	53288669-53288685,53289597-53289672	PF00008	http://pfam.xfam.org/family/PF00008
3	53290053	53290228	-1	EGF-like_dom	700.4	53290053-53290054,53290144-53290228	PF00008	http://pfam.xfam.org/family/PF00008
3	53283366	53283452	-1	EGF-like_dom	700.4	53283366-53283452	PF00008	http://pfam.xfam.org/family/PF00008
3	53282225	53282302	-1	EGF-like_dom	700.4	53282225-53282302	PF00008	http://pfam.xfam.org/family/PF00008
3	53282569	53282652	-1	EGF-like_dom	700.4	53282569-53282652	PF00008	http://pfam.xfam.org/family/PF00008
3	53280594	53280677	-1	EGF-like_dom	700.4	53280594-53280677	PF00008	http://pfam.xfam.org/family/PF00008
3	53286255	53286338	-1	EGF-like_dom	700.4	53286255-53286338	PF00008	http://pfam.xfam.org/family/PF00008
3	53280158	53280362	-1	EGF-like_dom	700.4	53280158-53280175,53280279-53280362	PF00008	http://pfam.xfam.org/family/PF00008
3	53284135	53285493	-1	EGF-like_dom	700.4	53284135-53284139,53285409-53285493	PF00008	http://pfam.xfam.org/family/PF00008
3	53283815	53283996	-1	EGF-like_dom	700.4	53283815-53283816,53283906-53283996	PF00008	http://pfam.xfam.org/family/PF00008
3	53286363	53287636	-1	EGF-like_dom	700.4	53286363-53286376,53287561-53287636	PF00008	http://pfam.xfam.org/family/PF00008
3	53283474	53283673	-1	EGF-like_dom	700.4	53283474-53283556,53283664-53283673	PF00008	http://pfam.xfam.org/family/PF00008
3	53283048	53283140	-1	EGF-like_dom	700.4	53283048-53283140	PF00008	http://pfam.xfam.org/family/PF00008
3	53285834	53286026	-1	EGF-like_dom	700.4	53285834-53285838,53285945-53286026	PF00008	http://pfam.xfam.org/family/PF00008
3	53282324	53282547	-1	EGF-like_dom	700.4	53282324-53282350,53282482-53282547	PF00008	http://pfam.xfam.org/family/PF00008
