#>P	ENSDARG00000030417	ENSDART00000039911	ENSDARP00000039910	1	53601881	53684747	-1	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]
#>E	ENSDARE00000825646,ENSDARE00000272458,ENSDARE00000305620,ENSDARE00000306904,ENSDARE00000312055,ENSDARE00000432745,ENSDARE00000860565,ENSDARE00000579258,ENSDARE00000579263,ENSDARE00000579268,ENSDARE00000579272,ENSDARE00000579279,ENSDARE00000579285,ENSDARE00000579291,ENSDARE00000859067,ENSDARE00000579307,ENSDARE00000579312,ENSDARE00000579316,ENSDARE00000579320,ENSDARE00000579324,ENSDARE00000579332,ENSDARE00000579337,ENSDARE00000579345,ENSDARE00000579353,ENSDARE00000579360,ENSDARE00000579366,ENSDARE00000579370,ENSDARE00000579375,ENSDARE00000579382,ENSDARE00000579389,ENSDARE00000579396,ENSDARE00000579408,ENSDARE00000579411,ENSDARE00000579415,ENSDARE00000579417	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	53601878-53603029,53603704-53604024,53606146-53606280,53609475-53609762,53611266-53611440,53612603-53612728,53615213-53615333,53617480-53617610,53621857-53621996,53623704-53623898,53626498-53626700,53626967-53627082,53628605-53628677,53630663-53630865,53632745-53632794,53639332-53639448,53639544-53639670,53642977-53643184,53643366-53643509,53646771-53646941,53650157-53650352,53652153-53652414,53653796-53653943,53654810-53655523,53656977-53657121,53657198-53657356,53657681-53657840,53661682-53661898,53664672-53664960,53670084-53670224,53672482-53672634,53674533-53678179,53679432-53679550,53684184-53684359,53684580-53684747
1	53603812	53621879	-1	PKD1_2_channel	287.4	53603812-53604024,53606146-53606280,53609475-53609762,53611266-53611440,53612603-53612728,53615213-53615333,53617480-53617610,53621857-53621879	PF08016	http://pfam.xfam.org/family/PF08016
1	53652192	53652320	-1	GPS	29.4	53652192-53652320	PF01825	http://pfam.xfam.org/family/PF01825
1	53657705	53674952	-1	PKD/REJ-like	366	53657705-53657840,53661682-53661898,53664672-53664960,53670084-53670224,53672482-53672634,53674533-53674952	PF02010	http://pfam.xfam.org/family/PF02010
1	53675583	53675783	-1	PKD_dom	404.6	53675583-53675783	PF00801	http://pfam.xfam.org/family/PF00801
1	53677623	53677808	-1	PKD_dom	404.6	53677623-53677808	PF00801	http://pfam.xfam.org/family/PF00801
1	53677107	53677310	-1	PKD_dom	404.6	53677107-53677310	PF00801	http://pfam.xfam.org/family/PF00801
1	53677872	53678054	-1	PKD_dom	404.6	53677872-53678054	PF00801	http://pfam.xfam.org/family/PF00801
1	53676861	53677040	-1	PKD_dom	404.6	53676861-53677040	PF00801	http://pfam.xfam.org/family/PF00801
1	53675841	53676023	-1	PKD_dom	404.6	53675841-53676023	PF00801	http://pfam.xfam.org/family/PF00801
1	53676612	53676797	-1	PKD_dom	404.6	53676612-53676797	PF00801	http://pfam.xfam.org/family/PF00801
1	53677371	53677562	-1	PKD_dom	404.6	53677371-53677562	PF00801	http://pfam.xfam.org/family/PF00801
1	53675058	53675252	-1	PKD_dom	404.6	53675058-53675252	PF00801	http://pfam.xfam.org/family/PF00801
1	53643406	53650196	-1	PLAT/LH2_dom	82.9	53643406-53643509,53646771-53646941,53650157-53650196	PF01477	http://pfam.xfam.org/family/PF01477
