#>P	ENSDARG00000010186	ENSDART00000136041	ENSDARP00000113364	24	6133889	6229100	-1	myosin IIIA [Source:ZFIN;Acc:ZDB-GENE-041026-4]
#>E	ENSDARE00000999469,ENSDARE00000558441,ENSDARE00000558447,ENSDARE00000558451,ENSDARE00000558456,ENSDARE00000100942,ENSDARE00000016789,ENSDARE00000103545,ENSDARE00000148343,ENSDARE00000104903,ENSDARE00000135352,ENSDARE00000294247,ENSDARE00000420939,ENSDARE00000420941,ENSDARE00000104446,ENSDARE00000420942,ENSDARE00000420944,ENSDARE00000420945,ENSDARE00000420948,ENSDARE00000289841,ENSDARE00000300843,ENSDARE00000299305,ENSDARE00000297853,ENSDARE00000305725,ENSDARE00000932271,ENSDARE00000302765,ENSDARE00000301314,ENSDARE00000316432,ENSDARE00000420951,ENSDARE00000310784,ENSDARE00000309362,ENSDARE00000073663,ENSDARE00000057288,ENSDARE00000420952,ENSDARE00000160774,ENSDARE00000770936,ENSDARE00000770939	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	6133886-6134000,6134217-6134399,6141627-6141667,6141762-6141853,6144677-6144821,6146761-6147877,6149450-6149573,6149656-6149742,6150652-6150814,6150890-6151001,6153459-6153664,6155794-6155874,6156050-6156121,6160983-6161024,6163016-6163092,6167500-6167629,6169409-6169497,6170288-6170441,6175867-6176014,6177123-6177333,6178886-6179012,6183994-6184108,6184209-6184307,6184730-6184932,6185342-6185425,6185499-6185603,6186962-6187078,6189168-6189267,6190228-6190263,6190459-6190614,6190884-6190949,6196501-6196646,6198924-6199000,6211048-6211147,6211265-6211369,6227529-6227663,6228933-6229100
24	6190551	6229040	-1	Prot_kinase_dom	203.8	6190551-6190614,6190884-6190949,6196501-6196646,6198924-6199000,6211048-6211147,6211265-6211369,6227529-6227663,6228933-6229040	PF00069	http://pfam.xfam.org/family/PF00069
24	6150803	6189200	-1	Myosin_head_motor_dom	679.8	6150803-6150814,6150890-6151001,6153459-6153664,6155794-6155874,6156050-6156121,6160983-6161024,6163016-6163092,6167500-6167629,6169409-6169497,6170288-6170441,6175867-6176014,6177123-6177333,6178886-6179012,6183994-6184108,6184209-6184307,6184730-6184932,6185342-6185425,6185499-6185603,6186962-6187078,6189168-6189200	PF00063	http://pfam.xfam.org/family/PF00063
24	6149539	6149671	-1	IQ_motif_EF-hand-BS	149.8	6149539-6149573,6149656-6149671	PF00612	http://pfam.xfam.org/family/PF00612
24	6147223	6147282	-1	IQ_motif_EF-hand-BS	149.8	6147223-6147282	PF00612	http://pfam.xfam.org/family/PF00612
24	6149717	6150676	-1	IQ_motif_EF-hand-BS	149.8	6149717-6149742,6150652-6150676	PF00612	http://pfam.xfam.org/family/PF00612
24	6150701	6150754	-1	IQ_motif_EF-hand-BS	149.8	6150701-6150754	PF00612	http://pfam.xfam.org/family/PF00612
24	6147445	6147504	-1	IQ_motif_EF-hand-BS	149.8	6147445-6147504	PF00612	http://pfam.xfam.org/family/PF00612
24	6147007	6147066	-1	IQ_motif_EF-hand-BS	149.8	6147007-6147066	PF00612	http://pfam.xfam.org/family/PF00612
24	6149458	6149520	-1	IQ_motif_EF-hand-BS	149.8	6149458-6149520	PF00612	http://pfam.xfam.org/family/PF00612
24	6146809	6146868	-1	IQ_motif_EF-hand-BS	149.8	6146809-6146868	PF00612	http://pfam.xfam.org/family/PF00612
24	6147688	6147750	-1	IQ_motif_EF-hand-BS	149.8	6147688-6147750	PF00612	http://pfam.xfam.org/family/PF00612
