#>P	ENSDARG00000028533	ENSDART00000146394	ENSDARP00000116989	19	35454128	35752907	-1	microtubule-actin crosslinking factor 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3606]
#>E	ENSDARE00001039096,ENSDARE00000371695,ENSDARE00001080442,ENSDARE00000371697,ENSDARE00000953731,ENSDARE00000889990,ENSDARE00000921096,ENSDARE00000013118,ENSDARE00000843543,ENSDARE00000034482,ENSDARE00000545252,ENSDARE00000128846,ENSDARE00000163064,ENSDARE00000817486,ENSDARE00000111241,ENSDARE00000371702,ENSDARE00000084726,ENSDARE00000371703,ENSDARE00000034782,ENSDARE00000371704,ENSDARE00000371705,ENSDARE00000371706,ENSDARE00000371707,ENSDARE00000371708,ENSDARE00000371709,ENSDARE00000371710,ENSDARE00000371711,ENSDARE00000371712,ENSDARE00000371713,ENSDARE00000371714,ENSDARE00000371715,ENSDARE00000371716,ENSDARE00000371717,ENSDARE00000371718,ENSDARE00000371719,ENSDARE00000928434,ENSDARE00000371720,ENSDARE00000371721,ENSDARE00000371722,ENSDARE00000371723,ENSDARE00000371724,ENSDARE00000117289,ENSDARE00000300203,ENSDARE00000920084,ENSDARE00000976995,ENSDARE00000983145,ENSDARE00000889694,ENSDARE00000931399,ENSDARE00000937479,ENSDARE00000984614,ENSDARE00000927652,ENSDARE00000981762,ENSDARE00000983467,ENSDARE00000970259,ENSDARE00000966976,ENSDARE00000965174,ENSDARE00000956110,ENSDARE00000953981,ENSDARE00000977029,ENSDARE00000949360,ENSDARE00000962247,ENSDARE00000938907,ENSDARE00000967963,ENSDARE00001044215,ENSDARE00000281743,ENSDARE00000371692,ENSDARE00000319297,ENSDARE00000275252,ENSDARE00000273187,ENSDARE00000309685,ENSDARE00000308377,ENSDARE00000292159,ENSDARE00000290587,ENSDARE00000303888,ENSDARE00000302427,ENSDARE00000313413,ENSDARE00000311861,ENSDARE00000347741,ENSDARE00000215577,ENSDARE00000215593,ENSDARE00000215609,ENSDARE00000215631,ENSDARE00000215649,ENSDARE00000215689,ENSDARE00000215713,ENSDARE00000317805,ENSDARE00000062732,ENSDARE00000056021,ENSDARE00000111458,ENSDARE00000110579,ENSDARE00000087122,ENSDARE00000159755,ENSDARE00000898004,ENSDARE00000887294,ENSDARE00000131282,ENSDARE00000932048,ENSDARE00000998841	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	35454125-35454363,35456209-35456314,35458254-35458367,35460545-35460756,35465245-35465362,35467591-35467608,35468264-35468338,35468412-35468566,35468660-35468822,35469758-35469912,35470739-35470850,35470944-35471132,35472992-35473264,35473614-35473808,35475105-35475264,35475362-35475531,35475614-35475733,35476208-35476414,35477473-35477628,35478003-35478185,35478675-35478803,35479885-35480082,35480169-35480324,35482170-35482343,35482428-35482529,35482614-35482715,35482805-35482927,35485397-35485623,35485708-35485933,35488395-35488598,35489043-35489261,35489489-35489716,35491350-35491556,35492025-35492251,35492346-35492430,35495015-35495341,35495743-35495902,35496056-35496222,35497811-35497981,35498066-35498227,35528883-35529383,35531614-35532608,35534221-35534728,35535252-35535451,35535650-35535779,35536290-35536528,35539267-35539329,35541054-35541165,35541264-35541420,35544197-35544363,35544454-35544771,35546938-35547137,35547935-35548058,35548190-35548366,35548447-35548638,35548733-35549074,35550687-35550857,35550941-35551174,35552196-35552345,35553602-35553892,35554977-35555126,35555224-35555439,35555540-35555695,35564330-35564612,35565522-35565613,35566522-35566641,35568303-35568401,35568499-35568606,35570286-35570369,35570450-35570609,35572528-35572721,35574862-35575000,35576741-35576919,35577780-35577946,35580088-35580271,35580354-35580480,35582995-35583149,35587986-35588138,35590452-35590577,35590705-35590800,35592133-35592237,35594446-35594607,35594990-35595067,35597066-35597486,35597592-35597746,35600089-35600182,35603794-35603921,35604177-35604272,35604388-35604507,35606238-35606344,35606458-35606570,35606866-35607032,35618162-35618254,35620292-35620369,35624666-35624755,35634759-35634820,35752685-35752907
19	35468472	35468744	-1	EF_hand_dom	37.6	35468472-35468566,35468660-35468744	PF13499	http://pfam.xfam.org/family/PF13499
19	35606277	35606987	-1	CH-domain	137.3	35606277-35606344,35606458-35606570,35606866-35606987	PF00307	http://pfam.xfam.org/family/PF00307
19	35618162	35634800	-1	CH-domain	137.3	35618162-35618254,35620292-35620369,35624666-35624755,35634759-35634800	PF00307	http://pfam.xfam.org/family/PF00307
19	35497952	35529014	-1	Spectrin_repeat	690.2	35497952-35497981,35498066-35498227,35528883-35529014	PF00435	http://pfam.xfam.org/family/PF00435
19	35471094	35473616	-1	Spectrin_repeat	690.2	35471094-35471132,35472992-35473264,35473614-35473616	PF00435	http://pfam.xfam.org/family/PF00435
19	35485538	35488400	-1	Spectrin_repeat	690.2	35485538-35485623,35485708-35485933,35488395-35488400	PF00435	http://pfam.xfam.org/family/PF00435
19	35535396	35536424	-1	Spectrin_repeat	690.2	35535396-35535451,35535650-35535779,35536290-35536424	PF00435	http://pfam.xfam.org/family/PF00435
19	35532259	35532570	-1	Spectrin_repeat	690.2	35532259-35532570	PF00435	http://pfam.xfam.org/family/PF00435
19	35480313	35482508	-1	Spectrin_repeat	690.2	35480313-35480324,35482170-35482343,35482428-35482508	PF00435	http://pfam.xfam.org/family/PF00435
19	35531926	35532234	-1	Spectrin_repeat	690.2	35531926-35532234	PF00435	http://pfam.xfam.org/family/PF00435
19	35477614	35478803	-1	Spectrin_repeat	690.2	35477614-35477628,35478003-35478185,35478675-35478803	PF00435	http://pfam.xfam.org/family/PF00435
19	35488416	35489162	-1	Spectrin_repeat	690.2	35488416-35488598,35489043-35489162	PF00435	http://pfam.xfam.org/family/PF00435
19	35489184	35491361	-1	Spectrin_repeat	690.2	35489184-35489261,35489489-35489716,35491350-35491361	PF00435	http://pfam.xfam.org/family/PF00435
19	35482653	35485519	-1	Spectrin_repeat	690.2	35482653-35482715,35482805-35482927,35485397-35485519	PF00435	http://pfam.xfam.org/family/PF00435
19	35475246	35476219	-1	Spectrin_repeat	690.2	35475246-35475264,35475362-35475531,35475614-35475733,35476208-35476219	PF00435	http://pfam.xfam.org/family/PF00435
19	35476229	35477592	-1	Spectrin_repeat	690.2	35476229-35476414,35477473-35477592	PF00435	http://pfam.xfam.org/family/PF00435
19	35473626	35475227	-1	Spectrin_repeat	690.2	35473626-35473808,35475105-35475227	PF00435	http://pfam.xfam.org/family/PF00435
19	35495156	35495871	-1	Spectrin_repeat	690.2	35495156-35495341,35495743-35495871	PF00435	http://pfam.xfam.org/family/PF00435
19	35479900	35480297	-1	Spectrin_repeat	690.2	35479900-35480082,35480169-35480297	PF00435	http://pfam.xfam.org/family/PF00435
19	35534528	35535374	-1	Spectrin_repeat	690.2	35534528-35534728,35535252-35535374	PF00435	http://pfam.xfam.org/family/PF00435
19	35495884	35497933	-1	Spectrin_repeat	690.2	35495884-35495902,35496056-35496222,35497811-35497933	PF00435	http://pfam.xfam.org/family/PF00435
19	35460752	35468429	-1	GAS2_dom	120.9	35460752-35460756,35465245-35465362,35467591-35467608,35468264-35468338,35468412-35468429	PF02187	http://pfam.xfam.org/family/PF02187
