#>P	ENSDARG00000093402	ENSDART00000152919	ENSDARP00000127452	22	9605690	9705057	-1	si:dkey-286j17.4 [Source:ZFIN;Acc:ZDB-GENE-130530-2]
#>E	ENSDARE00001133314,ENSDARE00001134338,ENSDARE00001132020,ENSDARE00001132983,ENSDARE00001132071,ENSDARE00001134278,ENSDARE00001134430,ENSDARE00001133393,ENSDARE00001134115,ENSDARE00001132239,ENSDARE00001131907,ENSDARE00001132568,ENSDARE00001133222,ENSDARE00001133163,ENSDARE00001133435,ENSDARE00001132466,ENSDARE00001134305,ENSDARE00001134015,ENSDARE00001133021,ENSDARE00001133792,ENSDARE00001131866,ENSDARE00001133121,ENSDARE00001132834,ENSDARE00001133622,ENSDARE00001133214,ENSDARE00001132303,ENSDARE00001132280,ENSDARE00001133976,ENSDARE00001132600,ENSDARE00001132746,ENSDARE00001133012,ENSDARE00001026665,ENSDARE00001005624,ENSDARE00001132808,ENSDARE00001133974,ENSDARE00001132261,ENSDARE00001133782,ENSDARE00001133296	0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	9605687-9605696,9607374-9607535,9611506-9611679,9612952-9613125,9613406-9613579,9613961-9614134,9616915-9617088,9619222-9619395,9619723-9619896,9622332-9622502,9627717-9627890,9629498-9629665,9630711-9630881,9637227-9637400,9638887-9639054,9640106-9640276,9645498-9645671,9647341-9647508,9648554-9648724,9655065-9655238,9656768-9656935,9657988-9658158,9660953-9661126,9662884-9663051,9664409-9664579,9675997-9676167,9678788-9678961,9679406-9679573,9680781-9680954,9684686-9684856,9691622-9691795,9694353-9694520,9694957-9695124,9696310-9698167,9698247-9698442,9698776-9698821,9700005-9700106,9705014-9705057
22	9697929	9698147	-1	NATCH-assoc	99.1	9697929-9698147	PF14484	http://pfam.xfam.org/family/PF14484
22	9680822	9680887	-1	Leu-rich_rpt	228.7	9680822-9680887	PF13516	http://pfam.xfam.org/family/PF13516
22	9679441	9679506	-1	Leu-rich_rpt	228.7	9679441-9679506	PF13516	http://pfam.xfam.org/family/PF13516
22	9647376	9647441	-1	Leu-rich_rpt	228.7	9647376-9647441	PF13516	http://pfam.xfam.org/family/PF13516
22	9613447	9613512	-1	Leu-rich_rpt	228.7	9613447-9613512	PF13516	http://pfam.xfam.org/family/PF13516
22	9612993	9613058	-1	Leu-rich_rpt	228.7	9612993-9613058	PF13516	http://pfam.xfam.org/family/PF13516
22	9679525	9680800	-1	Leu-rich_rpt	228.7	9679525-9679573,9680781-9680800	PF13516	http://pfam.xfam.org/family/PF13516
22	9614002	9614067	-1	Leu-rich_rpt	228.7	9614002-9614067	PF13516	http://pfam.xfam.org/family/PF13516
22	9691747	9694372	-1	Leu-rich_rpt	228.7	9691747-9691795,9694353-9694372	PF13516	http://pfam.xfam.org/family/PF13516
22	9694995	9695060	-1	Leu-rich_rpt	228.7	9694995-9695060	PF13516	http://pfam.xfam.org/family/PF13516
22	9656803	9656868	-1	Leu-rich_rpt	228.7	9656803-9656868	PF13516	http://pfam.xfam.org/family/PF13516
22	9662919	9662984	-1	Leu-rich_rpt	228.7	9662919-9662984	PF13516	http://pfam.xfam.org/family/PF13516
22	9629533	9629598	-1	Leu-rich_rpt	228.7	9629533-9629598	PF13516	http://pfam.xfam.org/family/PF13516
22	9694388	9694453	-1	Leu-rich_rpt	228.7	9694388-9694453	PF13516	http://pfam.xfam.org/family/PF13516
22	9639006	9640125	-1	Leu-rich_rpt	228.7	9639006-9639054,9640106-9640125	PF13516	http://pfam.xfam.org/family/PF13516
22	9619263	9619328	-1	Leu-rich_rpt	228.7	9619263-9619328	PF13516	http://pfam.xfam.org/family/PF13516
22	9616956	9617021	-1	Leu-rich_rpt	228.7	9616956-9617021	PF13516	http://pfam.xfam.org/family/PF13516
22	9678916	9679425	-1	Leu-rich_rpt	228.7	9678916-9678961,9679406-9679425	PF13516	http://pfam.xfam.org/family/PF13516
22	9656887	9658007	-1	Leu-rich_rpt	228.7	9656887-9656935,9657988-9658007	PF13516	http://pfam.xfam.org/family/PF13516
22	9638922	9638987	-1	Leu-rich_rpt	228.7	9638922-9638987	PF13516	http://pfam.xfam.org/family/PF13516
