#>P	ENSDARG00000051896	ENSDART00000073604	ENSDARP00000068094	10	16387147	16511672	-1	fibrillin 2a [Source:ZFIN;Acc:ZDB-GENE-090112-4]
#>E	ENSDARE00001225924,ENSDARE00000917499,ENSDARE00000896154,ENSDARE00000914620,ENSDARE00000931350,ENSDARE00000929984,ENSDARE00000892545,ENSDARE00000936522,ENSDARE00000952116,ENSDARE00000970366,ENSDARE00000888819,ENSDARE00001165637,ENSDARE00001203562,ENSDARE00000981029,ENSDARE00000975141,ENSDARE00000829454,ENSDARE00000854243,ENSDARE00000816207,ENSDARE00001229829,ENSDARE00000523894,ENSDARE00000523895,ENSDARE00000523896,ENSDARE00001160070,ENSDARE00001166768,ENSDARE00001184139,ENSDARE00000523898,ENSDARE00000523899,ENSDARE00000523900,ENSDARE00000523901,ENSDARE00000723719,ENSDARE00001186085,ENSDARE00000723721,ENSDARE00000723724,ENSDARE00000723727,ENSDARE00000723730,ENSDARE00000723733,ENSDARE00000723736,ENSDARE00000723737,ENSDARE00000723740,ENSDARE00000723744,ENSDARE00000723747,ENSDARE00000723750,ENSDARE00000723752,ENSDARE00001107442,ENSDARE00000723757,ENSDARE00000723759,ENSDARE00000723762	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	16387144-16387160,16387881-16388006,16389609-16389734,16392338-16392463,16392552-16392620,16397795-16397947,16398157-16398282,16400012-16400137,16401263-16401331,16403224-16403379,16413255-16413377,16413461-16413585,16416713-16416836,16416985-16417107,16419755-16419877,16436568-16436693,16437067-16437192,16438437-16438559,16441290-16441415,16441615-16441740,16442001-16442129,16446214-16446339,16446463-16446650,16446781-16446812,16447524-16447531,16447770-16447895,16448005-16448055,16449937-16450074,16451508-16451627,16454091-16454216,16461204-16461344,16462690-16462743,16464187-16464339,16475813-16475935,16476263-16476385,16478368-16478493,16478733-16478852,16482257-16482394,16482487-16482729,16485782-16485934,16490045-16490170,16490532-16490657,16495338-16495535,16499329-16499424,16501453-16501548,16506272-16506370,16511615-16511672
10	16419759	16419866	-1	EGF_dom	100.8	16419759-16419866	PF12947	http://pfam.sanger.ac.uk/family?acc=PF12947
10	16475925	16476323	-1	cEGF	424.3	16475925-16475935,16476263-16476323	PF12662	http://pfam.sanger.ac.uk/family?acc=PF12662
10	16447804	16447896	-1	EGF-like_Ca-bd_dom	649.3	16447804-16447896	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
10	16441294	16441416	-1	EGF-like_Ca-bd_dom	649.3	16441294-16441416	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
10	16398161	16398283	-1	EGF-like_Ca-bd_dom	649.3	16398161-16398283	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
10	16478737	16478853	-1	EGF-like_Ca-bd_dom	649.3	16478737-16478853	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
10	16436572	16436694	-1	EGF-like_Ca-bd_dom	649.3	16436572-16436694	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
10	16413465	16413584	-1	EGF-like_Ca-bd_dom	649.3	16413465-16413584	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
10	16413268	16413378	-1	EGF-like_Ca-bd_dom	649.3	16413268-16413378	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
10	16490049	16490171	-1	EGF-like_Ca-bd_dom	649.3	16490049-16490171	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
10	16454095	16454217	-1	EGF-like_Ca-bd_dom	649.3	16454095-16454217	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
10	16437071	16437193	-1	EGF-like_Ca-bd_dom	649.3	16437071-16437193	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
10	16446218	16446340	-1	EGF-like_Ca-bd_dom	649.3	16446218-16446340	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
10	16416715	16416837	-1	EGF-like_Ca-bd_dom	649.3	16416715-16416837	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
10	16417007	16417108	-1	EGF-like_Ca-bd_dom	649.3	16417007-16417108	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
10	16387885	16388007	-1	EGF-like_Ca-bd_dom	649.3	16387885-16388007	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
