#>P	ENSDARG00000093024	ENSDART00000132667	ENSDARP00000118221	22	8980795	9027423	1	si:ch211-213a13.2 [Source:ZFIN;Acc:ZDB-GENE-050208-551]
#>E	ENSDARE00001082568,ENSDARE00001077225,ENSDARE00001078305,ENSDARE00001082982,ENSDARE00001089262,ENSDARE00001095375,ENSDARE00001101041,ENSDARE00001083197,ENSDARE00001080321,ENSDARE00001099185,ENSDARE00001091206,ENSDARE00001081674,ENSDARE00001097678,ENSDARE00001095596,ENSDARE00001092738,ENSDARE00001083863,ENSDARE00001101767,ENSDARE00001044350,ENSDARE00001085151,ENSDARE00001091528,ENSDARE00001096616,ENSDARE00001096453,ENSDARE00001101915,ENSDARE00001077258,ENSDARE00001100428,ENSDARE00001091296,ENSDARE00001093106,ENSDARE00001093256,ENSDARE00001101664,ENSDARE00001089571,ENSDARE00001081144,ENSDARE00001094838,ENSDARE00001082737,ENSDARE00001098696,ENSDARE00001077453,ENSDARE00001078135,ENSDARE00001078832,ENSDARE00001010072,ENSDARE00001044969,ENSDARE00001097553,ENSDARE00001096109,ENSDARE00001025679,ENSDARE00001027018,ENSDARE00000995081,ENSDARE00001004458,ENSDARE00001010406,ENSDARE00001047297	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8980795-8980856,8982385-8982483,8983979-8984083,8985175-8985276,8986260-8986364,8987960-8988064,8988593-8988697,8989164-8989268,8989559-8989663,8990057-8990161,8991535-8991639,8993112-8993165,8993416-8993511,8996230-8996334,8996414-8996530,8998400-8998484,8998575-8998770,8998870-9000697,9003005-9003175,9003411-9003581,9003750-9003920,9004675-9004842,9004980-9005153,9005271-9005444,9005515-9005685,9006394-9006564,9006737-9006910,9007678-9007848,9009005-9009178,9010012-9010182,9010337-9010504,9010608-9010769,9010899-9011069,9012770-9012943,9013454-9013627,9013909-9014079,9014776-9014940,9015279-9015449,9018858-9019028,9019177-9019350,9019986-9020159,9020343-9020513,9022748-9022921,9023081-9023254,9026403-9026576,9026943-9027116,9027265-9027426
22	8998899	8999114	1	NATCH-assoc	93.5	8998899-8999114	PF14484	http://pfam.sanger.ac.uk/family?acc=PF14484
22	9010401	9010469	1	Leu-rich_rpt	295.8	9010401-9010469	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9005579	9005644	1	Leu-rich_rpt	295.8	9005579-9005644	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9023145	9023213	1	Leu-rich_rpt	295.8	9023145-9023213	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9012834	9012902	1	Leu-rich_rpt	295.8	9012834-9012902	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9010672	9010737	1	Leu-rich_rpt	295.8	9010672-9010737	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9014918	9015324	1	Leu-rich_rpt	295.8	9014918-9014940,9015279-9015324	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9026467	9026535	1	Leu-rich_rpt	295.8	9026467-9026535	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9027332	9027379	1	Leu-rich_rpt	295.8	9027332-9027379	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9015343	9015408	1	Leu-rich_rpt	295.8	9015343-9015408	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9012924	9013499	1	Leu-rich_rpt	295.8	9012924-9012943,9013454-9013499	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9027007	9027075	1	Leu-rich_rpt	295.8	9027007-9027075	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9005335	9005403	1	Leu-rich_rpt	295.8	9005335-9005403	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9007742	9007807	1	Leu-rich_rpt	295.8	9007742-9007807	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9019241	9019306	1	Leu-rich_rpt	295.8	9019241-9019306	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9005044	9005103	1	Leu-rich_rpt	295.8	9005044-9005103	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9003072	9003134	1	Leu-rich_rpt	295.8	9003072-9003134	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9010482	9010653	1	Leu-rich_rpt	295.8	9010482-9010504,9010608-9010653	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9006798	9006869	1	Leu-rich_rpt	295.8	9006798-9006869	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9019325	9020031	1	Leu-rich_rpt	295.8	9019325-9019350,9019986-9020031	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9022812	9022880	1	Leu-rich_rpt	295.8	9022812-9022880	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9003814	9003879	1	Leu-rich_rpt	295.8	9003814-9003879	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9003475	9003543	1	Leu-rich_rpt	295.8	9003475-9003543	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
