#>P	ENSDARG00000090160	ENSDART00000150746	ENSDARP00000125566	4	48010316	48059615	-1	si:dkey-156k2.3 [Source:ZFIN;Acc:ZDB-GENE-110913-19]
#>E	ENSDARE00001065271,ENSDARE00000979777,ENSDARE00001066066,ENSDARE00000898573,ENSDARE00000940315,ENSDARE00000914609,ENSDARE00000922398,ENSDARE00000920013,ENSDARE00000910666,ENSDARE00000945400,ENSDARE00001064146	0,0,0,0,0,0,0,0,0,0,0	48010313-48010902,48011864-48011910,48020584-48020757,48025101-48025274,48040192-48040365,48054806-48054979,48055852-48056025,48056155-48056328,48056456-48056629,48057203-48059021,48059357-48059615
4	48059373	48059603	-1	DAPIN	74	48059373-48059603	PF02758	http://pfam.xfam.org/family/PF02758
4	48054838	48054906	-1	Leu-rich_rpt	58	48054838-48054906	PF00560	http://pfam.xfam.org/family/PF00560
4	48058747	48058965	-1	NATCH-assoc	81.1	48058747-48058965	PF14484	http://pfam.xfam.org/family/PF14484
4	48010748	48010891	-1	PRY	77.1	48010748-48010891	PF13765	http://pfam.xfam.org/family/PF13765
4	48010325	48010741	-1	SPRY_dom	38.3	48010325-48010741	PF00622	http://pfam.xfam.org/family/PF00622
4	48025229	48040214	-1	Leu-rich_rpt	94.3	48025229-48025274,48040192-48040214	PF13516	http://pfam.xfam.org/family/PF13516
4	48056497	48056565	-1	Leu-rich_rpt	94.3	48056497-48056565	PF13516	http://pfam.xfam.org/family/PF13516
4	48040242	48040301	-1	Leu-rich_rpt	94.3	48040242-48040301	PF13516	http://pfam.xfam.org/family/PF13516
4	48040320	48054828	-1	Leu-rich_rpt	94.3	48040320-48040365,48054806-48054828	PF13516	http://pfam.xfam.org/family/PF13516
4	48020625	48020690	-1	Leu-rich_rpt	94.3	48020625-48020690	PF13516	http://pfam.xfam.org/family/PF13516
4	48020712	48025123	-1	Leu-rich_rpt	94.3	48020712-48020757,48025101-48025123	PF13516	http://pfam.xfam.org/family/PF13516
4	48056196	48056264	-1	Leu-rich_rpt	94.3	48056196-48056264	PF13516	http://pfam.xfam.org/family/PF13516
4	48025142	48025204	-1	Leu-rich_rpt	94.3	48025142-48025204	PF13516	http://pfam.xfam.org/family/PF13516
4	48055893	48055961	-1	Leu-rich_rpt	94.3	48055893-48055961	PF13516	http://pfam.xfam.org/family/PF13516
