#>P	ENSDARG00000008849	ENSDART00000143740	ENSDARP00000115431	18	6179082	6266241	1	protein tyrosine phosphatase, receptor type, Q [Source:ZFIN;Acc:ZDB-GENE-050419-183]
#>E	ENSDARE00001008364,ENSDARE00001006387,ENSDARE00000987250,ENSDARE00001044582,ENSDARE00000993456,ENSDARE00001018003,ENSDARE00001025994,ENSDARE00001004905,ENSDARE00001000024,ENSDARE00001043345,ENSDARE00001025200,ENSDARE00001001335,ENSDARE00001012653,ENSDARE00001040035,ENSDARE00001039595,ENSDARE00001014231,ENSDARE00000997766,ENSDARE00001038906,ENSDARE00001012642,ENSDARE00001029758,ENSDARE00000994229,ENSDARE00001003122,ENSDARE00000990991,ENSDARE00001045295,ENSDARE00000988767,ENSDARE00001038293,ENSDARE00000995492,ENSDARE00001024661,ENSDARE00001032964,ENSDARE00001037956,ENSDARE00001043787,ENSDARE00001040555,ENSDARE00001016996,ENSDARE00000989781,ENSDARE00001006203,ENSDARE00001122202,ENSDARE00001117064,ENSDARE00000854738,ENSDARE00001045891,ENSDARE00001024892,ENSDARE00001028836,ENSDARE00001007437,ENSDARE00001046424	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6179082-6179190,6186743-6186963,6191991-6192060,6194257-6194456,6196466-6196706,6198091-6198219,6198402-6198548,6203805-6203965,6206735-6207011,6209580-6209741,6209814-6209993,6211617-6211724,6211812-6212093,6217434-6217715,6218076-6218196,6218285-6218439,6219089-6219234,6222063-6222204,6227991-6228302,6232104-6232379,6232511-6232662,6232760-6232901,6235100-6235381,6238456-6238782,6242917-6243035,6243115-6243301,6244749-6244990,6245244-6245310,6245397-6245555,6247425-6247644,6247741-6247814,6250719-6250818,6250904-6251032,6254090-6254116,6256679-6256760,6256979-6257069,6259827-6259903,6260006-6260140,6262562-6262687,6263847-6263995,6264171-6264306,6265996-6266119,6266207-6266244
18	6257033	6266028	1	PTPase_domain	257.6	6257033-6257069,6259827-6259903,6260006-6260140,6262562-6262687,6263847-6263995,6264171-6264306,6265996-6266028	PF00102	http://pfam.xfam.org/family/PF00102
18	6219097	6222164	1	FN3_dom	557.4	6219097-6219234,6222063-6222164	PF00041	http://pfam.xfam.org/family/PF00041
18	6235105	6235347	1	FN3_dom	557.4	6235105-6235347	PF00041	http://pfam.xfam.org/family/PF00041
18	6198099	6198514	1	FN3_dom	557.4	6198099-6198219,6198402-6198514	PF00041	http://pfam.xfam.org/family/PF00041
18	6186742	6192029	1	FN3_dom	557.4	6186742-6186963,6191991-6192029	PF00041	http://pfam.xfam.org/family/PF00041
18	6211820	6212041	1	FN3_dom	557.4	6211820-6212041	PF00041	http://pfam.xfam.org/family/PF00041
18	6232136	6232348	1	FN3_dom	557.4	6232136-6232348	PF00041	http://pfam.xfam.org/family/PF00041
18	6217442	6217672	1	FN3_dom	557.4	6217442-6217672	PF00041	http://pfam.xfam.org/family/PF00041
18	6238470	6238751	1	FN3_dom	557.4	6238470-6238751	PF00041	http://pfam.xfam.org/family/PF00041
18	6232519	6232861	1	FN3_dom	557.4	6232519-6232662,6232760-6232861	PF00041	http://pfam.xfam.org/family/PF00041
18	6244757	6245282	1	FN3_dom	557.4	6244757-6244990,6245244-6245282	PF00041	http://pfam.xfam.org/family/PF00041
18	6209819	6211684	1	FN3_dom	557.4	6209819-6209993,6211617-6211684	PF00041	http://pfam.xfam.org/family/PF00041
