#>P	ENSDARG00000033840	ENSDART00000154187	ENSDARP00000128081	15	40835916	41031096	1	FAT atypical cadherin 3a [Source:ZFIN;Acc:ZDB-GENE-060929-1254]
#>E	ENSDARE00001134712,ENSDARE00000899200,ENSDARE00000886120,ENSDARE00001137106,ENSDARE00000900450,ENSDARE00000910410,ENSDARE00000952468,ENSDARE00000942734,ENSDARE00000981595,ENSDARE00000897118,ENSDARE00000889486,ENSDARE00000885795,ENSDARE00000973525,ENSDARE00000972343,ENSDARE00000543523,ENSDARE00000543519,ENSDARE00000543516,ENSDARE00000543513,ENSDARE00000543510,ENSDARE00000543506,ENSDARE00000543501,ENSDARE00000938744,ENSDARE00000543490,ENSDARE00000543487,ENSDARE00000543470,ENSDARE00000543466,ENSDARE00000938247,ENSDARE00000975194,ENSDARE00001137331	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0	40835916-40839237,40869719-40869837,40872882-40873080,40899560-40899621,40902788-40903105,40907225-40907438,40919602-40919741,40930839-40931114,40933236-40933446,40933526-40937635,40947848-40948044,40956711-40956864,40966996-40967229,40969248-40969637,40972989-40973203,40973275-40973412,40975854-40975997,40978447-40978644,40978807-40979031,40980616-40981192,40983865-40983999,40984706-40984863,40988229-40988697,40994694-40994847,41004572-41005239,41015929-41016039,41019014-41019073,41026790-41026825,41030597-41031099
15	40984798	40988549	1	Laminin_G	69.9	40984798-40984863,40988229-40988549	PF02210	http://pfam.xfam.org/family/PF02210
15	40937524	40948008	1	Cadherin	1591.7	40937524-40937635,40947848-40948008	PF00028	http://pfam.xfam.org/family/PF00028
15	40837374	40837649	1	Cadherin	1591.7	40837374-40837649	PF00028	http://pfam.xfam.org/family/PF00028
15	40934662	40934928	1	Cadherin	1591.7	40934662-40934928	PF00028	http://pfam.xfam.org/family/PF00028
15	40933729	40933980	1	Cadherin	1591.7	40933729-40933980	PF00028	http://pfam.xfam.org/family/PF00028
15	40975986	40978863	1	Cadherin	1591.7	40975986-40975997,40978447-40978644,40978807-40978863	PF00028	http://pfam.xfam.org/family/PF00028
15	40930896	40933292	1	Cadherin	1591.7	40930896-40931114,40933236-40933292	PF00028	http://pfam.xfam.org/family/PF00028
15	40934989	40935237	1	Cadherin	1591.7	40934989-40935237	PF00028	http://pfam.xfam.org/family/PF00028
15	40973153	40975937	1	Cadherin	1591.7	40973153-40973203,40973275-40973412,40975854-40975937	PF00028	http://pfam.xfam.org/family/PF00028
15	40872927	40902853	1	Cadherin	1591.7	40872927-40873080,40899560-40899621,40902788-40902853	PF00028	http://pfam.xfam.org/family/PF00028
15	40935577	40935858	1	Cadherin	1591.7	40935577-40935858	PF00028	http://pfam.xfam.org/family/PF00028
15	40907339	40930856	1	Cadherin	1591.7	40907339-40907438,40919602-40919741,40930839-40930856	PF00028	http://pfam.xfam.org/family/PF00028
15	40936207	40936470	1	Cadherin	1591.7	40936207-40936470	PF00028	http://pfam.xfam.org/family/PF00028
15	40933335	40933689	1	Cadherin	1591.7	40933335-40933446,40933526-40933689	PF00028	http://pfam.xfam.org/family/PF00028
15	40936513	40936797	1	Cadherin	1591.7	40936513-40936797	PF00028	http://pfam.xfam.org/family/PF00028
15	40902893	40907281	1	Cadherin	1591.7	40902893-40903105,40907225-40907281	PF00028	http://pfam.xfam.org/family/PF00028
15	40838775	40838999	1	Cadherin	1591.7	40838775-40838999	PF00028	http://pfam.xfam.org/family/PF00028
15	40967154	40969447	1	Cadherin	1591.7	40967154-40967229,40969248-40969447	PF00028	http://pfam.xfam.org/family/PF00028
15	40956717	40967108	1	Cadherin	1591.7	40956717-40956864,40966996-40967108	PF00028	http://pfam.xfam.org/family/PF00028
15	40838451	40838723	1	Cadherin	1591.7	40838451-40838723	PF00028	http://pfam.xfam.org/family/PF00028
15	40937170	40937481	1	Cadherin	1591.7	40937170-40937481	PF00028	http://pfam.xfam.org/family/PF00028
15	40839090	40872887	1	Cadherin	1591.7	40839090-40839237,40869719-40869837,40872882-40872887	PF00028	http://pfam.xfam.org/family/PF00028
15	40935898	40936164	1	Cadherin	1591.7	40935898-40936164	PF00028	http://pfam.xfam.org/family/PF00028
15	40836393	40836674	1	Cadherin	1591.7	40836393-40836674	PF00028	http://pfam.xfam.org/family/PF00028
15	40935274	40935537	1	Cadherin	1591.7	40935274-40935537	PF00028	http://pfam.xfam.org/family/PF00028
15	40934077	40934316	1	Cadherin	1591.7	40934077-40934316	PF00028	http://pfam.xfam.org/family/PF00028
15	40969487	40973110	1	Cadherin	1591.7	40969487-40969637,40972989-40973110	PF00028	http://pfam.xfam.org/family/PF00028
15	40838139	40838405	1	Cadherin	1591.7	40838139-40838405	PF00028	http://pfam.xfam.org/family/PF00028
15	40994756	40994845	1	EGF-like_dom	57	40994756-40994845	PF00008	http://pfam.xfam.org/family/PF00008
15	41004582	41004677	1	EGF-like_Ca-bd_dom	26.3	41004582-41004677	PF07645	http://pfam.xfam.org/family/PF07645
