#>P	ENSDARG00000093964	ENSDART00000143041	ENSDARP00000121085	22	9233118	9249121	1	si:ch211-250k18.6 [Source:ZFIN;Acc:ZDB-GENE-070912-245]
#>E	ENSDARE00001029261,ENSDARE00001001129,ENSDARE00001127067,ENSDARE00000997832,ENSDARE00001112853,ENSDARE00001112720,ENSDARE00001107022,ENSDARE00001115135,ENSDARE00001125147,ENSDARE00001110921,ENSDARE00001122045,ENSDARE00001129698,ENSDARE00001124011,ENSDARE00001125070,ENSDARE00001118050	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	9233118-9233192,9234816-9235011,9235094-9236915,9236991-9237161,9237668-9237841,9238360-9238530,9240617-9240784,9241103-9241273,9241991-9242164,9242715-9242885,9246103-9246276,9246673-9246846,9247256-9247429,9248421-9248582,9249079-9249124
22	9235117	9235332	1	NATCH-assoc	97.7	9235117-9235332	PF14484	http://pfam.sanger.ac.uk/family?acc=PF14484
22	9247320	9247388	1	Leu-rich_rpt	163.4	9247320-9247388	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9240762	9241148	1	Leu-rich_rpt	163.4	9240762-9240784,9241103-9241148	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9248488	9248535	1	Leu-rich_rpt	163.4	9248488-9248535	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9237055	9237120	1	Leu-rich_rpt	163.4	9237055-9237120	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9240675	9240743	1	Leu-rich_rpt	163.4	9240675-9240743	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9237732	9237797	1	Leu-rich_rpt	163.4	9237732-9237797	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9242055	9242120	1	Leu-rich_rpt	163.4	9242055-9242120	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9246737	9246805	1	Leu-rich_rpt	163.4	9246737-9246805	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9246167	9246235	1	Leu-rich_rpt	163.4	9246167-9246235	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9241167	9241232	1	Leu-rich_rpt	163.4	9241167-9241232	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
