#>P	ENSDARG00000094782	ENSDART00000140020	ENSDARP00000123041	1	54156468	54183934	1	si:ch211-196h16.4 [Source:ZFIN;Acc:ZDB-GENE-081029-1]
#>E	ENSDARE00001019691,ENSDARE00001039906,ENSDARE00001082881,ENSDARE00001077857,ENSDARE00001046860,ENSDARE00001024757,ENSDARE00001101698,ENSDARE00001093183,ENSDARE00001079319	0,1,1,1,0,0,1,0,0	54156468-54158243,54161656-54161829,54163877-54164050,54174688-54174861,54175731-54175904,54176849-54177022,54179287-54179460,54180529-54180702,54183760-54183937
1	54156471	54156680	1	NATCH-assoc	106.3	54156471-54156680	PF14484	http://pfam.xfam.org/family/PF14484
1	54163946	54164011	1	Leu-rich_rpt	187.5	54163946-54164011	PF13516	http://pfam.xfam.org/family/PF13516
1	54176918	54176983	1	Leu-rich_rpt	187.5	54176918-54176983	PF13516	http://pfam.xfam.org/family/PF13516
1	54164033	54174738	1	Leu-rich_rpt	187.5	54164033-54164050,54174688-54174738	PF13516	http://pfam.xfam.org/family/PF13516
1	54174757	54174822	1	Leu-rich_rpt	187.5	54174757-54174822	PF13516	http://pfam.xfam.org/family/PF13516
1	54174844	54175781	1	Leu-rich_rpt	187.5	54174844-54174861,54175731-54175781	PF13516	http://pfam.xfam.org/family/PF13516
1	54175887	54176896	1	Leu-rich_rpt	187.5	54175887-54175904,54176849-54176896	PF13516	http://pfam.xfam.org/family/PF13516
1	54180598	54180663	1	Leu-rich_rpt	187.5	54180598-54180663	PF13516	http://pfam.xfam.org/family/PF13516
1	54177005	54179334	1	Leu-rich_rpt	187.5	54177005-54177022,54179287-54179334	PF13516	http://pfam.xfam.org/family/PF13516
1	54175800	54175865	1	Leu-rich_rpt	187.5	54175800-54175865	PF13516	http://pfam.xfam.org/family/PF13516
1	54161725	54161790	1	Leu-rich_rpt	187.5	54161725-54161790	PF13516	http://pfam.xfam.org/family/PF13516
1	54179356	54179421	1	Leu-rich_rpt	187.5	54179356-54179421	PF13516	http://pfam.xfam.org/family/PF13516
1	54183829	54183894	1	Leu-rich_rpt	187.5	54183829-54183894	PF13516	http://pfam.xfam.org/family/PF13516
1	54179443	54180579	1	Leu-rich_rpt	187.5	54179443-54179460,54180529-54180579	PF13516	http://pfam.xfam.org/family/PF13516
