#>P	ENSDARG00000074777	ENSDART00000144361	ENSDARP00000113984	21	20991264	21053145	-1	ankyrin 1, erythrocytic b [Source:ZFIN;Acc:ZDB-GENE-091113-6]
#>E	ENSDARE00001117657,ENSDARE00001123176,ENSDARE00001129594,ENSDARE00001000822,ENSDARE00000872501,ENSDARE00000829110,ENSDARE00000779244,ENSDARE00000825556,ENSDARE00000819548,ENSDARE00001044312,ENSDARE00000659308,ENSDARE00000797015,ENSDARE00000878138,ENSDARE00000863624,ENSDARE00000944373,ENSDARE00000865056,ENSDARE00000781812,ENSDARE00000835677,ENSDARE00000829510,ENSDARE00000948627,ENSDARE00000927080,ENSDARE00000819766,ENSDARE00000600492,ENSDARE00000600497,ENSDARE00000861075,ENSDARE00000868673,ENSDARE00000840287,ENSDARE00000893617,ENSDARE00000865898,ENSDARE00000690542,ENSDARE00000826888,ENSDARE00000898018,ENSDARE00000862625,ENSDARE00000600601,ENSDARE00000979512,ENSDARE00000600603,ENSDARE00000900066,ENSDARE00000790546,ENSDARE00000977460,ENSDARE00001037523	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	20991261-20991329,20991433-20991513,20991624-20991909,20992201-20992270,20998624-20998782,21002230-21002361,21002440-21002514,21005011-21005095,21007498-21007617,21010219-21010359,21011535-21011763,21012306-21012402,21012662-21012866,21014620-21014831,21014982-21015136,21017329-21017553,21018974-21019086,21020708-21020771,21020888-21021011,21026620-21026692,21026843-21026935,21028351-21028449,21028555-21028653,21032289-21032387,21032675-21032872,21032987-21033085,21033176-21033274,21035493-21035690,21035783-21035881,21036044-21036142,21038213-21038311,21039324-21039521,21040175-21040273,21042616-21042714,21042798-21042896,21043087-21043272,21045711-21045809,21045900-21045998,21046402-21046500,21053008-21053145
21	20998721	21002473	-1	Death_domain	65.5	20998721-20998782,21002230-21002361,21002440-21002473	PF00531	http://pfam.xfam.org/family/PF00531
21	21043195	21045800	-1	Ankyrin_rpt-contain_dom	573.5	21043195-21043272,21045711-21045800	PF12796	http://pfam.xfam.org/family/PF12796
21	21042622	21043170	-1	Ankyrin_rpt-contain_dom	573.5	21042622-21042714,21042798-21042896,21043087-21043170	PF12796	http://pfam.xfam.org/family/PF12796
21	21045906	21053085	-1	Ankyrin_rpt-contain_dom	573.5	21045906-21045998,21046402-21046500,21053008-21053085	PF12796	http://pfam.xfam.org/family/PF12796
21	21028363	21032372	-1	Ankyrin_rpt-contain_dom	573.5	21028363-21028449,21028555-21028653,21032289-21032372	PF12796	http://pfam.xfam.org/family/PF12796
21	21032783	21033079	-1	Ankyrin_rpt-contain_dom	573.5	21032783-21032872,21032987-21033079	PF12796	http://pfam.xfam.org/family/PF12796
21	21035789	21036136	-1	Ankyrin_rpt-contain_dom	573.5	21035789-21035881,21036044-21036136	PF12796	http://pfam.xfam.org/family/PF12796
21	21038225	21039413	-1	Ankyrin_rpt-contain_dom	573.5	21038225-21038311,21039324-21039413	PF12796	http://pfam.xfam.org/family/PF12796
21	21033185	21035675	-1	Ankyrin_rpt-contain_dom	573.5	21033185-21033274,21035493-21035675	PF12796	http://pfam.xfam.org/family/PF12796
21	21039432	21039521	-1	Ankyrin_rpt	651.4	21039432-21039521	PF00023	http://pfam.xfam.org/family/PF00023
21	21032678	21032770	-1	Ankyrin_rpt	651.4	21032678-21032770	PF00023	http://pfam.xfam.org/family/PF00023
21	21040175	21040270	-1	Ankyrin_rpt	651.4	21040175-21040270	PF00023	http://pfam.xfam.org/family/PF00023
21	21015055	21018975	-1	ZU5_dom	136.9	21015055-21015136,21017329-21017553,21018974-21018975	PF00791	http://pfam.xfam.org/family/PF00791
