#>P	ENSDARG00000036279	ENSDART00000004277	ENSDARP00000024860	2	35898512	35995736	1	laminin, gamma 1 [Source:ZFIN;Acc:ZDB-GENE-021226-3]
#>E	ENSDARE00000290592,ENSDARE00000379827,ENSDARE00000379825,ENSDARE00000355523,ENSDARE00000143353,ENSDARE00000295638,ENSDARE00000302532,ENSDARE00000313323,ENSDARE00000305440,ENSDARE00000303794,ENSDARE00000307599,ENSDARE00000293493,ENSDARE00000310667,ENSDARE00000309030,ENSDARE00000323783,ENSDARE00000322306,ENSDARE00000315775,ENSDARE00000314288,ENSDARE00000355042,ENSDARE00000353599,ENSDARE00000320842,ENSDARE00000072994,ENSDARE00000046686,ENSDARE00000079308,ENSDARE00000084672,ENSDARE00000087120,ENSDARE00000093731,ENSDARE00000144429	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	35898512-35898881,35957362-35957666,35964168-35964298,35968639-35968805,35971998-35972186,35973239-35973356,35973468-35973566,35976916-35977052,35981211-35981333,35981419-35981608,35982419-35982531,35983391-35983612,35985341-35985529,35986224-35986469,35987989-35988142,35988232-35988374,35988830-35989008,35989092-35989248,35990214-35990419,35990514-35990593,35990683-35990820,35991094-35991238,35991333-35991482,35992029-35992143,35993758-35993957,35994045-35994203,35994295-35994394,35995483-35995739
2	35898611	35964296	1	Laminin_N	268.1	35898611-35898881,35957362-35957666,35964168-35964296	PF00055	http://pfam.xfam.org/family/PF00055
2	35968640	35968801	1	Laminin_EGF	279.7	35968640-35968801	PF00053	http://pfam.xfam.org/family/PF00053
2	35973472	35976964	1	Laminin_EGF	279.7	35973472-35973566,35976916-35976964	PF00053	http://pfam.xfam.org/family/PF00053
2	35983570	35985438	1	Laminin_EGF	279.7	35983570-35983612,35985341-35985438	PF00053	http://pfam.xfam.org/family/PF00053
2	35988832	35988969	1	Laminin_EGF	279.7	35988832-35988969	PF00053	http://pfam.xfam.org/family/PF00053
2	35972168	35973354	1	Laminin_EGF	279.7	35972168-35972186,35973239-35973354	PF00053	http://pfam.xfam.org/family/PF00053
2	35985445	35986270	1	Laminin_EGF	279.7	35985445-35985529,35986224-35986270	PF00053	http://pfam.xfam.org/family/PF00053
2	35972000	35972161	1	Laminin_EGF	279.7	35972000-35972161	PF00053	http://pfam.xfam.org/family/PF00053
2	35988233	35988370	1	Laminin_EGF	279.7	35988233-35988370	PF00053	http://pfam.xfam.org/family/PF00053
2	35986304	35986450	1	Laminin_EGF	279.7	35986304-35986450	PF00053	http://pfam.xfam.org/family/PF00053
2	35983465	35983533	1	Laminin_EGF	279.7	35983465-35983533	PF00053	http://pfam.xfam.org/family/PF00053
2	35987991	35988137	1	Laminin_EGF	279.7	35987991-35988137	PF00053	http://pfam.xfam.org/family/PF00053
2	35981318	35983464	1	Laminin_IV	86.3	35981318-35981333,35981419-35981608,35982419-35982531,35983391-35983464	PF00052	http://pfam.xfam.org/family/PF00052
