#>P	ENSDARG00000042138	ENSDART00000061765	ENSDARP00000061764	20	34045837	34058460	-1	selectin P [Source:ZFIN;Acc:ZDB-GENE-110107-2]
#>E	ENSDARE00001122567,ENSDARE00000812290,ENSDARE00001114471,ENSDARE00001044092,ENSDARE00000998948,ENSDARE00000868109,ENSDARE00000460279,ENSDARE00000460283,ENSDARE00000112961,ENSDARE00000107412,ENSDARE00001029660,ENSDARE00001016603,ENSDARE00000995547,ENSDARE00001006091,ENSDARE00001149339	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	34045834-34045898,34047687-34047809,34048608-34048811,34049004-34049189,34049374-34049559,34050603-34050788,34051169-34051354,34051888-34052076,34052170-34052355,34052499-34052684,34053971-34054159,34054547-34054732,34054817-34054915,34056568-34056936,34058394-34058460
20	34054818	34054898	-1	EGF-like_dom	24.1	34054818-34054898	PF00008	http://pfam.xfam.org/family/PF00008
20	34054551	34054706	-1	Sushi_SCR_CCP_dom	260	34054551-34054706	PF00084	http://pfam.xfam.org/family/PF00084
20	34048612	34048746	-1	Sushi_SCR_CCP_dom	260	34048612-34048746	PF00084	http://pfam.xfam.org/family/PF00084
20	34052503	34052622	-1	Sushi_SCR_CCP_dom	260	34052503-34052622	PF00084	http://pfam.xfam.org/family/PF00084
20	34051173	34051328	-1	Sushi_SCR_CCP_dom	260	34051173-34051328	PF00084	http://pfam.xfam.org/family/PF00084
20	34053975	34054094	-1	Sushi_SCR_CCP_dom	260	34053975-34054094	PF00084	http://pfam.xfam.org/family/PF00084
20	34050607	34050780	-1	Sushi_SCR_CCP_dom	260	34050607-34050780	PF00084	http://pfam.xfam.org/family/PF00084
20	34049008	34049127	-1	Sushi_SCR_CCP_dom	260	34049008-34049127	PF00084	http://pfam.xfam.org/family/PF00084
20	34051892	34052068	-1	Sushi_SCR_CCP_dom	260	34051892-34052068	PF00084	http://pfam.xfam.org/family/PF00084
20	34052174	34052347	-1	Sushi_SCR_CCP_dom	260	34052174-34052347	PF00084	http://pfam.xfam.org/family/PF00084
20	34049378	34049551	-1	Sushi_SCR_CCP_dom	260	34049378-34049551	PF00084	http://pfam.xfam.org/family/PF00084
20	34056572	34056901	-1	C-type_lectin	70.8	34056572-34056901	PF00059	http://pfam.xfam.org/family/PF00059
