#>P	ENSDARG00000024865	ENSDART00000125045	ENSDARP00000108538	10	38832552	39014327	1	Down syndrome cell adhesion molecule a [Source:ZFIN;Acc:ZDB-GENE-050310-7]
#>E	ENSDARE00000786688,ENSDARE00000909471,ENSDARE00000536696,ENSDARE00000414345,ENSDARE00000414344,ENSDARE00000232424,ENSDARE00000073370,ENSDARE00000414341,ENSDARE00000414339,ENSDARE00000915362,ENSDARE00000889410,ENSDARE00000116681,ENSDARE00000262596,ENSDARE00000262584,ENSDARE00000536631,ENSDARE00000262577,ENSDARE00000116649,ENSDARE00000010276,ENSDARE00000361292,ENSDARE00000150681,ENSDARE00000073794,ENSDARE00000051327,ENSDARE00000057996,ENSDARE00000252134,ENSDARE00000252125,ENSDARE00000252114,ENSDARE00000296319,ENSDARE00000281516,ENSDARE00000280107,ENSDARE00000278673,ENSDARE00000303675,ENSDARE00000926112,ENSDARE00000982981	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0	38832552-38832594,38869982-38870299,38874624-38874770,38938135-38938281,38940034-38940312,38942299-38942574,38944419-38944715,38947278-38947553,38947836-38948114,38950541-38950660,38953633-38953812,38975450-38975664,38978610-38978706,38978849-38978977,38981002-38981169,38982062-38982132,38983797-38984037,38984465-38984611,38989349-38989504,38990962-38991095,38993740-38993893,38996752-38996869,38999804-38999964,39003845-39003943,39006536-39006724,39006863-39007153,39007493-39007669,39007831-39007861,39010674-39010789,39011345-39011512,39013188-39013385,39013506-39013808,39013981-39014330
10	38874656	38938277	1	Ig-like_dom	283.6	38874656-38874770,38938135-38938277	PF13895	http://pfam.xfam.org/family/PF13895
10	38947847	38948110	1	Ig_I-set	383.9	38947847-38948110	PF07679	http://pfam.xfam.org/family/PF07679
10	38947295	38947552	1	Ig_I-set	383.9	38947295-38947552	PF07679	http://pfam.xfam.org/family/PF07679
10	38944427	38944711	1	Ig_I-set	383.9	38944427-38944711	PF07679	http://pfam.xfam.org/family/PF07679
10	38996802	38999960	1	Ig_I-set	383.9	38996802-38996869,38999804-38999960	PF07679	http://pfam.xfam.org/family/PF07679
10	38940072	38940308	1	Ig_I-set	383.9	38940072-38940308	PF07679	http://pfam.xfam.org/family/PF07679
10	38975461	38978702	1	Ig_I-set	383.9	38975461-38975664,38978610-38978702	PF07679	http://pfam.xfam.org/family/PF07679
10	38942316	38942522	1	Ig_I-set	383.9	38942316-38942522	PF07679	http://pfam.xfam.org/family/PF07679
10	38950546	38953793	1	Ig_I-set	383.9	38950546-38950660,38953633-38953793	PF07679	http://pfam.xfam.org/family/PF07679
10	38990970	38993862	1	FN3_dom	269.7	38990970-38991095,38993740-38993862	PF00041	http://pfam.xfam.org/family/PF00041
10	38978854	38981138	1	FN3_dom	269.7	38978854-38978977,38981002-38981138	PF00041	http://pfam.xfam.org/family/PF00041
10	38984476	38989473	1	FN3_dom	269.7	38984476-38984611,38989349-38989473	PF00041	http://pfam.xfam.org/family/PF00041
10	39003862	39006690	1	FN3_dom	269.7	39003862-39003943,39006536-39006690	PF00041	http://pfam.xfam.org/family/PF00041
10	39006892	39007107	1	FN3_dom	269.7	39006892-39007107	PF00041	http://pfam.xfam.org/family/PF00041
10	38982073	38984006	1	FN3_dom	269.7	38982073-38982132,38983797-38984006	PF00041	http://pfam.xfam.org/family/PF00041
