#>P	ENSDARG00000103775	ENSDART00000166179	ENSDARP00000141354	KN150104.1	797	16302	1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]
#>E	ENSDARE00001153339,ENSDARE00001176478,ENSDARE00001158335,ENSDARE00001194784,ENSDARE00001200728,ENSDARE00001160770,ENSDARE00001187463,ENSDARE00001155248,ENSDARE00001218407,ENSDARE00000618998,ENSDARE00001202833,ENSDARE00001163763,ENSDARE00000963745,ENSDARE00001180458	1,1,1,1,1,1,1,1,1,1,1,1,1,1	797-1109,2328-2504,4067-4368,5046-5198,6350-6568,6725-6832,9995-10154,10953-11071,11677-11911,13144-13371,13779-14050,14130-14227,14965-15104,16298-16305
KN150104.1	6371	6490	1	EGF_dom	29.8	6371-6490	PF12947	http://pfam.xfam.org/family/PF12947
KN150104.1	11680	11790	1	Thrombospondin_3-like_rpt	189.3	11680-11790	PF02412	http://pfam.xfam.org/family/PF02412
KN150104.1	11003	11071	1	Thrombospondin_3-like_rpt	189.3	11003-11071	PF02412	http://pfam.xfam.org/family/PF02412
KN150104.1	11794	11898	1	Thrombospondin_3-like_rpt	189.3	11794-11898	PF02412	http://pfam.xfam.org/family/PF02412
KN150104.1	11902	13223	1	Thrombospondin_3-like_rpt	189.3	11902-11911,13144-13223	PF02412	http://pfam.xfam.org/family/PF02412
KN150104.1	10097	11002	1	Thrombospondin_3-like_rpt	189.3	10097-10154,10953-11002	PF02412	http://pfam.xfam.org/family/PF02412
KN150104.1	6758	10027	1	Thrombospondin_3-like_rpt	189.3	6758-6832,9995-10027	PF02412	http://pfam.xfam.org/family/PF02412
KN150104.1	13290	16299	1	Thrombospondin_C	327.9	13290-13371,13779-14050,14130-14227,14965-15104,16298-16299	PF05735	http://pfam.xfam.org/family/PF05735
KN150104.1	962	1099	1	TSP1_rpt	129.7	962-1099	PF00090	http://pfam.xfam.org/family/PF00090
KN150104.1	4081	4233	1	TSP1_rpt	129.7	4081-4233	PF00090	http://pfam.xfam.org/family/PF00090
KN150104.1	2348	2500	1	TSP1_rpt	129.7	2348-2500	PF00090	http://pfam.xfam.org/family/PF00090
KN150104.1	4300	4368	1	cEGF	29.5	4300-4368	PF12662	http://pfam.xfam.org/family/PF12662
