#>P	ENSDARG00000073841	ENSDART00000110770	ENSDARP00000098322	6	37776869	37870718	1	HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:ZFIN;Acc:ZDB-GENE-070718-6]
#>E	ENSDARE00001142024,ENSDARE00000893762,ENSDARE00000910083,ENSDARE00000938976,ENSDARE00000946396,ENSDARE00000964499,ENSDARE00000953378,ENSDARE00000983709,ENSDARE00000901821,ENSDARE00000885601,ENSDARE00000976568,ENSDARE00000904002,ENSDARE00000895607,ENSDARE00000915882,ENSDARE00000898907,ENSDARE00001230158,ENSDARE00000937484,ENSDARE00000967364,ENSDARE00000896510,ENSDARE00000961212,ENSDARE00000893882,ENSDARE00000940116,ENSDARE00000905289,ENSDARE00000911393,ENSDARE00000902787,ENSDARE00000898989,ENSDARE00000888775,ENSDARE00000934157,ENSDARE00000938954,ENSDARE00000916022,ENSDARE00000887805,ENSDARE00000950759,ENSDARE00000966777,ENSDARE00000939436,ENSDARE00000949027,ENSDARE00000967125,ENSDARE00000933737,ENSDARE00000957110,ENSDARE00000913579,ENSDARE00000895201,ENSDARE00000878396,ENSDARE00000774476,ENSDARE00000807118,ENSDARE00000819857,ENSDARE00000803993,ENSDARE00000792615,ENSDARE00000858505,ENSDARE00000785267,ENSDARE00000815952,ENSDARE00000865695,ENSDARE00000834983,ENSDARE00000848941,ENSDARE00000836916,ENSDARE00000861752,ENSDARE00000809462,ENSDARE00000853298,ENSDARE00000798987,ENSDARE00000816784,ENSDARE00000873749,ENSDARE00000828115,ENSDARE00000845576,ENSDARE00000877570,ENSDARE00000918721,ENSDARE00000907819,ENSDARE00000893785,ENSDARE00000928225,ENSDARE00000908605,ENSDARE00000900867,ENSDARE00000943657,ENSDARE00000940753,ENSDARE00000896740,ENSDARE00000945952,ENSDARE00000944761,ENSDARE00000904509,ENSDARE00000895659,ENSDARE00000976203,ENSDARE00000929318,ENSDARE00000894424,ENSDARE00000949771,ENSDARE00000925926,ENSDARE00000888329,ENSDARE00000889260,ENSDARE00000972512,ENSDARE00000828149,ENSDARE00000802824,ENSDARE00000871699,ENSDARE00000874358,ENSDARE00000808540,ENSDARE00000831215,ENSDARE00000777652,ENSDARE00000841302,ENSDARE00000824539	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	37776869-37776940,37779673-37779766,37779862-37779999,37789104-37789326,37789533-37789633,37793597-37793738,37794035-37794145,37794371-37794542,37797660-37797833,37798750-37798938,37799082-37799233,37800926-37801083,37801177-37801290,37801370-37801621,37803606-37803799,37803874-37804074,37805925-37806153,37806365-37806489,37807962-37808140,37809846-37810030,37810117-37810281,37810704-37810889,37811513-37811683,37811778-37811881,37811969-37812119,37813750-37813964,37814129-37814261,37814536-37814663,37815390-37815585,37815667-37815797,37816629-37816805,37816892-37817028,37817220-37817371,37818201-37818392,37819701-37819888,37822709-37822901,37823585-37823767,37823852-37824036,37824326-37824473,37824583-37824779,37824914-37825144,37825474-37825612,37826796-37826942,37827118-37827260,37830270-37830534,37830782-37830924,37831027-37831125,37831959-37832127,37832257-37832382,37833790-37833898,37833981-37834120,37834220-37834410,37835841-37835946,37837399-37837490,37837575-37837750,37837836-37837947,37838139-37838220,37839035-37839178,37839262-37839352,37839439-37839616,37840320-37840401,37842315-37842486,37842578-37842722,37842905-37843130,37843211-37843382,37847079-37847265,37847388-37847531,37848143-37848334,37848440-37848593,37849833-37849940,37850022-37850153,37850248-37850406,37852099-37852217,37852305-37852430,37852513-37852668,37853270-37853385,37853494-37853692,37854674-37854888,37855615-37855792,37856255-37856416,37856547-37856638,37857379-37857518,37858450-37858637,37859126-37859323,37861112-37861195,37862158-37862299,37863731-37863925,37864038-37864150,37866566-37866756,37868541-37868646,37868735-37868947,37870449-37870721
6	37863877	37870583	1	HECT_dom	196.3	37863877-37863925,37864038-37864150,37866566-37866756,37868541-37868646,37868735-37868947,37870449-37870583	PF00632	http://pfam.xfam.org/family/PF00632
6	37831069	37832264	1	CPH_domain	123.6	37831069-37831125,37831959-37832127,37832257-37832264	PF11515	http://pfam.xfam.org/family/PF11515
6	37833885	37834086	1	Znf_ZZ	39.4	37833885-37833898,37833981-37834086	PF00569	http://pfam.xfam.org/family/PF00569
6	37834363	37837481	1	APC_su10/DOC_dom	26.3	37834363-37834410,37835841-37835946,37837399-37837481	PF03256	http://pfam.xfam.org/family/PF03256
6	37799172	37801025	1	Reg_chr_condens	735.7	37799172-37799233,37800926-37801025	PF00415	http://pfam.xfam.org/family/PF00415
6	37856619	37857505	1	Reg_chr_condens	735.7	37856619-37856638,37857379-37857505	PF00415	http://pfam.xfam.org/family/PF00415
6	37801032	37801256	1	Reg_chr_condens	735.7	37801032-37801083,37801177-37801256	PF00415	http://pfam.xfam.org/family/PF00415
6	37856333	37856612	1	Reg_chr_condens	735.7	37856333-37856416,37856547-37856612	PF00415	http://pfam.xfam.org/family/PF00415
6	37842717	37843042	1	Reg_chr_condens	735.7	37842717-37842722,37842905-37843042	PF00415	http://pfam.xfam.org/family/PF00415
6	37842467	37842707	1	Reg_chr_condens	735.7	37842467-37842486,37842578-37842707	PF00415	http://pfam.xfam.org/family/PF00415
6	37801522	37803655	1	Reg_chr_condens	735.7	37801522-37801621,37803606-37803655	PF00415	http://pfam.xfam.org/family/PF00415
6	37839533	37840367	1	Reg_chr_condens	735.7	37839533-37839616,37840320-37840367	PF00415	http://pfam.xfam.org/family/PF00415
6	37854827	37855702	1	Reg_chr_condens	735.7	37854827-37854888,37855615-37855702	PF00415	http://pfam.xfam.org/family/PF00415
6	37801287	37801515	1	Reg_chr_condens	735.7	37801287-37801290,37801370-37801515	PF00415	http://pfam.xfam.org/family/PF00415
6	37853684	37854820	1	Reg_chr_condens	735.7	37853684-37853692,37854674-37854820	PF00415	http://pfam.xfam.org/family/PF00415
6	37839043	37839284	1	Reg_chr_condens	735.7	37839043-37839178,37839262-37839284	PF00415	http://pfam.xfam.org/family/PF00415
6	37840398	37842460	1	Reg_chr_condens	735.7	37840398-37840401,37842315-37842460	PF00415	http://pfam.xfam.org/family/PF00415
6	37855709	37856302	1	Reg_chr_condens	735.7	37855709-37855792,37856255-37856302	PF00415	http://pfam.xfam.org/family/PF00415
6	37839291	37839526	1	Reg_chr_condens	735.7	37839291-37839352,37839439-37839526	PF00415	http://pfam.xfam.org/family/PF00415
6	37857515	37858592	1	Reg_chr_condens	735.7	37857515-37857518,37858450-37858592	PF00415	http://pfam.xfam.org/family/PF00415
6	37811569	37811875	1	Cyt_B5-like_heme/steroid-bd	42.4	37811569-37811683,37811778-37811875	PF00173	http://pfam.xfam.org/family/PF00173
6	37819847	37822843	1	Mib_Herc2	77.9	37819847-37819888,37822709-37822843	PF06701	http://pfam.xfam.org/family/PF06701
