#>P	ENSDARG00000071618	ENSDART00000138646	ENSDARP00000122354	22	9123706	9169571	-1	si:ch211-213a13.5 [Source:ZFIN;Acc:ZDB-GENE-050208-711]
#>E	ENSDARE00001086551,ENSDARE00000822766,ENSDARE00000934737,ENSDARE00000768268,ENSDARE00000856719,ENSDARE00000837987,ENSDARE00000892925,ENSDARE00000872058,ENSDARE00000768403,ENSDARE00000768260,ENSDARE00000796019,ENSDARE00000944202,ENSDARE00000960940,ENSDARE00000891235,ENSDARE00000909346,ENSDARE00000938461,ENSDARE00000973287,ENSDARE00000914722,ENSDARE00000945137,ENSDARE00000905718,ENSDARE00000973190,ENSDARE00000891492,ENSDARE00000913182,ENSDARE00000931238,ENSDARE00001079012,ENSDARE00001096860,ENSDARE00001102357,ENSDARE00000899637,ENSDARE00001081220,ENSDARE00001077984,ENSDARE00001082810,ENSDARE00001090984,ENSDARE00001089593,ENSDARE00001094103,ENSDARE00000894595,ENSDARE00000605287,ENSDARE00001100055,ENSDARE00001089505,ENSDARE00001088582,ENSDARE00001093324,ENSDARE00001044621,ENSDARE00001077230,ENSDARE00001080136,ENSDARE00001091042,ENSDARE00001091792	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	9123703-9123763,9124270-9124431,9124569-9124742,9125364-9125537,9127450-9127623,9128289-9128459,9128641-9128814,9129467-9129640,9129788-9129958,9132472-9132639,9133010-9133174,9135045-9135218,9135501-9135674,9137541-9137714,9141231-9141401,9141524-9141685,9141763-9141930,9143371-9143541,9146925-9147098,9148281-9148451,9151114-9151287,9151459-9151629,9152297-9152467,9152839-9153012,9153185-9153355,9154020-9154190,9156669-9156842,9157014-9157184,9157852-9158022,9158394-9158567,9158740-9158910,9159575-9159745,9160117-9160290,9160463-9160633,9161168-9161338,9161421-9161594,9161689-9161862,9163053-9163220,9163576-9163746,9163880-9164047,9164713-9166594,9166672-9166867,9168458-9168539,9168646-9168750,9169549-9169571
22	9166356	9166574	-1	NATCH-assoc	96.5	9166356-9166574	PF14484	http://pfam.xfam.org/family/PF14484
22	9124320	9124585	-1	Leu-rich_rpt_4	99.8	9124320-9124431,9124569-9124585	PF12799	http://pfam.xfam.org/family/PF12799
22	9161465	9161524	-1	Leu-rich_rpt	269.7	9161465-9161524	PF13516	http://pfam.xfam.org/family/PF13516
22	9141637	9141782	-1	Leu-rich_rpt	269.7	9141637-9141685,9141763-9141782	PF13516	http://pfam.xfam.org/family/PF13516
22	9156710	9156775	-1	Leu-rich_rpt	269.7	9156710-9156775	PF13516	http://pfam.xfam.org/family/PF13516
22	9154142	9156682	-1	Leu-rich_rpt	269.7	9154142-9154190,9156669-9156682	PF13516	http://pfam.xfam.org/family/PF13516
22	9157974	9158407	-1	Leu-rich_rpt	269.7	9157974-9158022,9158394-9158407	PF13516	http://pfam.xfam.org/family/PF13516
22	9148403	9151127	-1	Leu-rich_rpt	269.7	9148403-9148451,9151114-9151127	PF13516	http://pfam.xfam.org/family/PF13516
22	9152419	9152852	-1	Leu-rich_rpt	269.7	9152419-9152467,9152839-9152852	PF13516	http://pfam.xfam.org/family/PF13516
22	9129511	9129573	-1	Leu-rich_rpt	269.7	9129511-9129573	PF13516	http://pfam.xfam.org/family/PF13516
22	9124610	9124675	-1	Leu-rich_rpt	269.7	9124610-9124675	PF13516	http://pfam.xfam.org/family/PF13516
22	9159697	9160130	-1	Leu-rich_rpt	269.7	9159697-9159745,9160117-9160130	PF13516	http://pfam.xfam.org/family/PF13516
22	9141801	9141863	-1	Leu-rich_rpt	269.7	9141801-9141863	PF13516	http://pfam.xfam.org/family/PF13516
22	9141882	9143384	-1	Leu-rich_rpt	269.7	9141882-9141930,9143371-9143384	PF13516	http://pfam.xfam.org/family/PF13516
22	9161739	9161795	-1	Leu-rich_rpt	269.7	9161739-9161795	PF13516	http://pfam.xfam.org/family/PF13516
22	9163698	9163899	-1	Leu-rich_rpt	269.7	9163698-9163746,9163880-9163899	PF13516	http://pfam.xfam.org/family/PF13516
22	9128766	9129489	-1	Leu-rich_rpt	269.7	9128766-9128814,9129467-9129489	PF13516	http://pfam.xfam.org/family/PF13516
22	9137582	9137644	-1	Leu-rich_rpt	269.7	9137582-9137644	PF13516	http://pfam.xfam.org/family/PF13516
22	9160164	9160223	-1	Leu-rich_rpt	269.7	9160164-9160223	PF13516	http://pfam.xfam.org/family/PF13516
22	9158435	9158500	-1	Leu-rich_rpt	269.7	9158435-9158500	PF13516	http://pfam.xfam.org/family/PF13516
22	9163915	9163980	-1	Leu-rich_rpt	269.7	9163915-9163980	PF13516	http://pfam.xfam.org/family/PF13516
22	9151155	9151220	-1	Leu-rich_rpt	269.7	9151155-9151220	PF13516	http://pfam.xfam.org/family/PF13516
22	9132591	9133029	-1	Leu-rich_rpt	269.7	9132591-9132639,9133010-9133029	PF13516	http://pfam.xfam.org/family/PF13516
22	9125498	9127469	-1	Leu-rich_rpt	269.7	9125498-9125537,9127450-9127469	PF13516	http://pfam.xfam.org/family/PF13516
22	9152880	9152945	-1	Leu-rich_rpt	269.7	9152880-9152945	PF13516	http://pfam.xfam.org/family/PF13516
