#>P	ENSDARG00000079015	ENSDART00000111472	ENSDARP00000099674	15	32054430	32070196	1	breast cancer 2, early onset [Source:ZFIN;Acc:ZDB-GENE-060510-3]
#>E	ENSDARE00000847687,ENSDARE00000821082,ENSDARE00000875174,ENSDARE00000857396,ENSDARE00000861092,ENSDARE00000827591,ENSDARE00000790487,ENSDARE00000829462,ENSDARE00000850348,ENSDARE00000842531,ENSDARE00000820907,ENSDARE00000792597,ENSDARE00000825605,ENSDARE00000824763,ENSDARE00000796879,ENSDARE00000873765,ENSDARE00000833482,ENSDARE00000806191,ENSDARE00000837137,ENSDARE00000784490,ENSDARE00000840477,ENSDARE00000866016,ENSDARE00000862300,ENSDARE00000842970,ENSDARE00000831195,ENSDARE00000819794	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	32054430-32054463,32055087-32055308,32056014-32056086,32056183-32056226,32056415-32056443,32056697-32056808,32058080-32058135,32058257-32058323,32058435-32059130,32059214-32063404,32063491-32063592,32063685-32063754,32063843-32064207,32064317-32064507,32064611-32064798,32064943-32065113,32065189-32065543,32065628-32065783,32065867-32066014,32066107-32066216,32066371-32066572,32066664-32066830,32066939-32067077,32067771-32068024,32068115-32068240,32069843-32070199
15	32064334	32065213	1	BRCA2_hlx	301.6	32064334-32064507,32064611-32064798,32064943-32065113,32065189-32065213	PF09169	http://pfam.sanger.ac.uk/family?acc=PF09169
15	32065220	32065681	1	BRCA2_OB_1	139.7	32065220-32065543,32065628-32065681	PF09103	http://pfam.sanger.ac.uk/family?acc=PF09103
15	32065870	32065995	1	Tower_dom	69.7	32065870-32065995	PF09121	http://pfam.sanger.ac.uk/family?acc=PF09121
15	32066975	32068165	1	BRCA2_OB_3	164.4	32066975-32067077,32067771-32068024,32068115-32068165	PF09104	http://pfam.sanger.ac.uk/family?acc=PF09104
15	32060578	32060655	1	BRCA2_repeat	316.4	32060578-32060655	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	32062606	32062686	1	BRCA2_repeat	316.4	32062606-32062686	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	32061283	32061360	1	BRCA2_repeat	316.4	32061283-32061360	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	32062099	32062170	1	BRCA2_repeat	316.4	32062099-32062170	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	32062222	32062308	1	BRCA2_repeat	316.4	32062222-32062308	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	32062738	32062824	1	BRCA2_repeat	316.4	32062738-32062824	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	32060905	32060982	1	BRCA2_repeat	316.4	32060905-32060982	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	32061781	32061855	1	BRCA2_repeat	316.4	32061781-32061855	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	32062354	32062431	1	BRCA2_repeat	316.4	32062354-32062431	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	32061973	32062056	1	BRCA2_repeat	316.4	32061973-32062056	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	32061598	32061681	1	BRCA2_repeat	316.4	32061598-32061681	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
