#>P	ENSMUSG00000048126	ENSMUST00000097653	ENSMUSP00000137585	1	90767595	90830230	-1	collagen, type VI, alpha 3 [Source:MGI Symbol;Acc:MGI:88461]
#>E	ENSMUSE00000694190,ENSMUSE00001307679,ENSMUSE00001070664,ENSMUSE00000989435,ENSMUSE00000694192,ENSMUSE00001042809,ENSMUSE00001052109,ENSMUSE00001033456,ENSMUSE00001044792,ENSMUSE00001062478,ENSMUSE00001050792,ENSMUSE00000978300,ENSMUSE00001010482,ENSMUSE00000991473,ENSMUSE00001001410,ENSMUSE00001008076,ENSMUSE00000963539,ENSMUSE00001038277,ENSMUSE00001051612,ENSMUSE00001045562,ENSMUSE00001041527,ENSMUSE00001061617,ENSMUSE00001252049,ENSMUSE00001249277,ENSMUSE00000975828,ENSMUSE00001258078,ENSMUSE00001005609,ENSMUSE00000985109,ENSMUSE00001043192,ENSMUSE00001074355,ENSMUSE00001085845,ENSMUSE00001025181,ENSMUSE00001065737,ENSMUSE00000986969,ENSMUSE00001058208,ENSMUSE00000965219,ENSMUSE00001042912,ENSMUSE00001069810,ENSMUSE00001037523,ENSMUSE00000990996	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	90767592-90767605,90768324-90768488,90772952-90773050,90773437-90773700,90775531-90776285,90777441-90777543,90778756-90779454,90779988-90780084,90781635-90782128,90782217-90782228,90782341-90782377,90782459-90782491,90784226-90784288,90785207-90785269,90785722-90785757,90785890-90785940,90786638-90786700,90787923-90787985,90788215-90788277,90789031-90789093,90789544-90789579,90791924-90791977,90792410-90792475,90793014-90793076,90794010-90794063,90794176-90794220,90794324-90794350,90795012-90795083,90795915-90795968,90796480-90796572,90798052-90798197,90799996-90800074,90801210-90801547,90802092-90802691,90803639-90804253,90807471-90808076,90810126-90810728,90811259-90811831,90815951-90816535,90830143-90830230
1	90768331	90768486	-1	Kunitz_BPTI	64	90768331-90768486	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
1	90803718	90804233	-1	VWF_A	949.9	90803718-90804233	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
1	90810208	90810720	-1	VWF_A	949.9	90810208-90810720	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
1	90816024	90816515	-1	VWF_A	949.9	90816024-90816515	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
1	90802162	90802677	-1	VWF_A	949.9	90802162-90802677	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
1	90807553	90808059	-1	VWF_A	949.9	90807553-90808059	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
1	90781671	90782096	-1	VWF_A	949.9	90781671-90782096	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
1	90778805	90779365	-1	VWF_A	949.9	90778805-90779365	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
1	90811311	90811820	-1	VWF_A	949.9	90811311-90811820	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
1	90793053	90795035	-1	Collagen	148.9	90793053-90793076,90794010-90794063,90794176-90794220,90794324-90794350,90795012-90795035	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
1	90794348	90796524	-1	Collagen	148.9	90794348-90794350,90795012-90795083,90795915-90795968,90796480-90796524	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
