#>P	ENSMUSG00000068740	ENSMUST00000090558	ENSMUSP00000088046	3	108392634	108415494	-1	cadherin, EGF LAG seven-pass G-type receptor 2 [Source:MGI Symbol;Acc:MGI:1858235]
#>E	ENSMUSE00000564766,ENSMUSE00001246038,ENSMUSE00000564768,ENSMUSE00000564769,ENSMUSE00000564770,ENSMUSE00000564771,ENSMUSE00000564772,ENSMUSE00000564773,ENSMUSE00000636551,ENSMUSE00001271406,ENSMUSE00000636554,ENSMUSE00000636555,ENSMUSE00000636556,ENSMUSE00000636557,ENSMUSE00000636558,ENSMUSE00000636559,ENSMUSE00000636561,ENSMUSE00000636562,ENSMUSE00000636563,ENSMUSE00000636564,ENSMUSE00000636565,ENSMUSE00000636566,ENSMUSE00000636568,ENSMUSE00000636569,ENSMUSE00000636570,ENSMUSE00000636572,ENSMUSE00000636573,ENSMUSE00000636574,ENSMUSE00000636575,ENSMUSE00000636577,ENSMUSE00000636579,ENSMUSE00000636580,ENSMUSE00000993257,ENSMUSE00000564819	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	108392631-108392658,108393011-108393245,108393340-108393510,108393650-108393832,108393936-108394024,108394213-108394340,108394885-108395007,108395116-108395242,108395328-108395407,108395560-108395672,108395943-108396117,108396433-108396633,108396719-108396845,108396947-108397114,108397230-108397410,108397502-108397630,108397760-108397943,108398469-108398678,108398879-108398973,108399617-108399718,108399882-108400065,108400503-108400623,108400778-108400919,108401146-108401320,108401400-108401687,108401937-108402103,108402448-108402573,108402705-108402868,108403221-108403378,108403624-108403712,108403897-108404012,108404349-108404571,108406750-108407397,108412185-108415494
3	108397063	108398633	-1	GAIN_dom_N	211.3	108397063-108397114,108397230-108397410,108397502-108397630,108397760-108397943,108398469-108398633	PF16489	http://pfam.sanger.ac.uk/family?acc=PF16489
3	108394996	108396615	-1	GPCR_2_secretin-like	158.6	108394996-108395007,108395116-108395242,108395328-108395407,108395560-108395672,108395943-108396117,108396433-108396615	PF00002	http://pfam.sanger.ac.uk/family?acc=PF00002
3	108396740	108396978	-1	GPS	55	108396740-108396845,108396947-108396978	PF01825	http://pfam.sanger.ac.uk/family?acc=PF01825
3	108402461	108402550	-1	EGF-like_dom	43	108402461-108402550	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	108404450	108404536	-1	EGF-like_dom	43	108404450-108404536	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	108412456	108412713	-1	Cadherin	569.9	108412456-108412713	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	108412759	108413037	-1	Cadherin	569.9	108412759-108413037	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	108414655	108414939	-1	Cadherin	569.9	108414655-108414939	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	108414010	108414285	-1	Cadherin	569.9	108414010-108414285	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	108413386	108413652	-1	Cadherin	569.9	108413386-108413652	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	108413692	108413964	-1	Cadherin	569.9	108413692-108413964	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	108413080	108413346	-1	Cadherin	569.9	108413080-108413346	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	108414328	108414612	-1	Cadherin	569.9	108414328-108414612	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	108399901	108400023	-1	Laminin_EGF	36.3	108399901-108400023	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
3	108402754	108404011	-1	Laminin_G	165.4	108402754-108402868,108403221-108403378,108403624-108403712,108403897-108404011	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
3	108401303	108402008	-1	Laminin_G	165.4	108401303-108401320,108401400-108401687,108401937-108402008	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
