#>P	ENSMUSG00000026532	ENSMUST00000027817	ENSMUSP00000027817	1	174172941	174247454	1	spectrin alpha, erythrocytic 1 [Source:MGI Symbol;Acc:MGI:98385]
#>E	ENSMUSE00000687040,ENSMUSE00000324558,ENSMUSE00000324548,ENSMUSE00000160285,ENSMUSE00000160287,ENSMUSE00000324524,ENSMUSE00000324514,ENSMUSE00000324503,ENSMUSE00000160266,ENSMUSE00000160277,ENSMUSE00000160250,ENSMUSE00000535278,ENSMUSE00000160245,ENSMUSE00000160252,ENSMUSE00000160244,ENSMUSE00000160275,ENSMUSE00000160284,ENSMUSE00000160259,ENSMUSE00000324416,ENSMUSE00000324408,ENSMUSE00000324398,ENSMUSE00000160248,ENSMUSE00000160262,ENSMUSE00000160274,ENSMUSE00000160261,ENSMUSE00000160258,ENSMUSE00000160263,ENSMUSE00000160283,ENSMUSE00000160255,ENSMUSE00000160268,ENSMUSE00001224260,ENSMUSE00001248106,ENSMUSE00001283130,ENSMUSE00001240386,ENSMUSE00001245467,ENSMUSE00001215395,ENSMUSE00001208421,ENSMUSE00001296399,ENSMUSE00001296404,ENSMUSE00000160253,ENSMUSE00000408566,ENSMUSE00001243346,ENSMUSE00001285011,ENSMUSE00001239191,ENSMUSE00001235119,ENSMUSE00001310832,ENSMUSE00001218860,ENSMUSE00001261392,ENSMUSE00001274688,ENSMUSE00001304536,ENSMUSE00001227361,ENSMUSE00000658644	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	174172941-174172961,174174327-174174563,174175763-174175888,174178658-174178798,174179731-174179877,174181004-174181137,174181705-174181849,174184581-174184735,174185631-174185766,174187198-174187299,174190096-174190233,174190948-174191058,174192920-174192997,174193529-174193684,174195856-174196060,174197603-174197784,174198362-174198605,174199421-174199543,174202251-174202468,174203253-174203345,174205271-174205408,174207037-174207188,174208312-174208498,174209294-174209395,174211564-174211655,174212538-174212682,174213344-174213525,174213862-174213961,174214056-174214253,174215478-174215621,174217132-174217235,174217525-174217687,174217877-174218008,174218403-174218540,174218724-174218828,174219766-174219974,174222579-174222699,174223261-174223382,174224428-174224560,174229242-174229340,174230626-174230788,174231322-174231398,174237785-174237994,174240117-174240413,174241041-174241153,174242228-174242245,174243148-174243199,174244044-174244231,174245139-174245192,174245647-174245793,174246474-174246618,174247332-174247457
1	174246532	174247451	1	EF-hand_Ca_insen	87.5	174246532-174246618,174247332-174247451	PF08726	http://pfam.sanger.ac.uk/family?acc=PF08726
1	174211639	174213490	1	Spectrin_repeat	1309.9	174211639-174211655,174212538-174212682,174213344-174213490	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174214245	174217555	1	Spectrin_repeat	1309.9	174214245-174214253,174215478-174215621,174217132-174217235,174217525-174217555	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174198521	174202351	1	Spectrin_repeat	1309.9	174198521-174198605,174199421-174199543,174202251-174202351	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174241095	174244217	1	Spectrin_repeat	1309.9	174241095-174241153,174242228-174242245,174243148-174243199,174244044-174244217	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174213494	174214235	1	Spectrin_repeat	1309.9	174213494-174213525,174213862-174213961,174214056-174214235	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174240126	174241061	1	Spectrin_repeat	1309.9	174240126-174240413,174241041-174241061	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174178742	174181108	1	Spectrin_repeat	1309.9	174178742-174178798,174179731-174179877,174181004-174181108	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174224453	174230730	1	Spectrin_repeat	1309.9	174224453-174224560,174229242-174229340,174230626-174230730	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174174459	174178729	1	Spectrin_repeat	1309.9	174174459-174174563,174175763-174175888,174178658-174178729	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174185632	174190164	1	Spectrin_repeat	1309.9	174185632-174185766,174187198-174187299,174190096-174190164	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174219925	174224446	1	Spectrin_repeat	1309.9	174219925-174219974,174222579-174222699,174223261-174223382,174224428-174224446	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174193595	174197613	1	Spectrin_repeat	1309.9	174193595-174193684,174195856-174196060,174197603-174197613	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174190174	174193585	1	Spectrin_repeat	1309.9	174190174-174190233,174190948-174191058,174192920-174192997,174193529-174193585	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174218487	174219918	1	Spectrin_repeat	1309.9	174218487-174218540,174218724-174218828,174219766-174219918	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174202361	174205279	1	Spectrin_repeat	1309.9	174202361-174202468,174203253-174203345,174205271-174205279	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174217583	174218480	1	Spectrin_repeat	1309.9	174217583-174217687,174217877-174218008,174218403-174218480	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174181118	174184724	1	Spectrin_repeat	1309.9	174181118-174181137,174181705-174181849,174184581-174184724	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174230737	174237973	1	Spectrin_repeat	1309.9	174230737-174230788,174231322-174231398,174237785-174237973	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174208382	174211623	1	Spectrin_repeat	1309.9	174208382-174208498,174209294-174209395,174211564-174211623	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174197626	174198508	1	Spectrin_repeat	1309.9	174197626-174197784,174198362-174198508	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	174205319	174207084	1	SH3_domain	51	174205319-174205408,174207037-174207084	PF00018	http://pfam.sanger.ac.uk/family?acc=PF00018
