#>P	ENSMUSG00000031004	ENSMUST00000033310	ENSMUSP00000033310	7	135690092	135716139	-1	antigen identified by monoclonal antibody Ki 67 [Source:MGI Symbol;Acc:MGI:106035]
#>E	ENSMUSE00000587325,ENSMUSE00000205359,ENSMUSE00000488447,ENSMUSE00000205354,ENSMUSE00000205357,ENSMUSE00000205361,ENSMUSE00000205350,ENSMUSE00000205346,ENSMUSE00000324849,ENSMUSE00000324868,ENSMUSE00000324875,ENSMUSE00000324881,ENSMUSE00000324887,ENSMUSE00000526491	0,0,0,0,0,0,0,1,0,1,1,0,0,0	135690089-135690133,135693080-135693496,135694232-135701067,135701902-135702057,135704068-135704239,135704339-135704457,135704543-135704795,135705610-135705785,135707361-135708320,135708766-135708811,135710845-135710911,135713757-135713872,135713961-135714039,135716048-135716139
7	135713774	135716061	-1	FHA_dom	53.9	135713774-135713872,135713961-135714039,135716048-135716061	PF00498	http://pfam.sanger.ac.uk/family?acc=PF00498
7	135700358	135700603	-1	K167R	1670.9	135700358-135700603	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135696089	135696418	-1	K167R	1670.9	135696089-135696418	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135696452	135696781	-1	K167R	1670.9	135696452-135696781	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135695060	135695377	-1	K167R	1670.9	135695060-135695377	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135697166	135697495	-1	K167R	1670.9	135697166-135697495	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135698954	135699262	-1	K167R	1670.9	135698954-135699262	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135694694	135695020	-1	K167R	1670.9	135694694-135695020	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135700001	135700324	-1	K167R	1670.9	135700001-135700324	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135699656	135699982	-1	K167R	1670.9	135699656-135699982	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135697529	135697855	-1	K167R	1670.9	135697529-135697855	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135699296	135699622	-1	K167R	1670.9	135699296-135699622	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135695384	135695695	-1	K167R	1670.9	135695384-135695695	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135698252	135698560	-1	K167R	1670.9	135698252-135698560	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135696815	135697129	-1	K167R	1670.9	135696815-135697129	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135698597	135698923	-1	K167R	1670.9	135698597-135698923	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135695726	135696049	-1	K167R	1670.9	135695726-135696049	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135697886	135698218	-1	K167R	1670.9	135697886-135698218	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
7	135705625	135705762	-1	PP1-bd	60.7	135705625-135705762	PF15276	http://pfam.sanger.ac.uk/family?acc=PF15276
