#>P	ENSMUSG00000066113	ENSMUST00000107178	ENSMUSP00000102796	4	86054058	86425945	1	ADAMTS-like 1 [Source:MGI Symbol;Acc:MGI:1924989]
#>E	ENSMUSE00001263319,ENSMUSE00001284008,ENSMUSE00001244318,ENSMUSE00001243541,ENSMUSE00001223093,ENSMUSE00001222335,ENSMUSE00001232686,ENSMUSE00001298102,ENSMUSE00000179674,ENSMUSE00000672344,ENSMUSE00000672343,ENSMUSE00000672340,ENSMUSE00000672339,ENSMUSE00001217002,ENSMUSE00001223692,ENSMUSE00001313160,ENSMUSE00001214931,ENSMUSE00001219754,ENSMUSE00001278839,ENSMUSE00001308452,ENSMUSE00001229900,ENSMUSE00001207949,ENSMUSE00001258202,ENSMUSE00001301114,ENSMUSE00001220174,ENSMUSE00001210651,ENSMUSE00001206586,ENSMUSE00001246388	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	86054058-86054120,86087709-86087836,86110817-86110862,86156635-86156871,86199276-86199402,86212625-86212699,86216916-86217073,86227943-86228054,86232553-86232691,86247971-86248175,86249763-86249910,86252756-86252840,86276871-86277172,86289719-86289848,86321959-86322169,86336838-86337017,86341065-86341218,86342030-86343155,86356335-86356462,86374852-86374980,86385464-86385667,86388414-86388548,86413587-86413799,86415471-86415651,86418472-86418679,86423357-86423466,86424160-86424380,86425842-86425948
4	86425847	86425936	1	PLAC	29.3	86425847-86425936	PF08686	http://pfam.sanger.ac.uk/family?acc=PF08686
4	86343067	86356455	1	Ig_I-set	162.6	86343067-86343155,86356335-86356455	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
4	86374932	86385660	1	Ig_I-set	162.6	86374932-86374980,86385464-86385660	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
4	86342158	86342325	1	Ig_I-set	162.6	86342158-86342325	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
4	86388512	86413795	1	Ig_I-set	162.6	86388512-86388548,86413587-86413795	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
4	86337003	86341130	1	TSP1_rpt	136.2	86337003-86337017,86341065-86341130	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
4	86276884	86277036	1	TSP1_rpt	136.2	86276884-86277036	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
4	86087757	86156640	1	TSP1_rpt	136.2	86087757-86087836,86110817-86110862,86156635-86156640	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
4	86418482	86418649	1	TSP1_rpt	136.2	86418482-86418649	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
4	86247981	86248055	1	TSP1_rpt	136.2	86247981-86248055	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
4	86248161	86249870	1	TSP1_rpt	136.2	86248161-86248175,86249763-86249870	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
4	86321969	86322046	1	TSP1_rpt	136.2	86321969-86322046	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
4	86322158	86336984	1	TSP1_rpt	136.2	86322158-86322169,86336838-86336984	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
