#>P	ENSMUSG00000035403	ENSMUST00000050372	ENSMUSP00000058007	2	37776341	37796669	1	crumbs family member 2 [Source:MGI Symbol;Acc:MGI:2679260]
#>E	ENSMUSE00000693617,ENSMUSE00000254480,ENSMUSE00000254526,ENSMUSE00000254517,ENSMUSE00000254510,ENSMUSE00000254506,ENSMUSE00000254500,ENSMUSE00000254466,ENSMUSE00001206522,ENSMUSE00000254451,ENSMUSE00000254441,ENSMUSE00000334908,ENSMUSE00000398399	0,0,0,0,0,0,0,0,0,0,0,0,0	37776341-37776446,37783200-37783523,37786439-37786634,37786718-37786857,37787264-37787449,37787659-37787772,37790128-37791000,37791086-37791591,37792054-37792219,37793099-37793867,37794530-37794646,37795375-37795501,37796448-37796672
2	37790466	37790837	1	Laminin_G	70.1	37790466-37790837	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
2	37793827	37793865	1	EGF-like_CS	20.8	37793827-37793865	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
2	37795397	37795486	1	EGF-like_dom	260.1	37795397-37795486	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	37786782	37787280	1	EGF-like_dom	260.1	37786782-37786857,37787264-37787280	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	37790157	37790231	1	EGF-like_dom	260.1	37790157-37790231	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	37791586	37792140	1	EGF-like_dom	260.1	37791586-37791591,37792054-37792140	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	37790898	37790987	1	EGF-like_dom	260.1	37790898-37790987	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	37786468	37786560	1	EGF-like_dom	260.1	37786468-37786560	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	37787688	37790132	1	EGF-like_dom	260.1	37787688-37787772,37790128-37790132	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	37786582	37786760	1	EGF-like_dom	260.1	37786582-37786634,37786718-37786760	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	37783439	37786440	1	EGF-like_dom	260.1	37783439-37783523,37786439-37786440	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
