#>P	ENSMUSG00000061462	ENSMUST00000047441	ENSMUSP00000038264	11	58994335	59136375	-1	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF [Source:MGI Symbol;Acc:MGI:2681862]
#>E	ENSMUSE00000378514,ENSMUSE00000302472,ENSMUSE00000302487,ENSMUSE00000302500,ENSMUSE00000302509,ENSMUSE00000302518,ENSMUSE00000453539,ENSMUSE00000579524,ENSMUSE00000579525,ENSMUSE00000579526,ENSMUSE00000579527,ENSMUSE00000579528,ENSMUSE00000579529,ENSMUSE00000579530,ENSMUSE00000579531,ENSMUSE00000579532,ENSMUSE00000579533,ENSMUSE00000579534,ENSMUSE00000579535,ENSMUSE00000579536,ENSMUSE00000579537,ENSMUSE00000579538,ENSMUSE00000734712,ENSMUSE00001262328,ENSMUSE00001225770,ENSMUSE00001278357,ENSMUSE00001293138,ENSMUSE00001234594,ENSMUSE00001269469,ENSMUSE00001215714,ENSMUSE00001272416,ENSMUSE00001272991,ENSMUSE00001273763,ENSMUSE00001268697,ENSMUSE00001262578,ENSMUSE00000652986,ENSMUSE00000652987,ENSMUSE00000652989,ENSMUSE00000652991,ENSMUSE00000652993,ENSMUSE00000652995,ENSMUSE00000590352,ENSMUSE00000590353,ENSMUSE00000590354,ENSMUSE00000590355,ENSMUSE00000590356,ENSMUSE00000590357,ENSMUSE00000590358,ENSMUSE00000590359,ENSMUSE00001033871,ENSMUSE00001012179,ENSMUSE00000910326,ENSMUSE00001242117,ENSMUSE00000907167,ENSMUSE00000653003,ENSMUSE00000579503,ENSMUSE00000579505,ENSMUSE00000491468,ENSMUSE00001015862,ENSMUSE00001034770,ENSMUSE00000332221,ENSMUSE00001043647,ENSMUSE00001019147,ENSMUSE00000653009,ENSMUSE00001070685,ENSMUSE00000301191,ENSMUSE00001087517,ENSMUSE00000301202,ENSMUSE00000104818,ENSMUSE00000579495,ENSMUSE00001372339,ENSMUSE00000104799,ENSMUSE00000678068,ENSMUSE00000678069,ENSMUSE00001282263,ENSMUSE00001294180,ENSMUSE00001264212,ENSMUSE00001242768,ENSMUSE00001304294,ENSMUSE00001244612,ENSMUSE00001297487,ENSMUSE00001239562,ENSMUSE00001284871,ENSMUSE00001269132,ENSMUSE00001256596,ENSMUSE00001277190,ENSMUSE00001282416,ENSMUSE00001269339,ENSMUSE00001223257,ENSMUSE00001264837,ENSMUSE00001248347,ENSMUSE00001250824,ENSMUSE00001294270,ENSMUSE00001224886,ENSMUSE00001304982,ENSMUSE00001259764,ENSMUSE00001260714,ENSMUSE00001280767,ENSMUSE00001216345,ENSMUSE00001293943,ENSMUSE00001252206,ENSMUSE00001308483,ENSMUSE00001256350,ENSMUSE00001206141	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58994332-58994509,58994685-58994834,58995028-58995103,58995338-58995561,58995788-58996027,58996227-58996311,58996846-58997016,58997163-58997285,58997975-58998142,58998261-58998353,58998481-58998561,58999195-59001178,59001454-59001531,59001879-59001924,59002017-59002169,59002991-59003017,59003207-59003379,59003629-59003706,59006757-59006817,59007524-59007724,59007823-59007901,59008041-59008209,59008509-59008621,59020457-59020568,59021420-59021549,59021865-59021967,59022228-59022395,59027410-59027523,59028497-59028674,59028867-59029025,59029201-59029365,59029470-59029586,59030019-59030175,59031024-59031197,59031582-59031664,59031821-59032021,59032626-59032765,59032894-59033016,59033712-59033782,59034137-59034197,59034695-59034913,59035033-59035131,59035379-59035411,59035947-59036144,59036350-59036468,59036738-59036816,59037535-59037813,59038322-59039198,59040211-59040584,59041565-59041852,59042022-59042309,59043881-59044153,59049425-59049500,59049677-59049873,59050301-59050576,59051131-59051403,59051528-59051794,59052445-59052711,59054774-59055037,59055961-59056224,59060844-59061107,59061424-59061687,59062647-59062910,59063465-59063683,59064187-59064450,59067066-59067329,59067583-59067846,59067944-59068210,59069028-59069294,59069739-59070011,59073107-59073373,59073510-59073776,59074891-59075163,59076134-59076400,59076484-59076750,59076846-59077112,59077681-59077950,59078179-59078445,59078802-59078906,59079557-59079710,59079810-59079919,59080101-59080367,59080697-59080963,59081795-59082064,59082192-59082458,59082617-59082895,59086665-59086940,59093296-59093571,59099690-59099965,59103275-59103550,59106295-59106570,59107742-59108017,59112519-59112794,59115659-59115934,59122620-59122895,59124521-59124796,59128063-59128338,59130441-59130641,59131547-59131828,59132461-59132727,59133021-59133329,59133700-59133960,59134551-59134820,59135394-59136375
11	59029288	59031193	-1	DH-domain	69.7	59029288-59029365,59029470-59029586,59030019-59030175,59031024-59031193	PF00621	http://pfam.sanger.ac.uk/family?acc=PF00621
11	59039022	59039081	-1	IQ_motif_EF-hand-BS	21.6	59039022-59039081	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
11	59001882	59007848	-1	Prot_kinase_dom	354.5	59001882-59001924,59002017-59002169,59002991-59003017,59003207-59003379,59003629-59003706,59006757-59006817,59007524-59007724,59007823-59007848	PF00069	http://pfam.sanger.ac.uk/family?acc=PF00069
11	58994467	58996243	-1	Prot_kinase_dom	354.5	58994467-58994509,58994685-58994834,58995028-58995103,58995338-58995561,58995788-58996027,58996227-58996243	PF00069	http://pfam.sanger.ac.uk/family?acc=PF00069
11	59067070	59067318	-1	Ig_I-set	2385.6	59067070-59067318	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59107779	59107988	-1	Ig_I-set	2385.6	59107779-59107988	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59067590	59067835	-1	Ig_I-set	2385.6	59067590-59067835	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59136082	59136351	-1	Ig_I-set	2385.6	59136082-59136351	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59103312	59103521	-1	Ig_I-set	2385.6	59103312-59103521	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59037539	59037811	-1	Ig_I-set	2385.6	59037539-59037811	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59062660	59062899	-1	Ig_I-set	2385.6	59062660-59062899	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59035951	59036428	-1	Ig_I-set	2385.6	59035951-59036144,59036350-59036428	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59041611	59041805	-1	Ig_I-set	2385.6	59041611-59041805	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59008048	59008616	-1	Ig_I-set	2385.6	59008048-59008209,59008509-59008616	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59106332	59106541	-1	Ig_I-set	2385.6	59106332-59106541	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59034702	59035108	-1	Ig_I-set	2385.6	59034702-59034913,59035033-59035108	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59135776	59136051	-1	Ig_I-set	2385.6	59135776-59136051	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59074937	59075149	-1	Ig_I-set	2385.6	59074937-59075149	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59082220	59082447	-1	Ig_I-set	2385.6	59082220-59082447	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59122657	59122866	-1	Ig_I-set	2385.6	59122657-59122866	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59051565	59051783	-1	Ig_I-set	2385.6	59051565-59051783	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59073535	59073765	-1	Ig_I-set	2385.6	59073535-59073765	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59082645	59082857	-1	Ig_I-set	2385.6	59082645-59082857	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59112550	59112765	-1	Ig_I-set	2385.6	59112550-59112765	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59022250	59027518	-1	Ig_I-set	2385.6	59022250-59022395,59027410-59027518	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59051168	59051395	-1	Ig_I-set	2385.6	59051168-59051395	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59093333	59093542	-1	Ig_I-set	2385.6	59093333-59093542	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59055974	59056216	-1	Ig_I-set	2385.6	59055974-59056216	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59128100	59128309	-1	Ig_I-set	2385.6	59128100-59128309	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	58997997	58998484	-1	Ig_I-set	2385.6	58997997-58998142,58998261-58998353,58998481-58998484	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59135401	59135649	-1	Ig_I-set	2385.6	59135401-59135649	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59086699	59086911	-1	Ig_I-set	2385.6	59086699-59086911	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59115696	59115905	-1	Ig_I-set	2385.6	59115696-59115905	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59064194	59064439	-1	Ig_I-set	2385.6	59064194-59064439	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59060878	59061099	-1	Ig_I-set	2385.6	59060878-59061099	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
11	59038740	59039009	-1	Ig_I-set	2385.6	59038740-59039009	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
