#>P	ENSMUSG00000060534	ENSMUST00000114943	ENSMUSP00000110593	18	71258993	72350446	-1	deleted in colorectal carcinoma [Source:MGI Symbol;Acc:MGI:94869]
#>E	ENSMUSE00000701210,ENSMUSE00000513583,ENSMUSE00000493389,ENSMUSE00000491020,ENSMUSE00000505588,ENSMUSE00000502490,ENSMUSE00000486090,ENSMUSE00000498434,ENSMUSE00000496612,ENSMUSE00000478935,ENSMUSE00000477149,ENSMUSE00000490058,ENSMUSE00000472788,ENSMUSE00000469677,ENSMUSE00000483092,ENSMUSE00000514694,ENSMUSE00000467401,ENSMUSE00000462408,ENSMUSE00000507433,ENSMUSE00000506236,ENSMUSE00000520622,ENSMUSE00000518649,ENSMUSE00000517548,ENSMUSE00000516673,ENSMUSE00000500158,ENSMUSE00000513546,ENSMUSE00000512617,ENSMUSE00000510546,ENSMUSE00000833713	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	71258990-71259079,71262807-71262949,71299331-71299543,71305972-71306133,71321031-71321147,71327399-71327625,71335939-71336101,71342712-71342777,71362970-71363002,71367045-71367239,71370651-71370758,71374473-71374611,71378655-71378887,71384128-71384223,71420225-71420419,71446337-71446447,71456871-71457012,71542245-71542294,71547303-71547441,71549003-71549151,71575071-71575225,71587871-71588027,71679461-71679581,71682162-71682316,71809060-71809196,71810731-71810881,71826003-71826287,71954754-71955074,72350356-72350446
18	71954758	71955039	-1	Ig-like_dom	138.7	71954758-71955039	PF13895	http://pfam.sanger.ac.uk/family?acc=PF13895
18	71679471	71682305	-1	Ig_I-set	197.3	71679471-71679581,71682162-71682305	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
18	71826043	71826279	-1	Ig_I-set	197.3	71826043-71826279	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
18	71809064	71810858	-1	Ig_I-set	197.3	71809064-71809196,71810731-71810858	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
18	71258999	71327576	-1	Neogenin_C	367.3	71258999-71259079,71262807-71262949,71299331-71299543,71305972-71306133,71321031-71321147,71327399-71327576	PF06583	http://pfam.sanger.ac.uk/family?acc=PF06583
18	71374513	71378807	-1	FN3_dom	252.7	71374513-71374611,71378655-71378807	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
18	71367073	71370750	-1	FN3_dom	252.7	71367073-71367239,71370651-71370750	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
18	71384165	71420405	-1	FN3_dom	252.7	71384165-71384223,71420225-71420405	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
18	71547343	71549137	-1	FN3_dom	252.7	71547343-71547441,71549003-71549137	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
18	71446377	71542283	-1	FN3_dom	252.7	71446377-71446447,71456871-71457012,71542245-71542283	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
18	71575102	71587998	-1	FN3_dom	252.7	71575102-71575225,71587871-71587998	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
