#>P	ENSMUSG00000022449	ENSMUST00000035342	ENSMUSP00000036330	15	94270303	94404089	-1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20 [Source:MGI Symbol;Acc:MGI:2660628]
#>E	ENSMUSE00000621739,ENSMUSE00000384264,ENSMUSE00000361394,ENSMUSE00000404546,ENSMUSE00000333020,ENSMUSE00000376172,ENSMUSE00000380030,ENSMUSE00000338894,ENSMUSE00000402856,ENSMUSE00000414277,ENSMUSE00000276397,ENSMUSE00000646540,ENSMUSE00000646541,ENSMUSE00000646542,ENSMUSE00000646544,ENSMUSE00000646545,ENSMUSE00000646546,ENSMUSE00000646547,ENSMUSE00000646548,ENSMUSE00000646549,ENSMUSE00000646551,ENSMUSE00000646552,ENSMUSE00000646553,ENSMUSE00000646554,ENSMUSE00000646555,ENSMUSE00000646556,ENSMUSE00000646557,ENSMUSE00000646558,ENSMUSE00000646559,ENSMUSE00000646560,ENSMUSE00001255998,ENSMUSE00001222846,ENSMUSE00001298862,ENSMUSE00001289238,ENSMUSE00001298008,ENSMUSE00001254735,ENSMUSE00001234934,ENSMUSE00001218082,ENSMUSE00000621738	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	94270300-94270389,94273210-94273314,94279995-94280086,94281886-94282019,94282473-94282564,94282651-94282745,94282946-94283075,94283828-94284028,94285638-94285808,94286310-94286483,94291534-94291701,94322782-94322955,94324660-94324821,94325913-94326203,94326306-94326470,94327739-94327846,94328802-94328921,94329916-94330080,94330481-94330645,94331318-94331528,94333599-94333725,94338408-94338537,94338687-94338853,94341052-94341147,94343938-94344055,94345677-94345813,94345912-94346093,94347669-94347814,94349101-94349205,94351635-94351776,94353547-94353693,94355280-94355385,94360574-94360614,94361753-94361877,94362519-94362602,94379725-94379963,94394612-94394774,94403189-94403550,94403999-94404089
15	94270306	94282734	-1	Pept_M12B_GON-ADAMTSs	256.8	94270306-94270389,94273210-94273314,94279995-94280086,94281886-94282019,94282473-94282564,94282651-94282734	PF08685	http://pfam.sanger.ac.uk/family?acc=PF08685
15	94394670	94403521	-1	Peptidase_M12B_N	119.9	94394670-94394774,94403189-94403521	PF01562	http://pfam.sanger.ac.uk/family?acc=PF01562
15	94338481	94343971	-1	ADAM_spacer1	110.5	94338481-94338537,94338687-94338853,94341052-94341147,94343938-94343971	PF05986	http://pfam.sanger.ac.uk/family?acc=PF05986
15	94351743	94379817	-1	Peptidase_M12B	88.2	94351743-94351776,94353547-94353693,94355280-94355385,94360574-94360614,94361753-94361877,94362519-94362602,94379725-94379817	PF01421	http://pfam.sanger.ac.uk/family?acc=PF01421
15	94330511	94331335	-1	TSP1_rpt	169.1	94330511-94330645,94331318-94331335	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	94328850	94329933	-1	TSP1_rpt	169.1	94328850-94328921,94329916-94329933	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	94286415	94291545	-1	TSP1_rpt	169.1	94286415-94286483,94291534-94291545	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	94322821	94324674	-1	TSP1_rpt	169.1	94322821-94322955,94324660-94324674	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	94324690	94325930	-1	TSP1_rpt	169.1	94324690-94324821,94325913-94325930	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	94326120	94326320	-1	TSP1_rpt	169.1	94326120-94326203,94326306-94326320	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	94291576	94322796	-1	TSP1_rpt	169.1	94291576-94291701,94322782-94322796	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	94326414	94327753	-1	TSP1_rpt	169.1	94326414-94326470,94327739-94327753	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	94283019	94283842	-1	TSP1_rpt	169.1	94283019-94283075,94283828-94283842	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	94329946	94330498	-1	TSP1_rpt	169.1	94329946-94330080,94330481-94330498	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	94346024	94347751	-1	TSP1_rpt	169.1	94346024-94346093,94347669-94347751	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
