#>P	ENSMUSG00000070047	ENSMUST00000191428	ENSMUSP00000140596	8	44950214	45051406	1	FAT atypical cadherin 1 [Source:MGI Symbol;Acc:MGI:109168]
#>E	ENSMUSE00001335279,ENSMUSE00000637106,ENSMUSE00000608098,ENSMUSE00000608097,ENSMUSE00000637101,ENSMUSE00000637100,ENSMUSE00000608094,ENSMUSE00000608093,ENSMUSE00000637097,ENSMUSE00000637096,ENSMUSE00000683894,ENSMUSE00000637126,ENSMUSE00000637125,ENSMUSE00000637124,ENSMUSE00000637123,ENSMUSE00000608086,ENSMUSE00000608085,ENSMUSE00000608084,ENSMUSE00000608083,ENSMUSE00000608082,ENSMUSE00000608081,ENSMUSE00000994220,ENSMUSE00001078109,ENSMUSE00001070504,ENSMUSE00000608077,ENSMUSE00000683879	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	44950214-44953481,44988931-44989245,45007242-45007303,45009793-45010125,45010401-45010611,45012964-45013103,45017365-45017640,45017835-45018045,45022804-45026871,45027484-45027680,45029456-45029609,45030112-45030345,45031265-45031654,45033339-45033553,45033832-45033969,45035465-45035608,45036119-45036316,45036676-45037477,45038260-45038391,45039800-45039957,45040534-45040996,45041880-45042033,45042209-45042319,45043923-45044554,45045031-45045168,45050781-45051409
8	45043933	45044034	1	EGF-like_Ca-bd_dom	27.7	45043933-45044034	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
8	45042228	45042320	1	EGF-like_dom	64.9	45042228-45042320	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
8	45024552	45024800	1	Cadherin	1695.1	45024552-45024800	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45023364	45023594	1	Cadherin	1695.1	45023364-45023594	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	44951618	44951890	1	Cadherin	1695.1	44951618-44951890	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45023943	45024206	1	Cadherin	1695.1	45023943-45024206	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45017934	45022967	1	Cadherin	1695.1	45017934-45018045,45022804-45022967	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45035591	45036732	1	Cadherin	1695.1	45035591-45035608,45036119-45036316,45036676-45036732	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	44953010	44953282	1	Cadherin	1695.1	44953010-44953282	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45023676	45023900	1	Cadherin	1695.1	45023676-45023900	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45024855	45025136	1	Cadherin	1695.1	45024855-45025136	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45025794	45026075	1	Cadherin	1695.1	45025794-45026075	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45025482	45025748	1	Cadherin	1695.1	45025482-45025748	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45009958	45010460	1	Cadherin	1695.1	45009958-45010125,45010401-45010460	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45026760	45027644	1	Cadherin	1695.1	45026760-45026871,45027484-45027644	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	44952695	44952967	1	Cadherin	1695.1	44952695-44952967	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45031507	45033463	1	Cadherin	1695.1	45031507-45031654,45033339-45033463	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45023007	45023258	1	Cadherin	1695.1	45023007-45023258	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	44953340	44989055	1	Cadherin	1695.1	44953340-44953481,44988931-44989055	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45033503	45035548	1	Cadherin	1695.1	45033503-45033553,45033832-45033969,45035465-45035548	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45024261	45024515	1	Cadherin	1695.1	45024261-45024515	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45017422	45017891	1	Cadherin	1695.1	45017422-45017640,45017835-45017891	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45026433	45026720	1	Cadherin	1695.1	45026433-45026720	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	44952386	44952652	1	Cadherin	1695.1	44952386-44952652	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45029471	45030215	1	Cadherin	1695.1	45029471-45029609,45030112-45030215	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45010587	45013103	1	Cadherin	1695.1	45010587-45010611,45012964-45013103	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	44989104	45009858	1	Cadherin	1695.1	44989104-44989245,45007242-45007303,45009793-45009858	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	44950676	44950960	1	Cadherin	1695.1	44950676-44950960	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45030270	45031464	1	Cadherin	1695.1	45030270-45030345,45031265-45031464	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45025176	45025439	1	Cadherin	1695.1	45025176-45025439	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
8	45039892	45040848	1	Laminin_G	87.4	45039892-45039957,45040534-45040848	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
