#>P	ENSMUSG00000006281	ENSMUST00000006444	ENSMUSP00000006444	14	50824171	50868561	-1	telomerase associated protein 1 [Source:MGI Symbol;Acc:MGI:109573]
#>E	ENSMUSE00000402508,ENSMUSE00000121495,ENSMUSE00000121442,ENSMUSE00000121458,ENSMUSE00000121451,ENSMUSE00000121477,ENSMUSE00000121440,ENSMUSE00000121433,ENSMUSE00000121454,ENSMUSE00000121434,ENSMUSE00000121439,ENSMUSE00000121436,ENSMUSE00000121443,ENSMUSE00000121474,ENSMUSE00000121484,ENSMUSE00000121486,ENSMUSE00000291387,ENSMUSE00000291392,ENSMUSE00000121435,ENSMUSE00000121456,ENSMUSE00000121472,ENSMUSE00000399105,ENSMUSE00000560219,ENSMUSE00000560220,ENSMUSE00000560221,ENSMUSE00000560222,ENSMUSE00000420372,ENSMUSE00000420366,ENSMUSE00000420369,ENSMUSE00000420380,ENSMUSE00000560226,ENSMUSE00000560227,ENSMUSE00000560228,ENSMUSE00000121432,ENSMUSE00000121497,ENSMUSE00000347765,ENSMUSE00000388233,ENSMUSE00000358448,ENSMUSE00000399146,ENSMUSE00000366253,ENSMUSE00000291213,ENSMUSE00000121438,ENSMUSE00000121479,ENSMUSE00000379054,ENSMUSE00000336074,ENSMUSE00000386933,ENSMUSE00000291081,ENSMUSE00000291090,ENSMUSE00000291095,ENSMUSE00000291106,ENSMUSE00000291112,ENSMUSE00000367812,ENSMUSE00000408967,ENSMUSE00000378468	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	50824168-50824290,50824505-50824609,50824732-50824949,50825056-50825161,50826813-50826909,50827056-50827199,50828905-50829029,50829168-50829304,50829663-50829792,50829872-50829948,50830130-50830262,50831732-50831839,50833454-50833567,50833914-50834077,50835992-50836204,50836310-50836463,50836685-50836897,50837038-50837193,50837380-50837479,50837584-50837708,50838524-50838641,50838946-50839186,50840582-50840696,50840969-50841057,50841210-50841343,50841557-50841707,50841865-50841997,50843177-50843269,50843706-50843885,50844023-50844179,50844255-50844430,50844534-50844728,50844852-50844969,50845060-50845173,50845416-50845540,50846475-50846595,50846833-50847009,50847614-50847772,50850034-50850093,50850587-50850717,50851922-50851999,50852977-50853135,50853550-50853718,50854128-50854314,50854509-50854599,50855590-50855699,50860578-50860735,50860924-50861048,50862483-50862560,50862854-50863015,50863502-50863663,50865950-50866084,50866689-50866868,50867995-50868561
14	50853619	50866748	-1	TROVE_dom	444.4	50853619-50853718,50854128-50854314,50854509-50854599,50855590-50855699,50860578-50860735,50860924-50861048,50862483-50862560,50862854-50863015,50863502-50863663,50865950-50866084,50866689-50866748	PF05731	http://pfam.sanger.ac.uk/family?acc=PF05731
14	50845496	50846996	-1	DUF4062	68.6	50845496-50845540,50846475-50846595,50846833-50846996	PF13271	http://pfam.sanger.ac.uk/family?acc=PF13271
14	50868205	50868291	-1	TEP1_N	225.2	50868205-50868291	PF05386	http://pfam.sanger.ac.uk/family?acc=PF05386
14	50868385	50868471	-1	TEP1_N	225.2	50868385-50868471	PF05386	http://pfam.sanger.ac.uk/family?acc=PF05386
14	50868295	50868378	-1	TEP1_N	225.2	50868295-50868378	PF05386	http://pfam.sanger.ac.uk/family?acc=PF05386
14	50868475	50868561	-1	TEP1_N	225.2	50868475-50868561	PF05386	http://pfam.sanger.ac.uk/family?acc=PF05386
14	50830212	50831791	-1	WD40_repeat	148	50830212-50830262,50831732-50831791	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
14	50831801	50833522	-1	WD40_repeat	148	50831801-50831839,50833454-50833522	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
14	50837074	50837154	-1	WD40_repeat	148	50837074-50837154	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
14	50833550	50834006	-1	WD40_repeat	148	50833550-50833567,50833914-50834006	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
14	50829682	50829783	-1	WD40_repeat	148	50829682-50829783	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
