#>P	ENSMUSG00000028369	ENSMUST00000042850	ENSMUSP00000045856	4	58043150	58206376	-1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:MGI Symbol;Acc:MGI:1928849]
#>E	ENSMUSE00000414099,ENSMUSE00000339973,ENSMUSE00000178502,ENSMUSE00000325565,ENSMUSE00000178496,ENSMUSE00000178520,ENSMUSE00000335895,ENSMUSE00000527174,ENSMUSE00000178507,ENSMUSE00000178526,ENSMUSE00000325611,ENSMUSE00000325621,ENSMUSE00000325627,ENSMUSE00000178516,ENSMUSE00000178497,ENSMUSE00000325640,ENSMUSE00000325648,ENSMUSE00000178508,ENSMUSE00000347036,ENSMUSE00000325664,ENSMUSE00000401950,ENSMUSE00000371906,ENSMUSE00000394420,ENSMUSE00000353566,ENSMUSE00000396694,ENSMUSE00000325383,ENSMUSE00000350904,ENSMUSE00000325396,ENSMUSE00000662946,ENSMUSE00000325412,ENSMUSE00000325420,ENSMUSE00000325426,ENSMUSE00000325431,ENSMUSE00000325439,ENSMUSE00000325444,ENSMUSE00000325451,ENSMUSE00000325457,ENSMUSE00000325463,ENSMUSE00000325471,ENSMUSE00000325480,ENSMUSE00000325488,ENSMUSE00000325498,ENSMUSE00000325509,ENSMUSE00000325517,ENSMUSE00001259252,ENSMUSE00001278284,ENSMUSE00001273877,ENSMUSE00000325550	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58043147-58043168,58043963-58044056,58046542-58046637,58048111-58048206,58049110-58049280,58053119-58053295,58054539-58054712,58057930-58057993,58064172-58064327,58066429-58066654,58068357-58071139,58072663-58073335,58082651-58082818,58083967-58084158,58084515-58084599,58084810-58084986,58087728-58087847,58088218-58088391,58089352-58089522,58090581-58090704,58091873-58091997,58094001-58094176,58096159-58096360,58097284-58097441,58099943-58100144,58100763-58100876,58104438-58104551,58106295-58106391,58107517-58107608,58108228-58108389,58111299-58111460,58113489-58113650,58115697-58115930,58116488-58116652,58118125-58118233,58120545-58120666,58121827-58122021,58123145-58123276,58123982-58124089,58128766-58128895,58133304-58133422,58135426-58135620,58138605-58138784,58145158-58145337,58146515-58146673,58175931-58176107,58179452-58179707,58205843-58206376
4	58179474	58206124	-1	VWF_A	120.9	58179474-58179707,58205843-58206124	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
4	58128770	58135429	-1	HYR_dom	108.6	58128770-58128895,58133304-58133422,58135426-58135429	PF02494	http://pfam.sanger.ac.uk/family?acc=PF02494
4	58123152	58124090	-1	HYR_dom	108.6	58123152-58123276,58123982-58124090	PF02494	http://pfam.sanger.ac.uk/family?acc=PF02494
4	58069658	58069777	-1	Sushi_SCR_CCP_dom	1078.5	58069658-58069777	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58145162	58145329	-1	Sushi_SCR_CCP_dom	1078.5	58145162-58145329	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58066567	58068433	-1	Sushi_SCR_CCP_dom	1078.5	58066567-58066654,58068357-58068433	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58072714	58072875	-1	Sushi_SCR_CCP_dom	1078.5	58072714-58072875	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58135445	58135564	-1	Sushi_SCR_CCP_dom	1078.5	58135445-58135564	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58070483	58070647	-1	Sushi_SCR_CCP_dom	1078.5	58070483-58070647	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58070135	58070296	-1	Sushi_SCR_CCP_dom	1078.5	58070135-58070296	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58070309	58070470	-1	Sushi_SCR_CCP_dom	1078.5	58070309-58070470	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58084074	58084591	-1	Sushi_SCR_CCP_dom	1078.5	58084074-58084158,58084515-58084591	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58082752	58084061	-1	Sushi_SCR_CCP_dom	1078.5	58082752-58082818,58083967-58084061	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58068620	58068775	-1	Sushi_SCR_CCP_dom	1078.5	58068620-58068775	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58054543	58054704	-1	Sushi_SCR_CCP_dom	1078.5	58054543-58054704	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58053123	58053287	-1	Sushi_SCR_CCP_dom	1078.5	58053123-58053287	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
4	58084814	58084975	-1	Sushi_SCR_CCP_dom	1078.5	58084814-58084975	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
