#>P	ENSMUSG00000027878	ENSMUST00000079812	ENSMUSP00000078741	3	98013699	98147441	1	notch 2 [Source:MGI Symbol;Acc:MGI:97364]
#>E	ENSMUSE00000876750,ENSMUSE00000409345,ENSMUSE00000404985,ENSMUSE00000244757,ENSMUSE00000173829,ENSMUSE00000244740,ENSMUSE00000565998,ENSMUSE00000410900,ENSMUSE00000173851,ENSMUSE00000372606,ENSMUSE00000173865,ENSMUSE00000173842,ENSMUSE00000391377,ENSMUSE00000173837,ENSMUSE00000357324,ENSMUSE00000406771,ENSMUSE00000392832,ENSMUSE00000173846,ENSMUSE00000173840,ENSMUSE00000173839,ENSMUSE00000357630,ENSMUSE00000173862,ENSMUSE00000491540,ENSMUSE00000173859,ENSMUSE00000173831,ENSMUSE00000173834,ENSMUSE00000410647,ENSMUSE00000894608,ENSMUSE00000173843,ENSMUSE00000410856,ENSMUSE00000173830,ENSMUSE00000173849,ENSMUSE00000173847,ENSMUSE00000507053	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98013699-98013771,98047728-98047809,98070860-98071119,98072587-98072922,98081917-98082039,98098096-98098329,98099424-98099579,98100200-98100388,98101521-98101634,98102326-98102439,98104349-98104582,98107047-98107157,98111550-98111742,98113010-98113155,98115232-98115345,98116701-98116820,98117193-98117345,98120727-98120955,98121904-98122105,98123745-98123898,98124149-98124333,98126112-98126244,98131198-98131434,98134559-98134671,98135326-98135831,98137275-98137628,98138386-98138528,98138642-98138852,98139586-98139682,98141464-98141629,98142893-98143194,98144362-98144509,98145122-98145219,98146053-98147444
3	98137378	98137545	1	Notch_NOD_dom	84.2	98137378-98137545	PF06816	http://pfam.sanger.ac.uk/family?acc=PF06816
3	98070906	98071001	1	EGF-like_dom	717.5	98070906-98071001	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98122007	98122099	1	EGF-like_dom	717.5	98122007-98122099	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98117336	98120806	1	EGF-like_dom	717.5	98117336-98117345,98120727-98120806	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98120945	98121982	1	EGF-like_dom	717.5	98120945-98120955,98121904-98121982	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98134588	98135343	1	EGF-like_dom	717.5	98134588-98134671,98135326-98135343	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98113071	98115233	1	EGF-like_dom	717.5	98113071-98113155,98115232-98115233	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98120831	98120920	1	EGF-like_dom	717.5	98120831-98120920	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98100313	98101534	1	EGF-like_dom	717.5	98100313-98100388,98101521-98101534	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98116730	98117200	1	EGF-like_dom	717.5	98116730-98116820,98117193-98117200	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98072613	98072699	1	EGF-like_dom	717.5	98072613-98072699	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98131227	98131322	1	EGF-like_dom	717.5	98131227-98131322	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98071041	98072591	1	EGF-like_dom	717.5	98071041-98071119,98072587-98072591	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	98081955	98098097	1	EGF-like_dom	717.5	98081955-98082039,98098096-98098097	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
