#>P	ENSMUSG00000020154	ENSMUST00000092167	ENSMUSP00000089805	10	116301626	116383872	1	protein tyrosine phosphatase, receptor type, B [Source:MGI Symbol;Acc:MGI:97809]
#>E	ENSMUSE00000573841,ENSMUSE00000101239,ENSMUSE00000101243,ENSMUSE00000101247,ENSMUSE00000101242,ENSMUSE00000420823,ENSMUSE00000420817,ENSMUSE00000420809,ENSMUSE00000420799,ENSMUSE00000420792,ENSMUSE00000420786,ENSMUSE00000420780,ENSMUSE00000420770,ENSMUSE00000420764,ENSMUSE00000420758,ENSMUSE00000420753,ENSMUSE00000101285,ENSMUSE00000101259,ENSMUSE00000101256,ENSMUSE00000101292,ENSMUSE00000101279,ENSMUSE00000101271,ENSMUSE00001088013,ENSMUSE00000234649,ENSMUSE00000234642,ENSMUSE00000101289,ENSMUSE00000101254,ENSMUSE00000234622,ENSMUSE00000234618,ENSMUSE00000402191,ENSMUSE00000390301,ENSMUSE00000665566	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	116301626-116301679,116302108-116302381,116313814-116314092,116315042-116315299,116317366-116317629,116319333-116319602,116322425-116322685,116327950-116328216,116331209-116331472,116338616-116338879,116339418-116339681,116340891-116341154,116341380-116341649,116343793-116344056,116346799-116347062,116347927-116348208,116349966-116350244,116350766-116350915,116353791-116354034,116357192-116357298,116361208-116361307,116362344-116362427,116362524-116362541,116362644-116362725,116363279-116363369,116363975-116364051,116367481-116367615,116368693-116368815,116369296-116369459,116372841-116372976,116380832-116380952,116383853-116383875
10	116363333	116380861	1	PTPase_domain	264.1	116363333-116363369,116363975-116364051,116367481-116367615,116368693-116368815,116369296-116369459,116372841-116372976,116380832-116380861	PF00102	http://pfam.sanger.ac.uk/family?acc=PF00102
10	116313840	116314055	1	FN3_dom	546.2	116313840-116314055	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	116338624	116338848	1	FN3_dom	546.2	116338624-116338848	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	116327958	116328179	1	FN3_dom	546.2	116327958-116328179	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	116347932	116348174	1	FN3_dom	546.2	116347932-116348174	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	116340899	116341120	1	FN3_dom	546.2	116340899-116341120	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	116331217	116331444	1	FN3_dom	546.2	116331217-116331444	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	116339426	116339647	1	FN3_dom	546.2	116339426-116339647	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	116341391	116341630	1	FN3_dom	546.2	116341391-116341630	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	116319365	116319568	1	FN3_dom	546.2	116319365-116319568	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	116322436	116322651	1	FN3_dom	546.2	116322436-116322651	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	116343801	116344022	1	FN3_dom	546.2	116343801-116344022	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	116317377	116317595	1	FN3_dom	546.2	116317377-116317595	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	116349974	116350198	1	FN3_dom	546.2	116349974-116350198	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	116315047	116315259	1	FN3_dom	546.2	116315047-116315259	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	116346813	116347028	1	FN3_dom	546.2	116346813-116347028	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
