#>P	ENSMUSG00000052911	ENSMUST00000065014	ENSMUSP00000069087	9	108480059	108490417	1	laminin, beta 2 [Source:MGI Symbol;Acc:MGI:99916]
#>E	ENSMUSE00000422016,ENSMUSE00000421997,ENSMUSE00000421991,ENSMUSE00000421988,ENSMUSE00000421985,ENSMUSE00000421980,ENSMUSE00000421976,ENSMUSE00000421972,ENSMUSE00000421967,ENSMUSE00000421963,ENSMUSE00000421959,ENSMUSE00000421950,ENSMUSE00000421941,ENSMUSE00000421933,ENSMUSE00000421927,ENSMUSE00000421921,ENSMUSE00000421914,ENSMUSE00000421908,ENSMUSE00000421901,ENSMUSE00000421897,ENSMUSE00000421891,ENSMUSE00000421887,ENSMUSE00000421884,ENSMUSE00000421879,ENSMUSE00000421871,ENSMUSE00000421863,ENSMUSE00000421598,ENSMUSE00000421592,ENSMUSE00000421587,ENSMUSE00000421580,ENSMUSE00000421577,ENSMUSE00000422004	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	108480059-108480143,108480278-108480450,108480538-108480673,108480756-108480829,108481234-108481422,108481504-108481567,108481808-108482010,108482101-108482221,108482508-108482696,108482881-108483060,108483171-108483283,108483530-108483609,108483688-108483820,108484011-108484169,108484246-108484373,108485187-108485313,108485498-108485690,108485767-108485910,108486115-108486346,108486422-108486585,108486664-108486888,108486976-108487193,108487293-108487389,108487476-108487848,108487947-108488131,108488205-108488446,108488526-108488874,108489167-108489374,108489453-108489594,108489777-108489953,108490046-108490205,108490284-108490420
9	108480340	108481938	1	Laminin_N	248.1	108480340-108480450,108480538-108480673,108480756-108480829,108481234-108481422,108481504-108481567,108481808-108481938	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
9	108486255	108486473	1	Laminin_EGF	373	108486255-108486346,108486422-108486473	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	108481942	108482193	1	Laminin_EGF	373	108481942-108482010,108482101-108482193	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	108485769	108485906	1	Laminin_EGF	373	108485769-108485906	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	108486978	108487142	1	Laminin_EGF	373	108486978-108487142	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	108483575	108483772	1	Laminin_EGF	373	108483575-108483609,108483688-108483772	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	108486117	108486245	1	Laminin_EGF	373	108486117-108486245	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	108487478	108487600	1	Laminin_EGF	373	108487478-108487600	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	108483173	108483559	1	Laminin_EGF	373	108483173-108483283,108483530-108483559	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	108487149	108487373	1	Laminin_EGF	373	108487149-108487193,108487293-108487373	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	108482510	108482677	1	Laminin_EGF	373	108482510-108482677	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	108486480	108486728	1	Laminin_EGF	373	108486480-108486585,108486664-108486728	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	108482883	108483056	1	Laminin_EGF	373	108482883-108483056	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	108486735	108486884	1	Laminin_EGF	373	108486735-108486884	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
