#>P	ENSMUSG00000030022	ENSMUST00000167391	ENSMUSP00000126498	6	92777401	92894353	-1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9 [Source:MGI Symbol;Acc:MGI:1916320]
#>E	ENSMUSE00000695571,ENSMUSE00000695572,ENSMUSE00000695574,ENSMUSE00001242601,ENSMUSE00001215788,ENSMUSE00001252760,ENSMUSE00001262340,ENSMUSE00001285549,ENSMUSE00001249758,ENSMUSE00001287487,ENSMUSE00001238696,ENSMUSE00001247503,ENSMUSE00001261922,ENSMUSE00001265196,ENSMUSE00001208519,ENSMUSE00000695580,ENSMUSE00000695583,ENSMUSE00000695586,ENSMUSE00000695590,ENSMUSE00000695592,ENSMUSE00000613731,ENSMUSE00000613732,ENSMUSE00000613733,ENSMUSE00000613734,ENSMUSE00000613735,ENSMUSE00000613736,ENSMUSE00000613737,ENSMUSE00001297218	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	92777398-92777487,92786846-92786950,92793483-92793574,92795924-92796057,92796150-92796244,92796351-92796445,92796989-92797121,92797979-92798173,92807015-92807185,92816470-92816643,92823347-92823514,92849292-92849468,92854204-92854365,92857886-92858143,92859766-92859933,92860100-92860204,92863327-92863446,92869935-92870099,92872288-92872452,92872790-92873000,92879844-92879970,92880620-92880749,92880836-92881002,92887341-92887436,92887686-92887803,92889882-92890018,92890109-92890290,92894241-92894353
6	92880693	92887722	-1	ADAM_spacer1	112.3	92880693-92880749,92880836-92881002,92887341-92887436,92887686-92887722	PF05986	http://pfam.sanger.ac.uk/family?acc=PF05986
6	92807048	92816484	-1	TSP1_rpt	212	92807048-92807185,92816470-92816484	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
6	92854234	92857903	-1	TSP1_rpt	212	92854234-92854365,92857886-92857903	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
6	92816506	92823361	-1	TSP1_rpt	212	92816506-92816643,92823347-92823361	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
6	92860184	92869949	-1	TSP1_rpt	212	92860184-92860204,92863327-92863446,92869935-92869949	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
6	92859796	92860117	-1	TSP1_rpt	212	92859796-92859933,92860100-92860117	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
6	92890221	92894320	-1	TSP1_rpt	212	92890221-92890290,92894241-92894320	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
6	92823443	92849309	-1	TSP1_rpt	212	92823443-92823514,92849292-92849309	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
6	92796444	92797993	-1	TSP1_rpt	212	92796444-92796445,92796989-92797121,92797979-92797993	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
6	92872318	92872804	-1	TSP1_rpt	212	92872318-92872452,92872790-92872804	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
6	92858006	92859777	-1	TSP1_rpt	212	92858006-92858143,92859766-92859777	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
6	92798117	92807032	-1	TSP1_rpt	212	92798117-92798173,92807015-92807032	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
6	92849331	92854218	-1	TSP1_rpt	212	92849331-92849468,92854204-92854218	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
6	92869965	92872305	-1	TSP1_rpt	212	92869965-92870099,92872288-92872305	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
6	92777404	92796437	-1	Pept_M12B_GON-ADAMTSs	275.3	92777404-92777487,92786846-92786950,92793483-92793574,92795924-92796057,92796150-92796244,92796351-92796437	PF08685	http://pfam.sanger.ac.uk/family?acc=PF08685
