#>P	ENSMUSG00000108715	ENSMUST00000118961	ENSMUSP00000113746	7	27311718	27333604	-1	latent transforming growth factor beta binding protein 4 [Source:MGI Symbol;Acc:MGI:1321395]
#>E	ENSMUSE00001371030,ENSMUSE00001375494,ENSMUSE00001371264,ENSMUSE00001373493,ENSMUSE00001374718,ENSMUSE00001374792,ENSMUSE00001375289,ENSMUSE00001373216,ENSMUSE00001375328,ENSMUSE00001371541,ENSMUSE00001371051,ENSMUSE00001370553,ENSMUSE00001371136,ENSMUSE00001370642,ENSMUSE00001373475,ENSMUSE00001370848,ENSMUSE00001375044,ENSMUSE00001371266,ENSMUSE00001370484,ENSMUSE00001371643,ENSMUSE00001371808,ENSMUSE00001375113,ENSMUSE00001371621	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	27311715-27311812,27314237-27314383,27319411-27319536,27319625-27319756,27322022-27322153,27322289-27322411,27322811-27322936,27323142-27323270,27324087-27324206,27324294-27324419,27325019-27325261,27325678-27325803,27326487-27326612,27326692-27326823,27327261-27327512,27327638-27327787,27328186-27328350,27328740-27328862,27328968-27329042,27329379-27329481,27329571-27329818,27330127-27330318,27333355-27333604
7	27327774	27328291	-1	TB_dom	49.4	27327774-27327787,27328186-27328291	PF00683	http://pfam.sanger.ac.uk/family?acc=PF00683
7	27322293	27322412	-1	EGF-like_Ca-bd_dom	391.1	27322293-27322412	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
7	27325682	27325804	-1	EGF-like_Ca-bd_dom	391.1	27325682-27325804	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
7	27314292	27314384	-1	EGF-like_Ca-bd_dom	391.1	27314292-27314384	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
7	27326491	27326613	-1	EGF-like_Ca-bd_dom	391.1	27326491-27326613	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
7	27319415	27319537	-1	EGF-like_Ca-bd_dom	391.1	27319415-27319537	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
7	27324298	27324420	-1	EGF-like_Ca-bd_dom	391.1	27324298-27324420	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
7	27328744	27328863	-1	EGF-like_Ca-bd_dom	391.1	27328744-27328863	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
7	27322815	27322937	-1	EGF-like_Ca-bd_dom	391.1	27322815-27322937	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
7	27324109	27324207	-1	EGF-like_Ca-bd_dom	391.1	27324109-27324207	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
7	27323155	27323271	-1	EGF-like_Ca-bd_dom	391.1	27323155-27323271	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
7	27322032	27322154	-1	EGF-like_Ca-bd_dom	391.1	27322032-27322154	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
7	27325023	27325145	-1	EGF-like_Ca-bd_dom	391.1	27325023-27325145	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
7	27319644	27319757	-1	EGF-like_Ca-bd_dom	391.1	27319644-27319757	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
7	27325164	27325262	-1	EGF-like_Ca-bd_dom	391.1	27325164-27325262	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
