#>P	ENSMUSG00000048612	ENSMUST00000041475	ENSMUSP00000045036	19	37899732	38043323	-1	myoferlin [Source:MGI Symbol;Acc:MGI:1919192]
#>E	ENSMUSE00000514935,ENSMUSE00000324466,ENSMUSE00000323469,ENSMUSE00000323488,ENSMUSE00000324557,ENSMUSE00000324586,ENSMUSE00000324603,ENSMUSE00000324617,ENSMUSE00000324634,ENSMUSE00000324658,ENSMUSE00000323520,ENSMUSE00000371424,ENSMUSE00000323572,ENSMUSE00000323601,ENSMUSE00000323626,ENSMUSE00000995992,ENSMUSE00000323646,ENSMUSE00000323669,ENSMUSE00000544681,ENSMUSE00000451330,ENSMUSE00000451335,ENSMUSE00000451341,ENSMUSE00000451345,ENSMUSE00000451352,ENSMUSE00000451356,ENSMUSE00000451358,ENSMUSE00000451361,ENSMUSE00000451364,ENSMUSE00000544750,ENSMUSE00000323071,ENSMUSE00000323991,ENSMUSE00000323370,ENSMUSE00000323390,ENSMUSE00000323414,ENSMUSE00000324094,ENSMUSE00000482420,ENSMUSE00000323108,ENSMUSE00000324172,ENSMUSE00000619582,ENSMUSE00000619583,ENSMUSE00000619584,ENSMUSE00000619585,ENSMUSE00000619586,ENSMUSE00000619587,ENSMUSE00000619588,ENSMUSE00000619589,ENSMUSE00000619590,ENSMUSE00000619591,ENSMUSE00000619592,ENSMUSE00000619593,ENSMUSE00000619594,ENSMUSE00000619595,ENSMUSE00000902989	1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	37899729-37899767,37901237-37901384,37901824-37901933,37903677-37903867,37905278-37905377,37907587-37907728,37910894-37910989,37911090-37911178,37913337-37913476,37915606-37915754,37916393-37916563,37920719-37920810,37921336-37921491,37922958-37923083,37924606-37924704,37926983-37926994,37930986-37931062,37932603-37932768,37934760-37934921,37935847-37935945,37936061-37936219,37936314-37936495,37937864-37937941,37939300-37939408,37939845-37940018,37942218-37942363,37943443-37943548,37945631-37945745,37949551-37949714,37951427-37951558,37952943-37953098,37954367-37954559,37956443-37956549,37959714-37959838,37960920-37961097,37967016-37967132,37968328-37968452,37972175-37972257,37974584-37974627,37974858-37974926,37977650-37977753,37980349-37980475,37981223-37981338,37981878-37981908,37982960-37983010,37983089-37983151,37985961-37986089,37986649-37986815,37995422-37995509,37998216-37998324,38022553-38022644,38024342-38024397,38043236-38043323
19	37980407	37981306	-1	FerIin_dom	72.7	37980407-37980475,37981223-37981306	PF08151	http://pfam.sanger.ac.uk/family?acc=PF08151
19	37954445	37956519	-1	Ferlin_A-domain	81.4	37954445-37954559,37956443-37956519	PF08165	http://pfam.sanger.ac.uk/family?acc=PF08165
19	37899747	37903691	-1	Ferlin_C	105.9	37899747-37899767,37901237-37901384,37901824-37901933,37903677-37903691	PF16165	http://pfam.sanger.ac.uk/family?acc=PF16165
19	37936178	37937927	-1	C2_dom	328.2	37936178-37936219,37936314-37936495,37937864-37937927	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
19	37981894	37986651	-1	C2_dom	328.2	37981894-37981908,37982960-37983010,37983089-37983151,37985961-37986089,37986649-37986651	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
19	37903842	37910982	-1	C2_dom	328.2	37903842-37903867,37905278-37905377,37907587-37907728,37910894-37910982	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
19	37972191	37980388	-1	C2_dom	328.2	37972191-37972257,37974584-37974627,37974858-37974926,37977650-37977753,37980349-37980388	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
19	37932667	37934909	-1	C2_dom	328.2	37932667-37932768,37934760-37934909	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
19	37916446	37921395	-1	C2_dom	328.2	37916446-37916563,37920719-37920810,37921336-37921395	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
19	37998273	38043320	-1	C2_dom	328.2	37998273-37998324,38022553-38022644,38024342-38024397,38043236-38043320	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
19	37951493	37953098	-1	Ferlin_B-domain	104	37951493-37951558,37952943-37953098	PF08150	http://pfam.sanger.ac.uk/family?acc=PF08150
