#>P	ENSMUSG00000102030	ENSMUST00000186264	ENSMUSP00000141137	1	118176905	118200670	1	predicted gene 29106 [Source:MGI Symbol;Acc:MGI:5579812]
#>E	ENSMUSE00001323331,ENSMUSE00001330129,ENSMUSE00001330461	1,1,1	118176905-118176919,118178297-118178423,118198722-118200673
1	118178300	118198723	1	KRAB	78.9	118178300-118178423,118198722-118198723	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
1	118199816	118199884	1	Znf_C2H2	404.5	118199816-118199884	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
1	118198976	118199044	1	Znf_C2H2	404.5	118198976-118199044	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
1	118200320	118200388	1	Znf_C2H2	404.5	118200320-118200388	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
1	118199564	118199632	1	Znf_C2H2	404.5	118199564-118199632	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
1	118199228	118199296	1	Znf_C2H2	404.5	118199228-118199296	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
1	118200488	118200556	1	Znf_C2H2	404.5	118200488-118200556	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
1	118199060	118199128	1	Znf_C2H2	404.5	118199060-118199128	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
1	118199396	118199464	1	Znf_C2H2	404.5	118199396-118199464	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
1	118200572	118200640	1	Znf_C2H2	404.5	118200572-118200640	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
1	118199984	118200052	1	Znf_C2H2	404.5	118199984-118200052	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
1	118199312	118199380	1	Znf_C2H2	404.5	118199312-118199380	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
1	118200068	118200136	1	Znf_C2H2	404.5	118200068-118200136	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
