#>P	ENSMUSG00000002799	ENSMUST00000075827	ENSMUSP00000075224	12	112908892	112929484	-1	jagged 2 [Source:MGI Symbol;Acc:MGI:1098270]
#>E	ENSMUSE00000461436,ENSMUSE00000115081,ENSMUSE00000115114,ENSMUSE00000305924,ENSMUSE00000305931,ENSMUSE00000528957,ENSMUSE00000115112,ENSMUSE00000507358,ENSMUSE00000305947,ENSMUSE00000115094,ENSMUSE00000115108,ENSMUSE00000115118,ENSMUSE00000305977,ENSMUSE00000375021,ENSMUSE00000115128,ENSMUSE00000115092,ENSMUSE00000306019,ENSMUSE00000115105,ENSMUSE00000115085,ENSMUSE00000115083,ENSMUSE00000528958,ENSMUSE00000115111,ENSMUSE00000115088,ENSMUSE00000115109,ENSMUSE00000500363,ENSMUSE00000306092	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	112908889-112909385,112909553-112909709,112910444-112910575,112911059-112911307,112911703-112911818,112911909-112912022,112912529-112912614,112912693-112912720,112913165-112913281,112913390-112913503,112913616-112913729,112913936-112914049,112914126-112914278,112914357-112914507,112915198-112915371,112915471-112915517,112915605-112915718,112915880-112915993,112916334-112916447,112916604-112916723,112916809-112916939,112920072-112920132,112920231-112920482,112922000-112922057,112928882-112929232,112929419-112929484
12	112920238	112920426	-1	DSL	85.4	112920238-112920426	PF01414	http://pfam.sanger.ac.uk/family?acc=PF01414
12	112915893	112915982	-1	EGF-like_dom	236.7	112915893-112915982	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
12	112916344	112916436	-1	EGF-like_dom	236.7	112916344-112916436	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
12	112915318	112915506	-1	EGF-like_dom	236.7	112915318-112915371,112915471-112915506	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
12	112913949	112914029	-1	EGF-like_dom	236.7	112913949-112914029	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
12	112913400	112913492	-1	EGF-like_dom	236.7	112913400-112913492	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
12	112913175	112913267	-1	EGF-like_dom	236.7	112913175-112913267	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
12	112913626	112913718	-1	EGF-like_dom	236.7	112913626-112913718	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
12	112912542	112912709	-1	EGF-like_dom	236.7	112912542-112912614,112912693-112912709	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
12	112914400	112914492	-1	EGF-like_dom	236.7	112914400-112914492	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
12	112911919	112912011	-1	EGF-like_dom	236.7	112911919-112912011	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
12	112915618	112915719	-1	EGF-like_Ca-bd_dom	35	112915618-112915719	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
12	112914133	112914168	-1	EGF-like_CS	58.7	112914133-112914168	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
12	112928990	112929217	-1	Notch_ligand_N	94.6	112928990-112929217	PF07657	http://pfam.sanger.ac.uk/family?acc=PF07657
