#>P	ENSMUSG00000024330	ENSMUST00000087497	ENSMUSP00000084772	17	34039655	34065805	1	collagen, type XI, alpha 2 [Source:MGI Symbol;Acc:MGI:88447]
#>E	ENSMUSE00000299877,ENSMUSE00000140977,ENSMUSE00000140956,ENSMUSE00000140995,ENSMUSE00000140948,ENSMUSE00000141005,ENSMUSE00001288235,ENSMUSE00001274548,ENSMUSE00000140968,ENSMUSE00000141031,ENSMUSE00000141030,ENSMUSE00000140992,ENSMUSE00000140975,ENSMUSE00000141029,ENSMUSE00000140964,ENSMUSE00000140966,ENSMUSE00000414252,ENSMUSE00000371316,ENSMUSE00001372081,ENSMUSE00001303098,ENSMUSE00001208502,ENSMUSE00001312013,ENSMUSE00001262300,ENSMUSE00001308102,ENSMUSE00001238770,ENSMUSE00000140993,ENSMUSE00000299164,ENSMUSE00000546183,ENSMUSE00001285844,ENSMUSE00000141025,ENSMUSE00000140972,ENSMUSE00000141000,ENSMUSE00000140962,ENSMUSE00000140960,ENSMUSE00000141024,ENSMUSE00000140938,ENSMUSE00000141027,ENSMUSE00000140954,ENSMUSE00000140997,ENSMUSE00000141003,ENSMUSE00000467112,ENSMUSE00000298769,ENSMUSE00000298745,ENSMUSE00000298725,ENSMUSE00000298698,ENSMUSE00000298678,ENSMUSE00000298660,ENSMUSE00000140958,ENSMUSE00000546115,ENSMUSE00000298635,ENSMUSE00000140944,ENSMUSE00000141028,ENSMUSE00000140946,ENSMUSE00000140987,ENSMUSE00001234593,ENSMUSE00001226956,ENSMUSE00001285332,ENSMUSE00001230666,ENSMUSE00001211814,ENSMUSE00001224606,ENSMUSE00001249346,ENSMUSE00000383921,ENSMUSE00000386823,ENSMUSE00000775797	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	34039655-34039736,34042160-34042309,34042401-34042611,34043234-34043396,34044819-34045010,34046440-34046502,34049619-34049678,34049794-34049835,34050046-34050108,34050422-34050496,34050957-34051043,34051262-34051318,34051480-34051533,34051614-34051667,34051753-34051806,34051951-34052004,34052165-34052218,34052312-34052356,34052464-34052517,34052941-34052985,34053194-34053247,34053413-34053457,34053576-34053629,34053873-34053917,34054150-34054203,34054305-34054349,34054837-34054890,34055218-34055325,34056052-34056105,34056393-34056446,34056545-34056589,34056918-34056971,34057105-34057149,34057251-34057304,34057400-34057453,34057620-34057673,34058050-34058157,34058278-34058367,34058556-34058609,34058825-34058932,34059065-34059172,34059293-34059346,34059470-34059523,34059679-34059786,34059931-34059984,34060202-34060255,34060399-34060452,34060579-34060632,34060840-34060947,34061219-34061272,34061464-34061517,34061609-34061662,34062215-34062268,34062458-34062565,34062669-34062722,34062839-34062892,34063110-34063217,34063406-34063459,34063633-34063668,34063864-34063917,34064024-34064291,34064731-34064843,34065006-34065212,34065668-34065808
17	34042490	34043372	1	Laminin_G	29.3	34042490-34042611,34043234-34043372	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
17	34064838	34065799	1	Fib_collagen_C	199.2	34064838-34064843,34065006-34065212,34065668-34065799	PF01410	http://pfam.sanger.ac.uk/family?acc=PF01410
17	34064162	34064834	1	Fib_collagen_C	199.2	34064162-34064291,34064731-34064834	PF01410	http://pfam.sanger.ac.uk/family?acc=PF01410
17	34051987	34052514	1	Collagen	539.6	34051987-34052004,34052165-34052218,34052312-34052356,34052464-34052514	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
17	34056581	34057414	1	Collagen	539.6	34056581-34056589,34056918-34056971,34057105-34057149,34057251-34057304,34057400-34057414	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
17	34049809	34050478	1	Collagen	539.6	34049809-34049835,34050046-34050108,34050422-34050478	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
17	34052345	34053415	1	Collagen	539.6	34052345-34052356,34052464-34052517,34052941-34052985,34053194-34053247,34053413-34053415	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
17	34058278	34058857	1	Collagen	539.6	34058278-34058367,34058556-34058609,34058825-34058857	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
17	34051274	34051776	1	Collagen	539.6	34051274-34051318,34051480-34051533,34051614-34051667,34051753-34051776	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
17	34063209	34064038	1	Collagen	539.6	34063209-34063217,34063406-34063459,34063633-34063668,34063864-34063917,34064024-34064038	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
17	34058870	34059172	1	Collagen	539.6	34058870-34058932,34059065-34059172	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
