#>P	ENSMUSG00000028402	ENSMUST00000102830	ENSMUSP00000099894	4	81279626	81421188	-1	multiple PDZ domain protein [Source:MGI Symbol;Acc:MGI:1343489]
#>E	ENSMUSE00000662733,ENSMUSE00001302674,ENSMUSE00001218413,ENSMUSE00000526265,ENSMUSE00001246224,ENSMUSE00001258994,ENSMUSE00001301500,ENSMUSE00000526273,ENSMUSE00000526274,ENSMUSE00001273086,ENSMUSE00000972764,ENSMUSE00000526279,ENSMUSE00000526283,ENSMUSE00000526284,ENSMUSE00000526285,ENSMUSE00000526286,ENSMUSE00001371019,ENSMUSE00000526288,ENSMUSE00000526289,ENSMUSE00000526291,ENSMUSE00000178848,ENSMUSE00000526294,ENSMUSE00001370520,ENSMUSE00000526300,ENSMUSE00000526301,ENSMUSE00000526302,ENSMUSE00001371493,ENSMUSE00000474626,ENSMUSE00000526304,ENSMUSE00000526305,ENSMUSE00000471645,ENSMUSE00000469849,ENSMUSE00000461049,ENSMUSE00000467664,ENSMUSE00000462742,ENSMUSE00000461953,ENSMUSE00000472242,ENSMUSE00000463769,ENSMUSE00000474980,ENSMUSE00000473266,ENSMUSE00000483394,ENSMUSE00000490191,ENSMUSE00000485140,ENSMUSE00000484421,ENSMUSE00000662734,ENSMUSE00001271951	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	81279623-81279769,81281701-81281824,81282657-81282769,81283333-81283437,81284577-81284699,81285463-81285506,81286368-81286458,81287660-81287746,81290231-81290378,81292419-81292612,81292761-81292844,81293480-81293625,81295419-81295584,81297287-81297361,81297462-81297554,81303593-81303673,81306800-81306890,81307098-81307189,81308230-81308426,81310157-81310319,81313500-81313598,81317594-81317704,81320346-81320523,81326865-81326957,81329427-81329531,81335676-81335874,81348630-81348744,81349002-81349277,81356330-81356497,81358626-81358742,81360004-81360213,81361316-81361501,81363026-81363190,81363994-81364140,81365909-81366015,81368686-81368757,81369565-81369727,81377964-81378052,81378357-81378471,81381671-81381880,81383308-81383436,81383759-81383972,81385164-81385303,81386266-81386478,81418872-81419038,81421173-81421188
4	81386473	81419039	-1	L27_2	108.5	81386473-81386478,81418872-81419039	PF09045	http://pfam.sanger.ac.uk/family?acc=PF09045
4	81293555	81295533	-1	MPDZ	75.6	81293555-81293625,81295419-81295533	PF16667	http://pfam.sanger.ac.uk/family?acc=PF16667
4	81369641	81378426	-1	PDZ	617.3	81369641-81369727,81377964-81378052,81378357-81378426	PF00595	http://pfam.sanger.ac.uk/family?acc=PF00595
4	81383846	81385273	-1	PDZ	617.3	81383846-81383972,81385164-81385273	PF00595	http://pfam.sanger.ac.uk/family?acc=PF00595
4	81335702	81348660	-1	PDZ	617.3	81335702-81335874,81348630-81348660	PF00595	http://pfam.sanger.ac.uk/family?acc=PF00595
4	81279632	81281805	-1	PDZ	617.3	81279632-81279769,81281701-81281805	PF00595	http://pfam.sanger.ac.uk/family?acc=PF00595
4	81292526	81293545	-1	PDZ	617.3	81292526-81292612,81292761-81292844,81293480-81293545	PF00595	http://pfam.sanger.ac.uk/family?acc=PF00595
4	81287717	81292474	-1	PDZ	617.3	81287717-81287746,81290231-81290378,81292419-81292474	PF00595	http://pfam.sanger.ac.uk/family?acc=PF00595
4	81307109	81308379	-1	PDZ	617.3	81307109-81307189,81308230-81308379	PF00595	http://pfam.sanger.ac.uk/family?acc=PF00595
4	81295534	81303607	-1	PDZ	617.3	81295534-81295584,81297287-81297361,81297462-81297554,81303593-81303607	PF00595	http://pfam.sanger.ac.uk/family?acc=PF00595
4	81360019	81361369	-1	PDZ	617.3	81360019-81360213,81361316-81361369	PF00595	http://pfam.sanger.ac.uk/family?acc=PF00595
4	81381758	81383397	-1	PDZ	617.3	81381758-81381880,81383308-81383397	PF00595	http://pfam.sanger.ac.uk/family?acc=PF00595
4	81282767	81285477	-1	PDZ	617.3	81282767-81282769,81283333-81283437,81284577-81284699,81285463-81285477	PF00595	http://pfam.sanger.ac.uk/family?acc=PF00595
4	81317630	81320504	-1	PDZ	617.3	81317630-81317704,81320346-81320504	PF00595	http://pfam.sanger.ac.uk/family?acc=PF00595
