#>P	ENSMUSG00000024421	ENSMUST00000092070	ENSMUSP00000089703	18	12334024	12582660	1	laminin, alpha 3 [Source:MGI Symbol;Acc:MGI:99909]
#>E	ENSMUSE00000875782,ENSMUSE00000880181,ENSMUSE00000873975,ENSMUSE00000905476,ENSMUSE00000898187,ENSMUSE00000890583,ENSMUSE00000357795,ENSMUSE00000340363,ENSMUSE00000384863,ENSMUSE00000367891,ENSMUSE00000142147,ENSMUSE00000443526,ENSMUSE00000443519,ENSMUSE00000443515,ENSMUSE00000443511,ENSMUSE00000443501,ENSMUSE00000443498,ENSMUSE00000443489,ENSMUSE00000443483,ENSMUSE00000393759,ENSMUSE00000285451,ENSMUSE00000285425,ENSMUSE00000285399,ENSMUSE00000285381,ENSMUSE00000285354,ENSMUSE00000285335,ENSMUSE00000285317,ENSMUSE00000285296,ENSMUSE00000285267,ENSMUSE00000573312,ENSMUSE00000573311,ENSMUSE00000285157,ENSMUSE00000285134,ENSMUSE00000142182,ENSMUSE00000142219,ENSMUSE00000285059,ENSMUSE00000285020,ENSMUSE00000284995,ENSMUSE00000142187,ENSMUSE00000142205,ENSMUSE00000142207,ENSMUSE00000142184,ENSMUSE00000284882,ENSMUSE00000142171,ENSMUSE00000142215,ENSMUSE00000142222,ENSMUSE00000142173,ENSMUSE00000142192,ENSMUSE00000142204,ENSMUSE00000142210,ENSMUSE00000142213,ENSMUSE00000142178,ENSMUSE00000142212,ENSMUSE00000142224,ENSMUSE00000284583,ENSMUSE00000477786,ENSMUSE00000482874,ENSMUSE00000481811,ENSMUSE00000480776,ENSMUSE00000480239,ENSMUSE00000464937,ENSMUSE00000471573,ENSMUSE00000470545,ENSMUSE00000469034,ENSMUSE00000468001,ENSMUSE00000474640,ENSMUSE00000474093,ENSMUSE00000473083,ENSMUSE00000518016,ENSMUSE00000461819,ENSMUSE00000460828,ENSMUSE00000466887,ENSMUSE00000465929,ENSMUSE00000506961,ENSMUSE00000910570	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	12334024-12334308,12369452-12369604,12402035-12402152,12402795-12402913,12403975-12404145,12407487-12407578,12411540-12411655,12413739-12413857,12419166-12419256,12419797-12419928,12421137-12421199,12429881-12430015,12439334-12439471,12441095-12441141,12448265-12448364,12449532-12449584,12449811-12449916,12450395-12450494,12453720-12453876,12456710-12456842,12459682-12459824,12462138-12462235,12462685-12462838,12465361-12465521,12468252-12468360,12469853-12469950,12472182-12472317,12477327-12477453,12477536-12477675,12479755-12479870,12480886-12481097,12481943-12482147,12490919-12491063,12491472-12491612,12495266-12495427,12497885-12497983,12500487-12500570,12502934-12503164,12506921-12507034,12510450-12510559,12513644-12513724,12516482-12516588,12518737-12518787,12519859-12520010,12524506-12524616,12524726-12524837,12525010-12525177,12525784-12525980,12527549-12527665,12528295-12528449,12528713-12528854,12529506-12529608,12531835-12531948,12532034-12532213,12533961-12534103,12537687-12537857,12539669-12539820,12539962-12540124,12540535-12540668,12542308-12542452,12547342-12547461,12549192-12549325,12552778-12552895,12553165-12553305,12556627-12556766,12557671-12557802,12561697-12561850,12567666-12567832,12571900-12572083,12574214-12574354,12577752-12577911,12578014-12578144,12580286-12580379,12581693-12581812,12582518-12582663
18	12334156	12407522	1	Laminin_N	257.5	12334156-12334308,12369452-12369604,12402035-12402152,12402795-12402913,12403975-12404145,12407487-12407522	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
18	12519936	12527662	1	Laminin_aI	306.2	12519936-12520010,12524506-12524616,12524726-12524837,12525010-12525177,12525784-12525980,12527549-12527662	PF06008	http://pfam.sanger.ac.uk/family?acc=PF06008
18	12537834	12540600	1	Laminin_G	205.4	12537834-12537857,12539669-12539820,12539962-12540124,12540535-12540600	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
18	12571919	12577817	1	Laminin_G	205.4	12571919-12572083,12574214-12574354,12577752-12577817	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
18	12482077	12490985	1	Laminin_EGF	327.3	12482077-12482147,12490919-12490985	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	12480962	12481953	1	Laminin_EGF	327.3	12480962-12481097,12481943-12481953	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	12449534	12449912	1	Laminin_EGF	327.3	12449534-12449584,12449811-12449912	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	12429883	12430005	1	Laminin_EGF	327.3	12429883-12430005	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	12510537	12516530	1	Laminin_EGF	327.3	12510537-12510559,12513644-12513724,12516482-12516530	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	12439465	12448360	1	Laminin_EGF	327.3	12439465-12439471,12441095-12441141,12448265-12448360	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	12450397	12453738	1	Laminin_EGF	327.3	12450397-12450494,12453720-12453738	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	12439336	12439464	1	Laminin_EGF	327.3	12439336-12439464	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	12503126	12506953	1	Laminin_EGF	327.3	12503126-12503164,12506921-12506953	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	12490995	12491549	1	Laminin_EGF	327.3	12490995-12491063,12491472-12491549	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	12419799	12419918	1	Laminin_EGF	327.3	12419799-12419918	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	12413741	12419219	1	Laminin_EGF	327.3	12413741-12413857,12419166-12419219	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	12506981	12510515	1	Laminin_EGF	327.3	12506981-12507034,12510450-12510515	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	12553258	12557800	1	Laminin_G	244.6	12553258-12553305,12556627-12556766,12557671-12557800	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
18	12578058	12582591	1	Laminin_G	244.6	12578058-12578144,12580286-12580379,12581693-12581812,12582518-12582591	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
18	12542408	12552826	1	Laminin_G	244.6	12542408-12542452,12547342-12547461,12549192-12549325,12552778-12552826	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
18	12495395	12503122	1	Laminin_IV	86.4	12495395-12495427,12497885-12497983,12500487-12500570,12502934-12503122	PF00052	http://pfam.sanger.ac.uk/family?acc=PF00052
18	12532060	12537776	1	Laminin_domII	143.9	12532060-12532213,12533961-12534103,12537687-12537776	PF06009	http://pfam.sanger.ac.uk/family?acc=PF06009
