#>P	ENSMUSG00000057738	ENSMUST00000113719	ENSMUSP00000109348	2	29978380	30031093	1	spectrin alpha, non-erythrocytic 1 [Source:MGI Symbol;Acc:MGI:98386]
#>E	ENSMUSE00001277553,ENSMUSE00001312527,ENSMUSE00001281215,ENSMUSE00001214792,ENSMUSE00000604523,ENSMUSE00000604522,ENSMUSE00000604521,ENSMUSE00000604520,ENSMUSE00001274604,ENSMUSE00001300095,ENSMUSE00001230165,ENSMUSE00001237387,ENSMUSE00000604515,ENSMUSE00000604514,ENSMUSE00000604513,ENSMUSE00000604512,ENSMUSE00000604511,ENSMUSE00000604510,ENSMUSE00000604509,ENSMUSE00000604508,ENSMUSE00000419523,ENSMUSE00000162702,ENSMUSE00001214199,ENSMUSE00001249872,ENSMUSE00001236704,ENSMUSE00001259161,ENSMUSE00001301912,ENSMUSE00001272234,ENSMUSE00000162703,ENSMUSE00000162697,ENSMUSE00000419488,ENSMUSE00000419486,ENSMUSE00000419482,ENSMUSE00000419476,ENSMUSE00001050653,ENSMUSE00000419475,ENSMUSE00000419473,ENSMUSE00000419469,ENSMUSE00000419466,ENSMUSE00000419460,ENSMUSE00000419454,ENSMUSE00000419449,ENSMUSE00000419442,ENSMUSE00000419435,ENSMUSE00000419431,ENSMUSE00000419426,ENSMUSE00000419420,ENSMUSE00000162688,ENSMUSE00001086014,ENSMUSE00000696783,ENSMUSE00001261814,ENSMUSE00001265001,ENSMUSE00001208612,ENSMUSE00000419387,ENSMUSE00000419382,ENSMUSE00001017278	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	29978380-29978616,29980077-29980202,29983160-29983300,29983614-29983760,29986165-29986298,29986395-29986539,29986778-29986932,29988334-29988469,29990942-29991043,29991859-29991996,29992637-29992747,29993613-29993690,29993800-29993955,29994161-29994365,29995396-29995577,29996021-29996264,29996424-29996546,29996737-29996954,29998156-29998248,29999126-29999260,29999914-30000062,30002231-30002429,30003315-30003419,30003674-30003697,30004505-30004540,30006623-30006670,30007494-30007585,30007843-30007987,30008074-30008255,30010699-30010798,30010910-30011107,30011186-30011332,30013446-30013549,30013676-30013838,30014158-30014172,30015589-30015720,30015934-30016071,30017198-30017302,30018362-30018570,30019927-30020047,30020428-30020549,30021191-30021323,30022440-30022538,30024902-30025061,30025522-30025598,30026011-30026220,30026521-30026817,30027019-30027131,30027631-30027648,30028644-30028706,30029620-30029674,30030000-30030196,30030317-30030370,30030452-30030598,30030675-30030822,30030971-30031096
2	29999174	29999961	1	SH3_domain	55.1	29999174-29999260,29999914-29999961	PF00018	http://pfam.sanger.ac.uk/family?acc=PF00018
2	30030360	30030714	1	EF_hand_dom	47.1	30030360-30030370,30030452-30030598,30030675-30030714	PF13499	http://pfam.sanger.ac.uk/family?acc=PF13499
2	30030733	30031087	1	EF-hand_Ca_insen	98.3	30030733-30030822,30030971-30031087	PF08726	http://pfam.sanger.ac.uk/family?acc=PF08726
2	29991937	29993859	1	Spectrin_repeat	1534.3	29991937-29991996,29992637-29992747,29993613-29993690,29993800-29993859	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	30008224	30011086	1	Spectrin_repeat	1534.3	30008224-30008255,30010699-30010798,30010910-30011086	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	29978512	29983234	1	Spectrin_repeat	1534.3	29978512-29978616,29980077-29980202,29983160-29983234	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	30002301	30003398	1	Spectrin_repeat	1534.3	30002301-30002429,30003315-30003398	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	30018518	30021209	1	Spectrin_repeat	1534.3	30018518-30018570,30019927-30020047,30020428-30020549,30021191-30021209	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	30025016	30026199	1	Spectrin_repeat	1534.3	30025016-30025061,30025522-30025598,30026011-30026199	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	29996847	29999137	1	Spectrin_repeat	1534.3	29996847-29996954,29998156-29998248,29999126-29999137	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	29993869	29995412	1	Spectrin_repeat	1534.3	29993869-29993955,29994161-29994365,29995396-29995412	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	30021216	30025006	1	Spectrin_repeat	1534.3	30021216-30021323,30022440-30022538,30024902-30025006	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	29996180	29996840	1	Spectrin_repeat	1534.3	29996180-29996264,29996424-29996546,29996737-29996840	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	30026530	30027039	1	Spectrin_repeat	1534.3	30026530-30026817,30027019-30027039	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	29983244	29986266	1	Spectrin_repeat	1534.3	29983244-29983300,29983614-29983760,29986165-29986266	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	29986279	29986921	1	Spectrin_repeat	1534.3	29986279-29986298,29986395-29986539,29986778-29986921	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	29986928	29991930	1	Spectrin_repeat	1534.3	29986928-29986932,29988334-29988469,29990942-29991043,29991859-29991930	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	30016018	30018514	1	Spectrin_repeat	1534.3	30016018-30016071,30017198-30017302,30018362-30018514	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	30007563	30008217	1	Spectrin_repeat	1534.3	30007563-30007585,30007843-30007987,30008074-30008217	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	30029642	30030182	1	Spectrin_repeat	1534.3	30029642-30029674,30030000-30030182	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	30011099	30013727	1	Spectrin_repeat	1534.3	30011099-30011107,30011186-30011332,30013446-30013549,30013676-30013727	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	29995419	29996170	1	Spectrin_repeat	1534.3	29995419-29995577,29996021-29996170	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
2	30013734	30016011	1	Spectrin_repeat	1534.3	30013734-30013838,30014158-30014172,30015589-30015720,30015934-30016011	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
